0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44223 12423	7	 * 	314.20	DCR|5VULN|3DMG|2TLV|1CDMG	127DMG|34579VULN|67TLV|7BPWR|8RCR|aCDMG
2	22423 12413	7	   	312.15	DCR|5VULN|2DMG|2TLV|1DUR|1ASPD	13457VULN|27DMG|67TLV|7BPWR|8RCR|9DUR|aASPD
3	22411 62114	8	 * 	311.32	DCR|5VULN|3DMG|2DUR	1357aVULN|27aDMG|467ERES|7aBPWR|8aDUR|9RCR
4	44223 12422	7	   	308.85	DCR|5VULN|3DMG|2TLV	127DMG|34579VULN|67TLV|7BPWR|8RCR|aLIT
5	23225 22116	10	   	302.95	DCR|3VULN|3DMG|2DUR|3TLV|1CDMG	179VULN|2FEWX|379DMG|4CDMG|58DUR|679TLV|79BPWR|aRCR
6	22423 12412	7	   	301.14	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9DUR|aLHND
7	22423 12415	7	   	301.14	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9DUR|aFEWX
8	22423 12416	7	   	301.14	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9DUR|aBEXP
9	22423 12424	7	   	301.14	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9CGEN|aDUR
10	22423 12434	7	   	301.14	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9RMIN|aDUR
11	22423 12411	7	   	301.04	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9DUR|aERES
12	22423 12414	7	   	301.04	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9DUR|aDUST
13	22423 12441	7	   	301.04	DCR|5VULN|2DMG|2TLV|1DUR	13457VULN|27DMG|67TLV|7BPWR|8RCR|9TBNT|aDUR
14	22423 12116	10	   	300.55	DCR|5VULN|3DMG|3TLV	13457VULN|279DMG|679TLV|79BPWR|8RPLT|aRCR
15	44223 12421	7	   	300.55	DCR|5VULN|3DMG|2TLV	127DMG|34579VULN|67TLV|7BPWR|8RCR|aLWND
16	41513 33233	10	 * 	300.11	DCR|3VULN|3DMG|2DUR|2ASPD	16aDMG|2AART|3aASPD|4ERES|569VULN|6aBPWR|7aDUR|8RCR
17	22426 32233	7	 * 	298.18	DCR|5VULN|2ASPD|2TLV|1DMG	13489VULN|2DMG|5AART|69TLV|79ASPD|9BPWR|aRCR
18	44223 12413	8	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	127DMG|3457VULN|67TLV|7BPWR|8DUR|9ZMB|aRCR
19	44223 12513	7	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	127DMG|3457VULN|67TLV|7BPWR|8DUR|9ZMB|aRCR
20	41361 15233	10	   	296.79	DCR|4VULN|2DMG|2DUR|1ASPD	1aDMG|2AART|3aDUR|4ERES|5ASPD|679aVULN|8RCR|aBPWR
21	51221 36511	1	 * 	294.85	DCR|4VULN|3ASPD|3LIT|1DMG|1TLV	178ASPD|2CGEN|378LIT|4TLV|5DMG|678aVULN|78BPWR|9RCR
22	52221 36511	2	   	294.85	DCR|4VULN|3ASPD|3LIT|1DMG|1TLV	178ASPD|2CGEN|378LIT|4TLV|5DMG|678aVULN|78BPWR|9RCR
23	22423 12461	7	   	294.55	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9BELT|aAART
24	22423 12311	8	   	293.20	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCVC|9LIT|aRCR
25	23165 16311	8	 * 	292.96	DCR|4VULN|3DUR|3CDMG|2LIT	1479VULN|25FEWX|357CDMG|579BPWR|679DUR|89LIT|aRCR
