0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33384 48264	4	 * 	295.18	DCR|3VULN|3DMG|3DUR|3ASPD	1MBVNT|279DUR|389VULN|479DMG|567ASPD|79BPWR|aRCR
2	38324 53415	9	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1MBVNT|2359VULN|4RPLT|69DUR|7RCR|89DMG|9BPWR|aTLV
3	38424 53415	9	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	1MBVNT|2359VULN|39BPWR|4RPLT|69DUR|7RCR|89DMG|aTLV
4	38325 13411	10	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|239VULN|4RPLT|569DUR|7RCR|89DMG|9BPWR|aTLV
5	38325 54411	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|239VULN|4RPLT|579DUR|6RCR|89DMG|9BPWR|aTLV
6	38425 13411	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|239VULN|39BPWR|4RPLT|569DUR|7RCR|89DMG|aTLV
7	38425 54411	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1MBVNT|239VULN|39BPWR|4RPLT|579DUR|6RCR|89DMG|aTLV
8	38324 53414	9	 * 	281.91	DCR|5VULN|2DMG|2DUR	1MBVNT|2359aVULN|4RPLT|69DUR|7RCR|89DMG|9BPWR
9	38424 53414	9	   	281.91	DCR|5VULN|2DMG|2DUR	1MBVNT|2359aVULN|39BPWR|4RPLT|69DUR|7RCR|89DMG
10	33383 23738	3	 * 	280.75	DCR|5VULN|3DUR|2LIT	1MBVNT|249DUR|34789VULN|49BPWR|59LIT|6RCR|aASPD
11	34783 23742	1	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2478VULN|34DUR|4BPWR|5LIT|6RCR|9DMG|aTLV
12	33383 23742	3	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|24DUR|3478VULN|4BPWR|5LIT|6RCR|9DMG|aTLV
13	34433 24732	1	 * 	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aTLV
14	34733 24732	1	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2489VULN|379DUR|59LIT|6RCR|9BPWR|aTLV
15	34763 23732	1	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2789VULN|349DUR|59LIT|6RCR|9BPWR|aTLV
16	38331 24732	5	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aTLV
17	38333 24732	3	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aTLV
18	38333 24732	4	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aTLV
19	38431 24732	5	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aTLV
20	38433 24732	3	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aTLV
21	38433 24732	4	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aTLV
22	38433 24732	2	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aTLV
23	38733 24732	2	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|2489VULN|379DUR|59LIT|6RCR|9BPWR|aTLV
24	33153 23732	2	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|239DUR|39BPWR|4789VULN|59LIT|6RCR|aTLV
25	33333 24732	3	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aTLV
26	33341 24732	5	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aTLV
27	33343 24732	4	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aTLV
28	33353 24732	4	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|279DUR|3589VULN|49LIT|6RCR|9BPWR|aTLV
29	33363 23732	3	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|249DUR|3789VULN|59LIT|6RCR|9BPWR|aTLV
30	33513 24732	2	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|279DUR|39LIT|4589VULN|6RCR|9BPWR|aTLV
31	33553 23732	3	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|239DUR|39BPWR|4789VULN|59LIT|6RCR|aTLV
32	33653 23732	3	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|239DUR|4789VULN|59LIT|6RCR|9BPWR|aTLV
33	33753 23732	2	   	280.21	DCR|4VULN|3DUR|1TLV|2LIT	1MBVNT|239DUR|4789VULN|59LIT|6RCR|9BPWR|aTLV
34	38324 53413	10	 * 	279.23	DCR|4VULN|3DMG|2DUR	1MBVNT|2359VULN|4RPLT|69DUR|7RCR|89aDMG|9BPWR
35	38424 53413	10	   	279.23	DCR|4VULN|3DMG|2DUR	1MBVNT|2359VULN|39BPWR|4RPLT|69DUR|7RCR|89aDMG
36	33333 23733	3	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|29DUR|34789VULN|59LIT|6RCR|9BPWR|aDMG
37	33341 23733	5	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|29DUR|34789VULN|59LIT|6RCR|9BPWR|aDMG
38	33343 23733	4	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|29DUR|34789VULN|59LIT|6RCR|9BPWR|aDMG
39	33353 23733	4	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|29DUR|35789VULN|49LIT|6RCR|9BPWR|aDMG
40	33513 23733	2	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|29DUR|39LIT|45789VULN|6RCR|9BPWR|aDMG
41	34433 23733	1	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|49DUR|59LIT|6RCR|9BPWR|aDMG
42	34733 23733	1	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|24789VULN|39DUR|59LIT|6RCR|9BPWR|aDMG
43	38331 23733	5	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|49DUR|59LIT|6RCR|9BPWR|aDMG
44	38333 23733	4	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|49DUR|59LIT|6RCR|9BPWR|aDMG
45	38333 23733	3	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|49DUR|59LIT|6RCR|9BPWR|aDMG
46	38431 23733	5	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|39BPWR|49DUR|59LIT|6RCR|aDMG
47	38433 23733	4	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|39BPWR|49DUR|59LIT|6RCR|aDMG
48	38433 23733	3	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|39BPWR|49DUR|59LIT|6RCR|aDMG
49	38433 23733	2	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|23789VULN|49DUR|59LIT|6RCR|9BPWR|aDMG
50	38733 23733	2	   	279.18	DCR|5VULN|2DUR|1DMG|2LIT	1MBVNT|24789VULN|39DUR|59LIT|6RCR|9BPWR|aDMG
51	33314 73842	5	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1MBVNT|2aDUR|38aVULN|4LWND|5TLV|6AART|7RCR|9aDMG|aBPWR
52	33374 23842	6	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1MBVNT|2aDUR|38aVULN|4BEXP|5TLV|6AART|7RCR|9aDMG|aBPWR
53	38615 44432	7	 * 	277.47	DCR|4VULN|1TLV|1DMG|2CDMG|1DUR	1MBVNT|2458VULN|35CDMG|5BPWR|6TLV|7DUR|9RCR|aDMG
54	33153 23735	2	 * 	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|239DUR|39aBPWR|4789aVULN|59aLIT|6RCR
55	33333 24735	3	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|279DUR|3489aVULN|59aLIT|6RCR|9aBPWR
56	33341 24735	5	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|279DUR|3489aVULN|59aLIT|6RCR|9aBPWR
57	33343 24735	4	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|279DUR|3489aVULN|59aLIT|6RCR|9aBPWR
58	33353 24735	4	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|279DUR|3589aVULN|49aLIT|6RCR|9aBPWR
59	33363 23735	3	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|249DUR|3789aVULN|59aLIT|6RCR|9aBPWR
60	33383 23735	3	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|249DUR|34789VULN|49BPWR|59aLIT|6RCR
61	34433 24735	1	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|479DUR|59aLIT|6RCR|9aBPWR
62	34733 24735	1	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2489aVULN|379DUR|59aLIT|6RCR|9aBPWR
63	38331 24735	5	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|479DUR|59aLIT|6RCR|9aBPWR
64	38333 24735	3	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|479DUR|59aLIT|6RCR|9aBPWR
65	38333 24735	4	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|479DUR|59aLIT|6RCR|9aBPWR
66	38431 24735	5	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|39aBPWR|479DUR|59aLIT|6RCR
67	38433 24735	3	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|39aBPWR|479DUR|59aLIT|6RCR
68	38433 24735	2	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|479DUR|59aLIT|6RCR|9aBPWR
69	38433 24735	4	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|2389aVULN|39aBPWR|479DUR|59aLIT|6RCR
70	33513 24735	2	   	277.45	DCR|5VULN|3DUR|3LIT	1MBVNT|279DUR|39aLIT|4589aVULN|6RCR|9aBPWR
71	33383 23443	3	   	277.41	DCR|4VULN|3DUR|2LIT|1CDMG|1AART	1MBVNT|249DUR|3479VULN|49BPWR|59LIT|6RCR|8AART|aCDMG
72	34783 23443	1	   	277.41	DCR|4VULN|3DUR|2LIT|1CDMG|1AART	1MBVNT|2479VULN|349DUR|49BPWR|59LIT|6RCR|8AART|aCDMG
73	38783 23443	2	   	277.41	DCR|4VULN|3DUR|2LIT|1CDMG|1AART	1MBVNT|2479VULN|349DUR|49BPWR|59LIT|6RCR|8AART|aCDMG
74	38454 16434	8	   	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1MBVNT|2358VULN|358BPWR|4RCVC|68DUR|78DMG|9RCR|aCDMG
75	33383 21342	3	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|24DUR|348VULN|4BPWR|5LIT|6RCR|79DMG|aTLV
76	34783 21342	1	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|248VULN|34DUR|4BPWR|5LIT|6RCR|79DMG|aTLV
77	38783 21342	2	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|248VULN|34DUR|4BPWR|5LIT|6RCR|79DMG|aTLV
78	38324 53413	9	 * 	276.80	DCR|4VULN|3DUR|2DMG	1MBVNT|2359VULN|4RPLT|69aDUR|7RCR|89DMG|9BPWR
79	38424 53413	9	   	276.80	DCR|4VULN|3DUR|2DMG	1MBVNT|2359VULN|39BPWR|4RPLT|69aDUR|7RCR|89DMG
