0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16636 32233	7	 * 	284.15	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|4789aVULN|5LIT|6RCR
2	63311 43382	7	 * 	283.46	DCR|4VULN|2DMG|1TLV|2LIT|1AART	1AART|279aVULN|3TLV|4MBVNT|5aDMG|6RCR|8aLIT|aBPWR
3	63322 33411	8	 * 	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aZMB
4	63322 33412	8	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aCGEN
5	63322 33414	8	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aRCVC
6	63322 33415	8	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aLHND
7	63322 33611	7	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aZMB
8	63322 33612	7	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aCGEN
9	63322 33614	7	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aRCVC
10	63322 33615	7	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aLHND
11	16633 53311	9	 * 	283.17	DCR|4VULN|2DMG|2TLV|1DUR	1DUR|25TLV|3aDMG|4679VULN|8RCR
12	16633 13314	10	   	283.17	DCR|4VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479aVULN|8RCR
13	63322 33413	8	   	283.09	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aERES
14	63322 33416	8	   	283.09	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aBBNT
15	63322 33613	7	   	283.09	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aERES
16	63322 33616	7	   	283.09	DCR|4VULN|3DUR|3TLV|1AART	1AART|2478VULN|367TLV|567DUR|67BPWR|9RCR|aBBNT
17	63322 13552	10	 * 	282.10	DCR|3VULN|3DUR|2TLV|1DMG|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8MBVNT|9DMG|aRCR
18	63121 12131	8	 * 	281.36	DCR|3VULN|3DMG|3DUR|1AART	1AART|289VULN|3DMSP|49FEWX|578DUR|689DMG|89BPWR|aRCR
19	63131 12131	8	   	281.36	DCR|3VULN|3DMG|3DUR|1AART	1AART|289VULN|3DMSP|49BEXP|578DUR|689DMG|89BPWR|aRCR
20	63131 13121	9	   	281.36	DCR|3VULN|3DMG|3DUR|1AART	1AART|289VULN|3DMSP|47BEXP|589DUR|689DMG|89BPWR|aRCR
21	63311 44382	7	 * 	278.06	DCR|3VULN|3DMG|1TLV|2LIT|1AART	1AART|29aVULN|3TLV|4MBVNT|57aDMG|6RCR|8aLIT|aBPWR
22	16633 13311	9	 * 	277.77	DCR|3VULN|3DMG|2TLV|1DUR	1DUR|25TLV|36aDMG|479VULN|8RCR
23	63322 22652	6	   	276.74	DCR|4VULN|2DUR|1TLV|2LIT|1AART	1AART|247aVULN|3TLV|5aDUR|6aLIT|8RCR|9RMIN|aBPWR
24	16633 13315	9	 * 	276.70	DCR|3VULN|2DMG|2TLV|2DUR	1aDUR|25TLV|36DMG|479VULN|8RCR
25	63442 12121	9	   	275.61	DCR|3VULN|3DMG|2DUR|2AART	14AART|289VULN|37DUR|589DUST|689DMG|89BPWR|aRCR
26	16636 32233	8	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|28TLV|3DMG|479aVULN|5LIT|6RCR
27	16633 53312	9	   	273.89	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|25TLV|3DMG|4679VULN|8RCR|aLIT
28	32342 12431	8	   	273.38	DCR|3VULN|3DUR|2DMG|2AART	19LWND|259VULN|38AART|457DUR|59BPWR|69DMG|aRCR
29	32342 52431	8	   	273.38	DCR|3VULN|3DUR|2DMG|2AART	19LWND|259VULN|38AART|456DUR|59BPWR|79DMG|aRCR
30	62342 12431	8	   	273.38	DCR|3VULN|3DUR|2DMG|2AART	18AART|29LWND|359VULN|457DUR|59BPWR|69DMG|aRCR
31	12111 35161	10	 * 	273.33	DCR|4VULN|2DMG|2DUR|1AART	19DUR|2DMSP|3RMIN|49DMG|5AART|6RCR|789aVULN|9BPWR
32	16636 32133	7	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1DUR|2TLV|3DMG|479aVULN|58LIT|6RCR
33	16636 32333	8	   	272.36	DCR|4VULN|1TLV|1DMG|1DUR|2LIT	1DUR|2TLV|3DMG|479aVULN|58LIT|6RCR
34	63311 45521	10	   	271.28	DCR|3VULN|3DMG|2TLV|1AART	1AART|29aVULN|3aTLV|4MBVNT|58aDMG|6RCR|7BELT|aBPWR
35	63322 13231	9	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8ZMB|9ASPD|aRCR
36	63322 13431	9	   	270.45	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8CGEN|9ASPD|aRCR
