0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24313 32461	2	 * 	296.69	DCR|2VULN|3DMG|3DUR|1TLV|3ASPD	138ASPD|238DMG|38BPWR|47aDUR|5TLV|68VULN|9RCR
2	24313 32462	2	   	293.13	DCR|2VULN|3DMG|2DUR|1TLV|3ASPD	138ASPD|238DMG|38BPWR|47DUR|5TLV|68VULN|9RCR|aAART
3	24313 32463	2	   	291.77	DCR|2VULN|3DMG|2DUR|1TLV|3ASPD	138ASPD|238DMG|38BPWR|47DUR|5TLV|68VULN|9RCR|aLIT
4	33152 53511	1	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|238VULN|49LHND|5MLV|6TLV|79DMG|9BPWR|aRCR
5	32312 53511	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2RCVC|3LHND|489VULN|5MLV|6TLV|79DMG|9BPWR|aRCR
6	32315 23511	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2RCVC|3LHND|489VULN|5ERES|6TLV|79DMG|9BPWR|aRCR
7	32315 23511	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2RCVC|3LHND|489VULN|5ERES|6TLV|79DMG|9BPWR|aRCR
8	32316 23511	4	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2RCVC|3LHND|489VULN|5ERES|6TLV|79DMG|9BPWR|aRCR
9	33156 23511	1	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|238VULN|49LHND|5ERES|6TLV|79DMG|9BPWR|aRCR
10	33125 33511	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|238VULN|49ERES|5TLV|6LHND|79DMG|9BPWR|aRCR
11	33125 43511	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|238VULN|49ERES|5TLV|6LWND|79DMG|9BPWR|aRCR
12	33126 23511	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|238VULN|49ERES|5LHND|6TLV|79DMG|9BPWR|aRCR
13	63215 14433	3	 * 	268.40	DCR|3VULN|3DMG|1TLV|2LIT	17LIT|257VULN|357DMG|4MBVNT|57BPWR|6BBNT|8RPLT|9RCR|aTLV
14	21532 62511	6	 * 	268.17	DCR|4VULN|2DUR|1TLV|2ASPD	19ASPD|2DUST|3689VULN|4TLV|5ERES|79DUR|9BPWR|aRCR
15	63222 23411	7	   	268.05	DCR|3VULN|2DMG|1TLV|1CDMG	1LIT|25aVULN|39DMG|4ASPD|6CDMG|7RCR|8TLV
16	33432 52135	1	 * 	267.83	DCR|3VULN|3DUR|1TLV|3ASPD|1SELL	189DUR|289VULN|3ERES|4SELL|5BELT|6TLV|789ASPD|89BPWR|aRCR
17	63222 23421	10	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|25aVULN|3DMG|4ASPD|6CDMG|7RCR|8DUR|9TLV
18	63222 23423	9	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|25aVULN|3DMG|4ASPD|6CDMG|7RCR|8DUR|9TLV
19	63222 23463	7	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|25aVULN|3DMG|4ASPD|6CDMG|7RCR|8TLV|9DUR
