0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32325 28416	8	 * 	301.42	DCR|3VULN|3DMG|3CDMG|1TLV|1ASPD	17aCDMG|27aDMG|3ASPD|4TLV|5MBVNT|67aVULN|7aBPWR|8AART|9RCR
2	32465 33332	7	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	158CDMG|268DMG|3TLV|4CGEN|789VULN|8BPWR|aRCR
3	32625 33332	7	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	158CDMG|268DMG|3CGEN|4TLV|789VULN|8BPWR|aRCR
4	32325 25416	8	   	279.53	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	1aCDMG|2aDMG|3ASPD|4TLV|5MBVNT|67aVULN|8AART|9RCR|aBPWR
5	32356 32136	10	 * 	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1CDMG|24DMG|3ASPD|568VULN|79DUR|aRCR
6	33415 51221	10	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CDMG|2LIT|348VULN|5DMG|69DUR|7TLV|aRCR
7	33424 41221	10	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CDMG|2LIT|368VULN|49DUR|5DMG|7TLV|aRCR
8	33514 41221	10	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CDMG|2LIT|39DUR|468VULN|5DMG|7TLV|aRCR
9	33533 41221	10	   	274.00	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1CDMG|2LIT|39DUR|4DMG|568VULN|7TLV|aRCR
10	32116 26632	9	 * 	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2DMG|3RMIN|4DUR|5TLV|689aVULN|7RCR
11	32123 26632	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2DMG|3RMIN|4TLV|5DUR|689aVULN|7RCR
12	32433 26632	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2DMG|3TLV|4RMIN|5DUR|689aVULN|7RCR
13	32326 51141	2	   	273.20	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	17CDMG|26DMG|3BBNT|47DUR|57aVULN|7BPWR|8SELL|9RCR
14	33416 51211	10	   	272.22	DCR|4VULN|2TLV|2CDMG|1DUR	19CDMG|2LIT|3489VULN|5CGEN|6DUR|79TLV|9BPWR|aRCR
15	33421 41211	10	   	272.22	DCR|4VULN|2TLV|2CDMG|1DUR	19CDMG|2LIT|3689VULN|4DUR|5CGEN|79TLV|9BPWR|aRCR
