0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45332 36233	2	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG	13TLV|2368VULN|3BPWR|49DUR|5CGEN|7RCR|aDMG
2	45322 36231	4	 * 	278.08	DCR|5VULN|2DUR|2TLV	1aTLV|2468aVULN|3BEXP|5CGEN|7RCR|9aDUR|aBPWR
3	35366 32113	2	 * 	272.95	DCR|5VULN|1DMG|1TLV|1AART	135ERES|23567VULN|357BPWR|4AART|8TLV|9DMG|aRCR
4	35336 36232	2	   	272.77	DCR|5VULN|2DUR|2LIT	136ERES|2358aVULN|38BPWR|48DUR|78LIT|9RCR
5	35433 51213	10	 * 	271.76	DCR|4VULN|3DUR|1DMG	178ERES|247aVULN|3DMG|5aLWND|67aDUR|7aBPWR|9RCR
6	45433 11443	10	 * 	269.85	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG|1AART	17TLV|24VULN|37DMG|57DUR|6MBVNT|7BPWR|8AART|9CDMG|aRCR
7	25412 51323	7	 * 	267.01	DCR|3VULN|3DUR|2DMG	179ZMB|267VULN|39DMG|49LHND|578DUR|79BPWR|aRCR
8	11434 31523	7	   	266.91	DCR|3VULN|3DUR|2DMG	179FEWX|2RMIN|35DMG|479VULN|679DUR|79BPWR|8BBNT|aRCR
9	13253 51523	7	   	265.57	DCR|3VULN|3DUR|1DMG|1TLV	179FEWX|2RCVC|379VULN|4TLV|5DMG|679DUR|79BPWR|8BBNT|aRCR
10	35412 61311	9	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	17ERES|27aVULN|3DMG|4LHND|567DUR|7BPWR|8TLV|9RCR
11	45322 22161	7	   	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1TLV|247aVULN|3BEXP|5ASPD|6AART|8DMG|9RCR
12	35336 36231	2	   	264.23	DCR|4VULN|2DUR|2LIT|1ASPD	136ERES|2358VULN|38BPWR|48DUR|78LIT|9RCR|aASPD
13	45332 36213	2	   	263.92	DCR|4VULN|2TLV|1DMG|1DUR	13TLV|2368VULN|3BPWR|4DUR|5CGEN|7RCR|9RCVC|aDMG
14	45332 36222	2	   	263.92	DCR|4VULN|2TLV|1DMG|1DUR	13TLV|2368VULN|3BPWR|4DUR|5CGEN|7RCR|9DMG|aRPLT
15	45332 36221	2	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	13TLV|2368VULN|3BPWR|4DUR|5CGEN|7RCR|9DMG|aDUST
16	45332 36223	2	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	13TLV|2368VULN|3BPWR|4DUR|5CGEN|7RCR|9DMG|aERES
17	45322 36232	2	   	263.82	DCR|4VULN|2TLV|1DMG|1DUR	13TLV|2368VULN|3BPWR|4LEGI|5CGEN|7RCR|9DUR|aDMG
18	31151 44121	2	   	261.90	DCR|5VULN|1DMG|2LIT	127ERES|34678VULN|57LIT|7BPWR|9DMG|aRCR
19	33151 44121	2	   	261.90	DCR|5VULN|1DMG|2LIT	127ERES|27BPWR|34678VULN|57LIT|9DMG|aRCR
20	45433 22222	7	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|247VULN|3DMG|5aDUR|6AART|8LWND|9RCR
21	45433 22322	7	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|247VULN|3DMG|5aDUR|6AART|8LHND|9RCR
22	45433 22322	8	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|247VULN|3DMG|5aDUR|6AART|8FEWX|9RCR
23	32434 61311	10	 * 	260.84	DCR|4VULN|3DMG	178ERES|28LWND|357DMG|4789VULN|6LEGI|78BPWR|aRCR
24	45433 22221	7	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1TLV|247VULN|3DMG|5DUR|6AART|8LWND|9RCR|aCDMG
25	45433 22321	7	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1TLV|247VULN|3DMG|5DUR|6AART|8LHND|9RCR|aCDMG
26	45433 22321	8	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1TLV|247VULN|3DMG|5DUR|6AART|8FEWX|9RCR|aCDMG
27	45322 36232	4	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1TLV|2468VULN|3BEXP|5CGEN|7RCR|9DUR|aDMG
28	45433 11224	10	 * 	259.66	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|24VULN|37DMG|579DUR|6MBVNT|7BPWR|8ERES|aRCR
29	51121 61223	2	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	1aLWND|2RMIN|3AART|4DMG|57aVULN|68aDUR|9RCR|aBPWR
30	51431 61223	3	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	1aLWND|2RMIN|3DMG|4AART|57aVULN|68aDUR|9RCR|aBPWR
31	53221 61223	1	   	258.88	DCR|3VULN|3DUR|1DMG|1AART	1aLWND|2AART|3RMIN|4DMG|57aVULN|68aDUR|9RCR|aBPWR
32	45322 16231	4	   	258.54	DCR|4VULN|2DUR|2TLV	1aTLV|248aVULN|3BEXP|56CGEN|7RCR|9aDUR|aBPWR
33	45322 33121	4	   	258.54	DCR|4VULN|2DUR|2TLV	1aTLV|246aVULN|39BEXP|5CGEN|7aDUR|8RCR|aBPWR
34	45322 33131	4	   	258.54	DCR|4VULN|2DUR|2TLV	1aTLV|246aVULN|3BEXP|5CGEN|7aDUR|8RCR|9DMSP|aBPWR
35	45322 36321	4	   	258.54	DCR|4VULN|2DUR|2TLV	1aTLV|246aVULN|39BEXP|5CGEN|7RCR|8aDUR|aBPWR
36	45322 36331	4	   	258.54	DCR|4VULN|2DUR|2TLV	1aTLV|246aVULN|3BEXP|5CGEN|7RCR|8aDUR|9DMSP|aBPWR
37	45342 33121	2	 * 	258.54	DCR|4VULN|2DUR|3TLV	13aTLV|236aVULN|3aBPWR|49BEXP|5CGEN|7aDUR|8RCR
38	45342 33131	2	   	258.54	DCR|4VULN|2DUR|3TLV	13aTLV|236aVULN|3aBPWR|4BEXP|5CGEN|7aDUR|8RCR|9DMSP
39	45332 36232	2	   	258.44	DCR|4VULN|2DUR|2TLV	13TLV|2368VULN|3BPWR|49DUR|5CGEN|7RCR|aRPLT
40	41422 36231	4	   	258.44	DCR|4VULN|2DUR|2TLV	1aTLV|2ERES|368aVULN|4ZMB|5CGEN|7RCR|9aDUR|aBPWR
41	41433 16231	4	   	258.44	DCR|4VULN|2DUR|2TLV	1aTLV|2ERES|348aVULN|5CGEN|6ZMB|7RCR|9aDUR|aBPWR
42	45136 22231	8	   	258.44	DCR|4VULN|2DUR|2TLV	1aTLV|245aVULN|3MLV|6ERES|7RMIN|8RCR|9aDUR|aBPWR
43	45322 36231	2	   	258.44	DCR|4VULN|2DUR|3TLV	13aTLV|2368VULN|3aBPWR|4LEGI|5aCGEN|7RCR|9aDUR
44	45325 33121	4	   	258.44	DCR|4VULN|2DUR|2TLV	1aTLV|245aVULN|39BEXP|6ERES|7aDUR|8RCR|aBPWR
45	45325 33131	4	   	258.44	DCR|4VULN|2DUR|2TLV	1aTLV|245aVULN|3BEXP|6ERES|7aDUR|8RCR|9DMSP|aBPWR
46	35323 51214	10	   	258.34	DCR|4VULN|2DUR|1DMG	178ERES|247aVULN|3BEXP|5DMG|67DUR|7BPWR|9RCR
47	35332 36235	2	   	258.34	DCR|4VULN|2DUR|1DMG	13ERES|2368VULN|3BPWR|49DUR|5CGEN|7RCR|aDMG
48	45332 36231	2	   	258.34	DCR|4VULN|2DUR|2TLV	13TLV|2368VULN|3BPWR|49DUR|5CGEN|7RCR|aERES
49	31151 44322	2	   	258.08	DCR|5VULN|1DUR|2LIT	127ERES|3467aVULN|57LIT|7BPWR|8RCR|9DUR
50	33151 44322	2	   	258.08	DCR|5VULN|1DUR|2LIT	127ERES|27BPWR|3467aVULN|57LIT|8RCR|9DUR
51	16422 36231	1	   	258.01	DCR|5VULN|2DUR	1aFEWX|2368aVULN|4ERES|5CGEN|7RCR|9aDUR|aBPWR
52	35136 26231	5	   	257.91	DCR|5VULN|2DUR	1aERES|2458aVULN|3MLV|6LWND|7RCR|9aDUR|aBPWR
53	35136 34231	8	   	257.91	DCR|5VULN|2DUR	1aERES|2457aVULN|3MLV|6BEXP|8RCR|9aDUR|aBPWR
54	35136 36231	6	   	257.91	DCR|5VULN|2DUR	1aERES|2458aVULN|3MLV|6BEXP|7RCR|9aDUR|aBPWR
55	35322 36231	4	   	257.91	DCR|5VULN|2DUR	1aERES|2468aVULN|3BEXP|5CGEN|7RCR|9aDUR|aBPWR
56	35342 36231	2	   	257.91	DCR|5VULN|2DUR	13aERES|2368aVULN|3aBPWR|4BEXP|5CGEN|7RCR|9aDUR
57	35332 36231	2	   	257.81	DCR|5VULN|2DUR	13ERES|2368aVULN|3BPWR|49DUR|5CGEN|7RCR
58	44115 31111	6	   	257.67	DCR|2VULN|3DUR|1DMG|1TLV|1ASPD	1TLV|2LIT|345DUR|6RCR|79VULN|8DMG|aASPD
59	45133 12421	10	 * 	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1TLV|24aVULN|3MLV|5DUR|69CDMG|7RCR|8DMG
60	45133 12115	8	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1TLV|24aVULN|3MLV|59DUR|6CDMG|7RCR|8ASPD
61	13252 51523	7	   	256.51	DCR|3VULN|3DUR|1TLV|1ASPD	179FEWX|2RCVC|379VULN|4TLV|5ASPD|679DUR|79BPWR|8BBNT|aRCR
62	44115 31133	6	   	256.33	DCR|2VULN|3DUR|1DMG|1TLV|1AART	1TLV|2LIT|345DUR|6RCR|7aVULN|8DMG|9AART
63	41411 12431	10	 * 	256.26	DCR|3VULN|2DMG|2TLV|1CDMG	19TLV|2ERES|39aVULN|45LHND|6CDMG|7RCR|89DMG|9BPWR
64	45433 11411	10	   	256.20	DCR|2VULN|2DMG|2DUR|2TLV|1AART	17TLV|24VULN|37DMG|57DUR|6MBVNT|7BPWR|8AART|9RCVC|aRCR
65	12435 31223	2	   	256.01	DCR|4VULN|2DUR|2AART	1aFEWX|2BEXP|367aVULN|48AART|5aDUR|9RCR|aBPWR
66	45332 36313	2	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	13TLV|236VULN|3BPWR|48DUR|5CGEN|7RCR|9RCVC|aDMG
67	45332 36322	2	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	13TLV|236VULN|3BPWR|48DUR|5CGEN|7RCR|9DMG|aRPLT
68	41431 26312	6	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	1aTLV|2ERES|34aVULN|5RPLT|6CGEN|7DMG|8RCR|9aDUR|aBPWR
69	45332 16233	2	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	13TLV|238VULN|3BPWR|49DUR|56CGEN|7RCR|aDMG
70	35434 11424	10	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	17ERES|24VULN|37DMG|579DUR|6MBVNT|7BPWR|8TLV|aRCR
71	45332 36321	2	   	255.76	DCR|3VULN|2DUR|2TLV|1DMG	13TLV|236VULN|3BPWR|48DUR|5CGEN|7RCR|9DMG|aDUST
72	45332 36323	2	   	255.76	DCR|3VULN|2DUR|2TLV|1DMG	13TLV|236VULN|3BPWR|48DUR|5CGEN|7RCR|9DMG|aERES
73	35351 41121	2	   	255.25	DCR|5VULN|1DMG	137ERES|23468VULN|3BPWR|5LIT|9DMG|aRCR
74	13252 36231	4	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|2RCVC|368aVULN|4TLV|5CGEN|7RCR|9aDUR|aBPWR
75	13254 36231	3	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|2RCVC|368aVULN|4CGEN|5TLV|7RCR|9aDUR|aBPWR
76	13232 46231	6	   	254.72	DCR|4VULN|2DUR|1TLV	1aFEWX|2RCVC|348aVULN|5ERES|6TLV|7RCR|9aDUR|aBPWR
77	13255 36231	4	   	254.72	DCR|4VULN|2DUR|1TLV	1aFEWX|2RCVC|358aVULN|4TLV|6ERES|7RCR|9aDUR|aBPWR
78	21252 36231	4	   	254.72	DCR|4VULN|2DUR|1TLV	1aZMB|2ERES|368aVULN|4TLV|5CGEN|7RCR|9aDUR|aBPWR
79	26422 36231	3	   	254.72	DCR|4VULN|2DUR|1TLV	1aZMB|2TLV|368aVULN|4ERES|5CGEN|7RCR|9aDUR|aBPWR
80	26432 36231	4	   	254.72	DCR|4VULN|2DUR|1TLV	1aZMB|2TLV|368aVULN|4CGEN|5ERES|7RCR|9aDUR|aBPWR
81	31166 36213	2	   	254.65	DCR|4VULN|2DMG|1AART	125ERES|356aVULN|4AART|5BPWR|7RCR|89DMG
82	33166 36213	2	   	254.65	DCR|4VULN|2DMG|1AART	125ERES|25BPWR|356aVULN|4AART|7RCR|89DMG
83	35324 36231	4	   	254.52	DCR|4VULN|2DUR|1TLV	16aERES|248aVULN|3BEXP|5TLV|7RCR|9aDUR|aBPWR
84	13253 22266	9	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1FEWX|2RCVC|3789VULN|4TLV|5DMG|6AART|aRCR
85	25153 22262	9	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1ZMB|2789VULN|3MLV|4TLV|5DMG|6AART|aRCR
86	45123 22262	9	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1TLV|2789VULN|3MLV|4ZMB|5DMG|6AART|aRCR
87	45323 22216	9	   	253.51	DCR|4VULN|1DMG|1TLV|1AART	1TLV|2478VULN|39BEXP|5DMG|6AART|aRCR
88	35336 36233	2	   	253.23	DCR|4VULN|2DUR|2LIT	136ERES|2358VULN|38BPWR|48DUR|78LIT|9RCR|aLHND
89	31136 36232	2	   	253.13	DCR|4VULN|2DUR|2LIT	126ERES|358aVULN|48DUR|78LIT|8BPWR|9RCR
90	33136 36232	2	   	253.13	DCR|4VULN|2DUR|2LIT	126ERES|28BPWR|358aVULN|48DUR|78LIT|9RCR
91	34216 12232	7	   	253.13	DCR|4VULN|2DUR|2LIT	156ERES|28LIT|378aVULN|48DUR|8BPWR|9RCR
