0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44213 41233	9	 * 	273.17	DCR|3VULN|3DMG|2ASPD|1CDMG	1RPLT|249VULN|34ASPD|4BPWR|578DMG|6CDMG|aRCR
2	22645 21122	10	 * 	269.65	DCR|4VULN|2DMG|1TLV	1TLV|2DUST|3LIT|469aVULN|57DMG|8RCR
3	36241 21351	8	 * 	269.21	DCR|2VULN|3DMG|3DUR|1CDMG	1RMIN|258DUR|3CGEN|478DMG|68VULN|8BPWR|9CDMG|aRCR
4	64533 33131	9	 * 	268.20	DCR|4VULN|2DUR|2TLV|1AART	1579VULN|2BEXP|3AART|49DUR|69TLV|8BELT|9BPWR|aRCR
5	62216 61333	10	 * 	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	148VULN|28ZMB|3CGEN|56DUR|78DMG|8BPWR|9RCR|aCDMG
6	23633 62222	7	 * 	267.23	DCR|3VULN|2DMG|3TLV|2LIT|1AART	156TLV|2RPLT|3AART|459VULN|59BPWR|79LIT|89DMG|aRCR
7	23633 65222	7	   	267.23	DCR|3VULN|2DMG|3TLV|2LIT|1AART	156TLV|2RPLT|3AART|459VULN|59BPWR|79DMG|89LIT|aRCR
8	56211 33342	9	   	266.89	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1SELL|2DMSP|389VULN|48DMG|5CDMG|6ERES|78DUR|8BPWR|aRCR
9	44321 34231	6	 * 	266.87	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	1RPLT|29aVULN|3RCVC|4AART|5DMG|69DUR|79ASPD|8RCR|9BPWR
10	62216 61332	10	 * 	266.81	DCR|3VULN|3DUR|2DMG	148VULN|28ZMB|3CGEN|56aDUR|78DMG|8BPWR|9RCR
11	61111 11364	8	   	266.71	DCR|3VULN|3DUR|2DMG|1NUKE	18aVULN|2CGEN|3RCVC|458DUR|6NUKE|78DMG|8BPWR|9RCR
12	61211 11364	8	   	266.71	DCR|3VULN|3DUR|2DMG|1NUKE	18aVULN|23CGEN|458DUR|6NUKE|78DMG|8BPWR|9RCR
13	55338 44231	3	   	266.52	DCR|3VULN|2DUR|2ASPD|1DMG|1AART|1SELL	1SELL|2MBVNT|39ASPD|4DMG|59DUR|6AART|79aVULN|8RCR|9BPWR
14	55381 34231	6	   	266.52	DCR|3VULN|2DUR|2ASPD|1DMG|1AART|1SELL	1SELL|2MBVNT|39ASPD|4DMG|5AART|69DUR|79aVULN|8RCR|9BPWR
15	66633 32131	1	   	265.51	DCR|3VULN|2DUR|2ASPD|1DMG	129VULN|29BPWR|39ASPD|4LIT|57BEXP|6RCR|89DUR|aDMG
16	26211 24326	10	 * 	265.20	DCR|4VULN|2TLV|1DMG|2AART	17TLV|2467VULN|37CGEN|58AART|7BPWR|9DMG|aRCR
17	26214 23243	5	 * 	263.92	DCR|4VULN|2TLV|2CDMG|1DUR	19TLV|2489VULN|3CGEN|5RMIN|6DUR|79CDMG|9BPWR|aRCR
18	22645 21132	10	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|2DUST|3LIT|46aVULN|57DMG|8RCR|9DUR
19	62115 21532	5	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	189VULN|2ZMB|35RCVC|49DUR|6AART|79DMG|9BPWR|aRCR
20	62152 11532	6	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	189VULN|2ZMB|34RCVC|5AART|69DUR|79DMG|9BPWR|aRCR
21	44211 21622	5	 * 	263.07	DCR|4VULN|2ASPD|1DUR|1AART	1RPLT|248aVULN|34ASPD|4BPWR|5AART|6LIT|7RCR|9DUR
22	11533 32166	1	   	262.77	DCR|3VULN|3DUR|1DMG|1CDMG	17BEXP|2BBNT|3CDMG|479VULN|578DUR|6RCR|7BPWR|aDMG
23	46411 12232	5	 * 	262.00	DCR|5VULN|1DMG|2LIT	1RPLT|24LIT|34789VULN|4BPWR|5DUST|6RCR|aDMG
24	62216 61331	10	   	261.89	DCR|3VULN|2DMG|2DUR	148VULN|28ZMB|3CGEN|56DUR|78DMG|8BPWR|9RCR|aLIT
25	26211 25326	10	   	261.28	DCR|4VULN|1DMG|2AART|1TLV	1TLV|2467VULN|3CGEN|58AART|9DMG|aRCR
26	44211 63232	7	   	260.49	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1RPLT|248VULN|34ASPD|4BPWR|5AART|6TLV|7LIT|9DMG|aRCR
27	44212 23232	7	   	260.49	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1RPLT|248VULN|34ASPD|4BPWR|5TLV|6AART|7LIT|9DMG|aRCR
28	44212 25232	7	   	260.49	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1RPLT|247VULN|34ASPD|4BPWR|5TLV|6AART|8LIT|9DMG|aRCR
29	44212 25232	8	   	260.49	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1RPLT|247VULN|34ASPD|4BPWR|5TLV|6AART|8LIT|9DMG|aRCR
