0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33114 41263	7	 * 	291.61	DCR|3VULN|3DUR|2DMG|3CDMG|1AART	19DMG|245CDMG|349DUR|49BPWR|6RCR|789VULN|aAART
2	32241 45222	7	 * 	286.56	DCR|3VULN|3DMG|3DUR|2LIT	178DMG|278VULN|3aLIT|4LWND|578DUR|6RPLT|78BPWR|9RCR
3	32432 33313	7	 * 	282.67	DCR|4VULN|3DMG|2TLV	136DMG|289aVULN|4RCVC|59TLV|7RCR|9BPWR
4	33114 41261	7	   	281.95	DCR|3VULN|3DUR|2DMG|3CDMG	19DMG|245CDMG|349DUR|49BPWR|6RCR|789VULN|aLWND
5	33114 41262	7	   	281.95	DCR|3VULN|3DUR|2DMG|3CDMG	19DMG|245CDMG|349DUR|49BPWR|6RCR|789VULN|aBEXP
6	33141 11643	4	   	280.13	DCR|3VULN|3DMG|2DUR|1CDMG	189DMG|2CDMG|38DUR|4LIT|5ERES|6RCR|78aVULN|8BPWR
7	32241 45223	7	   	280.01	DCR|3VULN|3DMG|3DUR	178DMG|278VULN|3LIT|4LWND|578DUR|6RPLT|78BPWR|9RCR|aLHND
8	32241 45221	7	   	279.91	DCR|3VULN|3DMG|3DUR	178DMG|278VULN|3LIT|4LWND|578DUR|6RPLT|78BPWR|9RCR|aTBNT
9	32124 33524	5	 * 	279.13	DCR|4VULN|3DMG|2DUR	169DMG|257aVULN|3aERES|4aDUR|8RCR|aBPWR
10	33141 11663	4	   	277.70	DCR|3VULN|3DUR|2DMG|1CDMG	18DMG|2CDMG|38aDUR|4LIT|5ERES|6RCR|789VULN|8BPWR
11	32432 33312	7	   	275.27	DCR|3VULN|3DMG|2TLV|1CDMG	136DMG|289VULN|4RCVC|59TLV|7RCR|9BPWR|aCDMG
12	33521 42334	2	   	275.14	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	167DMG|2CDMG|37TLV|4BBNT|57VULN|7BPWR|8DUR|9ASPD|aRCR
13	33531 42334	2	   	275.14	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	167DMG|2CDMG|37TLV|4TBNT|57VULN|7BPWR|8DUR|9ASPD|aRCR
14	32261 45313	10	   	272.11	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	18DMG|28aVULN|3LIT|4FEWX|5AART|68ASPD|7RCR|8BPWR|9TLV
15	32123 33524	4	   	271.30	DCR|3VULN|3DMG|3DUR	169DMG|27aVULN|3aERES|45aDUR|8RCR|aBPWR
16	52223 33524	4	   	271.30	DCR|3VULN|3DMG|3DUR	1aERES|27aVULN|369DMG|45aDUR|8RCR|aBPWR
17	33111 51513	9	 * 	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1DMG|24CDMG|34DUR|4BPWR|56aVULN|7LWND|8TLV|9RCR
18	33111 51513	10	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1DMG|24CDMG|34DUR|4BPWR|56aVULN|7LWND|8TLV|9RCR
19	33111 52513	9	   	271.10	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	1DMG|24CDMG|34DUR|4BPWR|56aVULN|7BEXP|8TLV|9RCR
20	32251 22224	8	   	270.85	DCR|3VULN|2DMG|1TLV|1DUR	18DMG|258VULN|3LIT|4ASPD|6RCR|78MLV|8BPWR|9DUR|aTLV
21	33111 56215	6	   	270.79	DCR|3VULN|2DMG|2DUR|2CDMG	1aDMG|24CDMG|34DUR|4BPWR|569VULN|7LIT|8RCR
22	13222 42213	5	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|29DUR|39DMG|4DMSP|5TLV|6RCR|7BEXP|89aVULN|9BPWR
23	13222 44213	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|29DUR|39DMG|4DMSP|5TLV|6RCR|7FEWX|89aVULN|9BPWR
24	13222 55213	6	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|29DUR|39DMG|4DMSP|5TLV|6FEWX|7RCR|89aVULN|9BPWR
25	32314 26522	7	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|25aVULN|39LWND|4CGEN|6TLV|7RCR|89DUR|9BPWR
26	13222 46213	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|29DUR|39DMG|4DMSP|5TLV|6RCR|7DUST|89aVULN|9BPWR
27	13253 16243	8	 * 	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1RCVC|28DUR|378DMG|4LIT|5BEXP|68VULN|8BPWR|9TLV|aRCR
