0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21542 23353	5	 * 	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RMIN|34aVULN|4aBPWR|57aDUR|6RCR|8aDMG|9BELT
2	23124 15311	1	   	264.76	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR|aTLV
3	23124 15314	1	   	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR|aDUR
4	52366 12311	1	 * 	255.75	DCR|2VULN|3DMG|3DUR	189BEXP|258DMG|3ZMB|49VULN|6BELT|789DUR|89BPWR|aRCR
5	26363 23324	1	 * 	254.45	DCR|3VULN|3DMG|1DUR	1RCVC|2aDUST|34aVULN|5ZMB|6RCR|7DUR|89aDMG|aBPWR
6	22413 36241	9	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	12RCVC|39LIT|479VULN|59DMG|6BELT|8RCR|9BPWR|aTLV
7	22413 36243	10	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	12RCVC|39LIT|479VULN|59DMG|6BELT|8RCR|9BPWR|aTLV
8	22316 26353	3	   	253.78	DCR|3VULN|2DMG|2DUR	12RCVC|37aZMB|47DUR|57aVULN|6RCR|7aBPWR|8aDMG|9BELT
9	36512 31335	5	 * 	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1LWND|259VULN|3ASPD|4CGEN|69TLV|7ERES|89DMG|9BPWR|aRCR
10	21542 23334	5	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|2RMIN|34aVULN|4aBPWR|57DUR|6RCR|8aDMG|9aLWND
11	21524 23314	3	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|2RMIN|34aVULN|59BEXP|6RCR|7aDUR|8aDMG|aBPWR
12	22523 43323	4	   	253.58	DCR|3VULN|2DMG|2DUR	12RCVC|3BELT|4RMIN|56aVULN|7aDMG|8RCR|9aDUR|aBPWR
13	22525 43323	3	   	253.58	DCR|3VULN|2DMG|2DUR	12RCVC|3BELT|46aVULN|5RMIN|7aDMG|8RCR|9aDUR|aBPWR
14	22521 43323	3	   	253.58	DCR|3VULN|2DMG|2DUR	12RCVC|3BELT|46aVULN|5ZMB|7aDMG|8RCR|9aDUR|aBPWR
15	23124 15312	1	 * 	253.52	DCR|3VULN|2DMG|3LIT|1ASPD	1RCVC|27aLIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR
16	21542 21123	5	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|2RMIN|34aVULN|4aBPWR|5aDUR|6RCR|7ERES|8LHND|9aDMG
17	22543 43323	4	   	253.48	DCR|3VULN|2DMG|2DUR|1NUKE	12RCVC|3BELT|4NUKE|56aVULN|7aDMG|8RCR|9aDUR|aBPWR
18	23443 53333	1	 * 	253.47	DCR|4VULN|2ASPD|2LIT|1AART	1RCVC|29LIT|359aVULN|49ASPD|6AART|7RMIN|8RCR|9BPWR
19	51326 16322	6	 * 	253.39	DCR|3VULN|2DUR|2ASPD|1TLV	17BEXP|25DUR|37ASPD|4RCVC|678VULN|7BPWR|9TLV|aRCR
20	33522 42323	8	   	252.30	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1aLWND|2SELL|3DUR|46aVULN|5ERES|7CDMG|8RCR|9aDMG|aBPWR
21	33522 42363	9	   	252.30	DCR|3VULN|2DMG|1DUR|1CDMG|1SELL	1aLWND|2SELL|3DUR|46aVULN|5ERES|7CDMG|8RCR|9aDMG|aBPWR
22	23415 13333	1	 * 	251.63	DCR|5VULN|1DUR	1RCVC|2LIT|34589VULN|6DUR|7RCR|aLHND
23	23415 13334	1	   	251.63	DCR|5VULN|1DUR	1RCVC|2LIT|34589VULN|6DUR|7RCR|aRPLT
24	23415 13335	1	   	251.63	DCR|5VULN|1DUR	1RCVC|2LIT|34589VULN|6DUR|7RCR|aLWND
25	23415 13331	1	   	251.53	DCR|5VULN|1DUR	1RCVC|2LIT|34589VULN|6DUR|7RCR|aDUST
26	23415 13332	1	   	251.53	DCR|5VULN|1DUR	1RCVC|2LIT|34589VULN|6DUR|7RCR|aERES
27	33526 32612	8	 * 	251.46	DCR|4VULN|3DUR|1SELL	1LWND|2SELL|368DUR|456aVULN|6BPWR|7BEXP|9RCR
28	33526 33612	8	 * 	251.46	DCR|4VULN|3DUR|1SELL	1LWND|2SELL|368DUR|456aVULN|6BPWR|7LHND|9RCR
29	23313 53311	1	   	249.81	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1RCVC|2LIT|3SELL|46DUR|56aVULN|6BPWR|7TLV|8AART|9RCR
30	23332 53311	1	   	249.81	DCR|3VULN|2DUR|1TLV|1AART|1SELL	1RCVC|2LIT|3SELL|46aVULN|56DUR|6BPWR|7TLV|8AART|9RCR
31	36511 12335	6	   	249.80	DCR|3VULN|2DMG|1TLV|1ASPD	1LWND|279VULN|3ASPD|4CGEN|59ERES|6TLV|89DMG|9BPWR|aRCR
32	23411 13335	1	   	249.65	DCR|4VULN|1DUR|2LIT|1ASPD	1RCVC|25LIT|3489VULN|6DUR|7RCR|aASPD
