0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23232 26623	9	 * 	290.87	DCR|3VULN|3DMG|3DUR	1FEWX|289DUR|3LIT|4CGEN|589VULN|6DUST|789DMG|89BPWR|aRCR
2	33123 36443	5	 * 	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1ERES|2BELT|35DMG|457aVULN|5BPWR|6RCR|8TLV|9DUR
3	43123 36412	5	   	277.55	DCR|4VULN|2DMG|1TLV|1DUR|1SELL	1TLV|2BELT|35DMG|459aVULN|5BPWR|6RCR|7DUR|8SELL
4	63131 31416	3	 * 	275.62	DCR|2VULN|3DMG|3DUR|3TLV	138DMG|2BELT|48aTLV|58aDUR|6RCR|7RMIN|8aBPWR|9aVULN
5	53123 36422	5	   	275.19	DCR|4VULN|2DMG|1TLV|1CDMG	1CGEN|2BELT|35DMG|457aVULN|5BPWR|6RCR|8TLV|9CDMG
6	33123 36422	5	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1ERES|2BELT|35DMG|457aVULN|5BPWR|6RCR|8TLV|9CDMG
7	53123 36262	5	 * 	274.49	DCR|5VULN|2DMG|1AART	1CGEN|2BELT|35DMG|4579aVULN|5BPWR|6RCR|8AART
8	33123 36262	5	   	274.39	DCR|5VULN|2DMG|1AART	1ERES|2BELT|35DMG|4579aVULN|5BPWR|6RCR|8AART
9	23146 11331	6	   	271.90	DCR|2VULN|3DMG|3DUR|1TLV	168FEWX|259DUR|3TLV|469DMG|69BPWR|79VULN|aRCR
10	23146 12331	8	   	271.90	DCR|2VULN|3DMG|3DUR|1TLV	167FEWX|259DUR|3TLV|469DMG|69BPWR|89VULN|aRCR
11	23146 12431	7	   	271.90	DCR|2VULN|3DMG|3DUR|1TLV	167FEWX|259DUR|3TLV|469DMG|69BPWR|89VULN|aRCR
12	62633 12512	3	   	269.84	DCR|4VULN|2DMG|1CDMG|1ASPD	16DMG|2CDMG|3ASPD|456aVULN|6BPWR|7TBNT|8LWND|9RCR
13	33123 36442	5	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	1ERES|2BELT|35DMG|457VULN|5BPWR|6RCR|8TLV|9aDUR
14	43123 36413	5	   	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1TLV|2BELT|35DMG|459VULN|5BPWR|6RCR|7aDUR|8SELL
15	62633 21612	3	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DMG|2CDMG|3ASPD|459aVULN|6RCR|7BELT|8DUR
16	63612 11363	6	 * 	268.48	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	17DMG|2BELT|3AART|48LIT|57aVULN|67ASPD|7BPWR|9RCR
17	23241 23623	9	 * 	268.40	DCR|3VULN|3DUR|3ASPD	1FEWX|289DUR|3LIT|4BEXP|589VULN|6CGEN|789ASPD|89BPWR|aRCR
18	23232 23623	9	   	268.30	DCR|3VULN|3DUR|3ASPD	1FEWX|289DUR|3LIT|4CGEN|589VULN|6DUST|789ASPD|89BPWR|aRCR
19	43123 16341	6	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1TLV|2BELT|35DMG|45aVULN|5BPWR|6FEWX|7DUR|8RCR|9ASPD
20	43123 36141	5	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1TLV|2BELT|35DMG|45aVULN|5BPWR|6RCR|7DUR|8BEXP|9ASPD
21	43123 36241	5	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1TLV|2BELT|35DMG|45aVULN|5BPWR|6RCR|7DUR|8LHND|9ASPD
22	43123 36523	5	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1TLV|2BELT|35DMG|45aVULN|5BPWR|6RCR|7DUR|8ASPD|9DMSP
23	43123 36531	5	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1TLV|2BELT|35DMG|45aVULN|5BPWR|6RCR|7DUR|8ASPD|9BEXP
24	43122 26341	5	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1TLV|2BELT|36DMG|46aVULN|5LEGI|6BPWR|7DUR|8RCR|9ASPD
25	53123 36222	5	   	265.95	DCR|4VULN|2DMG|1ASPD|1AART	1CGEN|2BELT|35DMG|457aVULN|5BPWR|6RCR|8AART|9ASPD
26	33123 36222	5	   	265.85	DCR|4VULN|2DMG|1ASPD|1AART	1ERES|2BELT|35DMG|457aVULN|5BPWR|6RCR|8AART|9ASPD
27	66411 12332	10	   	265.64	DCR|2VULN|3DMG|2DUR|1CDMG|1AART	178DMG|27DUR|3CDMG|4LHND|57VULN|6AART|7BPWR|9BEXP|aRCR
28	22162 13247	3	   	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	17FEWX|278DMG|3MBVNT|4ASPD|5DUR|679VULN|7BPWR|aRCR
