0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53313 22365	4	 * 	291.07	DCR|4VULN|3DUR|2CDMG|1ASPD	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9ASPD
2	52134 22343	2	   	289.64	DCR|4VULN|2DUR|2CDMG|1TLV|2LIT	18DUR|23CDMG|4689VULN|58LIT|7RCR|8BPWR|aTLV
3	36643 23322	7	 * 	288.67	DCR|3VULN|3DUR|2DMG|1CDMG|1NUKE	1NUKE|28aVULN|368DUR|4CDMG|5LIT|78DMG|8BPWR|9RCR
4	52132 26336	5	 * 	286.31	DCR|4VULN|3DUR|3CDMG	178DUR|278CDMG|3LIT|4LWND|5RCVC|678aVULN|78BPWR|9RCR
5	62323 26336	4	   	286.21	DCR|4VULN|3DUR|3CDMG	1RCVC|278DUR|3LIT|4LEGI|578CDMG|678aVULN|78BPWR|9RCR
6	14311 15135	8	 * 	285.89	DCR|4VULN|2DMG|2DUR|1AART	1RPLT|2aDUR|3AART|4LWND|568aVULN|7aDMG|9RCR|aBPWR
7	53313 22366	4	   	284.68	DCR|3VULN|3DUR|2CDMG|1TLV|1ASPD	128DUR|3LIT|468VULN|58CDMG|7RCR|8BPWR|9ASPD|aTLV
8	62313 22343	4	   	283.09	DCR|4VULN|2DUR|2CDMG|1TLV	1RCVC|28DUR|3LIT|4689VULN|58CDMG|7RCR|8BPWR|aTLV
9	62363 22343	3	   	283.09	DCR|4VULN|2DUR|2CDMG|1TLV	1RCVC|28DUR|3LIT|4689VULN|58CDMG|7RCR|8BPWR|aTLV
10	52634 22312	2	   	280.31	DCR|4VULN|3DUR|2LIT|1CDMG	138DUR|2CDMG|468aVULN|58LIT|7RCR|8BPWR|9BEXP
11	53311 65312	7	   	280.07	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|458aVULN|6RCR|78CDMG|8BPWR|9BEXP
12	53313 22312	4	   	280.07	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9BEXP
13	53313 22326	4	   	280.07	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9ZMB
14	53363 22312	3	   	280.07	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9BEXP
15	53363 22326	3	   	280.07	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9ZMB
16	53313 22335	4	   	279.97	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9TBNT
17	53313 22345	4	   	279.97	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9BBNT
18	53363 22335	3	   	279.97	DCR|4VULN|3DUR|2CDMG	128DUR|3LIT|468aVULN|58CDMG|7RCR|8BPWR|9TBNT
19	52132 26334	5	   	279.92	DCR|3VULN|3DUR|3CDMG|1TLV	178DUR|278CDMG|3LIT|4LWND|5RCVC|678VULN|78BPWR|9RCR|aTLV
20	62323 26334	4	   	279.82	DCR|3VULN|3DUR|3CDMG|1TLV	1RCVC|278DUR|3LIT|4LEGI|578CDMG|678VULN|78BPWR|9RCR|aTLV
21	52634 22331	2	   	277.63	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	138DUR|2CDMG|468VULN|58LIT|7RCR|8BPWR|9TBNT|aDMG
22	53313 22324	4	 * 	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	128DUR|3LIT|468VULN|58CDMG|7RCR|8BPWR|9ZMB|aDMG
23	53363 22324	3	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	128DUR|3LIT|468VULN|58CDMG|7RCR|8BPWR|9ZMB|aDMG
