0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33237 23183	6	 * 	307.33	DCR|5VULN|3DMG|2DUR	1456aVULN|2MBVNT|35aDMG|5aBPWR|7RCR|8AART|9aDUR
2	23243 47476	7	 * 	305.88	DCR|3VULN|3DMG|3DUR|2TLV	168DUR|2MBVNT|389DMG|4FEWX|59TLV|789VULN|89BPWR|aRCR
3	23243 52476	6	   	305.88	DCR|3VULN|3DMG|3DUR|2TLV	178DUR|2MBVNT|389DMG|4FEWX|59TLV|689VULN|89BPWR|aRCR
4	33237 47161	9	 * 	301.12	DCR|5VULN|3DMG|2TLV	1459aVULN|2MBVNT|35aDMG|5aBPWR|6aTLV|7BELT|8RCR
5	33235 31328	8	 * 	296.86	DCR|4VULN|3DUR|2DMG|3LIT	148aVULN|2MBVNT|3aDMG|58aLIT|678DUR|8aBPWR|9RCR
6	33237 23454	9	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	14567VULN|2MBVNT|35DMG|5BPWR|8TLV|9RCR|aDUR
7	33237 23456	10	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	14567VULN|2MBVNT|35DMG|5BPWR|8TLV|9RCR|aDUR
8	33237 23844	7	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	14567VULN|2MBVNT|35DMG|5BPWR|8RCR|9TLV|aDUR
9	33237 25844	6	   	293.43	DCR|5VULN|2DMG|1TLV|1DUR	14567VULN|2MBVNT|35DMG|5BPWR|8RCR|9TLV|aDUR
10	33237 23455	9	   	292.84	DCR|5VULN|3DMG|1TLV	14567VULN|2MBVNT|35aDMG|5BPWR|8TLV|9RCR
11	33237 23845	7	   	292.84	DCR|5VULN|3DMG|1TLV	14567VULN|2MBVNT|35aDMG|5BPWR|8RCR|9TLV
12	33237 72712	10	 * 	292.55	DCR|4VULN|3DMG|3DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78aDUR|9RCR
13	33237 72713	9	   	292.55	DCR|4VULN|3DMG|3DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78aDUR|9RCR
14	35612 31334	10	   	291.95	DCR|4VULN|3DUR|2DMG|2LIT	1389VULN|28LIT|49FEWX|59DMG|678DUR|89BPWR|aRCR
15	33237 83183	5	   	288.99	DCR|4VULN|3DMG|2DUR	145aVULN|2MBVNT|35aDMG|5aBPWR|6RCVC|7RCR|8AART|9aDUR
16	33237 72712	9	   	287.63	DCR|4VULN|3DMG|2DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78DUR|9RCR|aLIT
17	33237 23452	10	   	286.84	DCR|5VULN|2DMG|1TLV	14567VULN|2MBVNT|35DMG|5BPWR|8TLV|9RCR|aAART
18	43462 22333	6	 * 	286.31	DCR|4VULN|2TLV|2DUR|3CDMG	17TLV|25DUR|378CDMG|4679VULN|7BPWR|aRCR
19	33237 23452	9	   	285.49	DCR|5VULN|2DMG|1TLV	14567VULN|2MBVNT|35DMG|5BPWR|8TLV|9RCR|aLIT
20	33237 23554	10	   	285.49	DCR|5VULN|2DMG|1TLV	14567VULN|2MBVNT|35DMG|5BPWR|8ASPD|9RCR|aTLV
21	33237 23842	7	   	285.49	DCR|5VULN|2DMG|1TLV	14567VULN|2MBVNT|35DMG|5BPWR|8RCR|9TLV|aLIT
22	33237 25842	6	   	285.49	DCR|5VULN|2DMG|1TLV	14567VULN|2MBVNT|35DMG|5BPWR|8RCR|9TLV|aLIT
23	33237 23454	10	   	285.26	DCR|5VULN|2DMG|2TLV	14567VULN|2MBVNT|35DMG|5BPWR|8aTLV|9RCR
24	33237 45451	7	   	284.75	DCR|4VULN|2DMG|1TLV|1DUR	145aVULN|2MBVNT|35DMG|5BPWR|6TLV|7AART|8RCR|9DUR
25	33237 85211	8	   	284.75	DCR|4VULN|2DMG|1TLV|1DUR	145aVULN|2MBVNT|35DMG|5BPWR|6DUR|7TLV|8AART|9RCR
26	33237 23117	6	   	284.16	DCR|4VULN|3DMG|1TLV	1456VULN|2MBVNT|359DMG|5BPWR|7RCR|8AART|aTLV
27	33237 47111	8	   	282.77	DCR|4VULN|3DMG|2TLV	145aVULN|2MBVNT|35aDMG|5aBPWR|6aTLV|7BELT|8RCR|9DMSP
28	33237 47121	9	   	282.77	DCR|4VULN|3DMG|2TLV	145aVULN|2MBVNT|35aDMG|5aBPWR|6aTLV|7BELT|8RCR|9RCVC
29	33232 32834	2	   	282.43	DCR|4VULN|3DMG|2TLV|1SELL	137aVULN|2MBVNT|37BPWR|4SELL|57TLV|679DMG|8RCR
30	33237 23134	6	   	282.15	DCR|4VULN|2DMG|1TLV|1CDMG	1456VULN|2MBVNT|35DMG|5BPWR|7RCR|8AART|9TLV|aCDMG
31	33237 45474	7	   	282.15	DCR|4VULN|2DMG|1TLV|1CDMG	1459VULN|2MBVNT|35DMG|5BPWR|6TLV|7AART|8RCR|aCDMG
32	33237 43374	6	   	281.88	DCR|4VULN|2DMG|2TLV|2LIT	1459VULN|2MBVNT|35DMG|59BPWR|69TLV|79LIT|8BBNT|aRCR
33	33237 43474	6	   	281.88	DCR|4VULN|2DMG|2TLV|2LIT	1459VULN|2MBVNT|35DMG|59BPWR|69TLV|79LIT|8TBNT|aRCR
34	14233 32321	10	   	280.64	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	18LIT|2RPLT|348aVULN|5DUR|6DMG|78TLV|8BPWR|9RCR
35	31232 32616	1	   	280.43	DCR|4VULN|2DMG|2TLV|1CDMG|1SELL	1379VULN|2LEGI|37BPWR|4SELL|57TLV|67DMG|8CDMG|aRCR
36	31232 32616	2	   	280.43	DCR|4VULN|2DMG|2TLV|1CDMG|1SELL	1379VULN|23DUST|37BPWR|4SELL|57TLV|67DMG|8CDMG|aRCR
37	32232 32616	1	   	280.43	DCR|4VULN|2DMG|2TLV|1CDMG|1SELL	1379VULN|23DUST|37BPWR|4SELL|57TLV|67DMG|8CDMG|aRCR
38	33237 23835	7	   	280.28	DCR|5VULN|3DMG|1CDMG	14567VULN|2MBVNT|359DMG|59BPWR|8RCR|aCDMG
39	33237 72711	10	   	279.33	DCR|4VULN|3DMG|2DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78DUR|9RCR|aZMB
40	33237 72714	10	   	279.33	DCR|4VULN|3DMG|2DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78DUR|9RCR|aCGEN
41	33237 72711	9	   	279.23	DCR|4VULN|3DMG|2DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78DUR|9RCR|aDUST
42	33237 72714	9	   	279.23	DCR|4VULN|3DMG|2DUR	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78DUR|9RCR|aERES
43	33237 72713	10	   	279.08	DCR|4VULN|3DMG|2DUR|1SELL	1458VULN|2MBVNT|358DMG|58BPWR|6BELT|78DUR|9RCR|aSELL
44	33634 33434	6	 * 	278.55	DCR|5VULN|2TLV|2DUR	1489aVULN|2MBVNT|38DUR|58TLV|6RMIN|7RCR|8BPWR
45	33638 33434	5	   	278.55	DCR|5VULN|2TLV|2DUR	1489aVULN|2MBVNT|38DUR|5RMIN|68TLV|7RCR|8BPWR
46	21442 33361	5	   	277.91	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	189DUR|289DUST|3CDMG|4MBVNT|5TLV|6RCR|789VULN|89BPWR|aDMG
47	21442 33361	4	   	277.91	DCR|3VULN|3DUR|1TLV|1DMG|1CDMG	189DUR|289DUST|3CDMG|4MBVNT|5TLV|6RCR|789VULN|89BPWR|aDMG
48	33237 42815	7	   	277.35	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	145VULN|2MBVNT|35DMG|5BPWR|6TLV|7CDMG|8AART|9DUR|aRCR
49	33237 45454	7	   	277.35	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	145VULN|2MBVNT|35DMG|5BPWR|6TLV|7AART|8RCR|9DUR|aCDMG
50	33237 85214	8	   	277.35	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	145VULN|2MBVNT|35DMG|5BPWR|6DUR|7TLV|8AART|9RCR|aCDMG
