0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43241 33223	3	 * 	303.02	DCR|3VULN|3DUR|2DMG|3LIT|1TLV	146DUR|279LIT|3TLV|569VULN|69BPWR|89DMG|aRCR
2	41316 42221	10	 * 	300.37	DCR|5VULN|2DUR|3CDMG|1TLV	17DUR|24579VULN|367CDMG|7BPWR|8TLV|aRCR
3	21326 42243	9	 * 	298.65	DCR|4VULN|2DMG|3CDMG|1TLV|1ASPD	1279VULN|3ASPD|47DMG|567CDMG|7BPWR|8TLV|aRCR
4	21621 33242	8	 * 	297.23	DCR|5VULN|2DMG|1TLV|1DUR	12578VULN|3TLV|4DUR|69DMG|aRCR
5	21161 33242	9	 * 	295.66	DCR|5VULN|2DMG|2DUR	12578VULN|39DUR|4RMIN|69DMG|9BPWR|aRCR
6	21621 33212	8	   	294.23	DCR|5VULN|2DUR|1DMG|1TLV	12578VULN|3TLV|49DUR|6DMG|aRCR
7	41521 22213	9	   	294.09	DCR|4VULN|2DMG|2DUR	18DUR|289aVULN|3AART|4LIT|5DUST|6RCR|78DMG|8BPWR
8	41533 22213	9	   	294.09	DCR|4VULN|2DMG|2DUR	18DUR|289aVULN|3AART|4DUST|5LIT|6RCR|78DMG|8BPWR
9	41316 42211	10	 * 	294.05	DCR|4VULN|3DUR|3CDMG|1TLV	179DUR|2457VULN|367CDMG|7BPWR|8TLV|aRCR
10	21621 31331	10	   	293.46	DCR|4VULN|2DUR|2TLV|1DMG|2LIT	1259VULN|39TLV|47DUR|6DMG|89LIT|9BPWR|aRCR
11	21143 34131	10	   	290.98	DCR|4VULN|2DMG|2DUR|2LIT	1279VULN|39DUR|45LIT|6ERES|89DMG|9BPWR|aRCR
12	21326 42314	9	   	290.70	DCR|4VULN|2DMG|3CDMG|1ASPD	127aVULN|3ASPD|47DMG|567CDMG|7BPWR|8LIT|9RCR
13	21326 42316	10	   	290.70	DCR|4VULN|2DMG|3CDMG|1ASPD	127aVULN|3ASPD|47DMG|567CDMG|7BPWR|8LIT|9RCR
14	21621 16113	5	   	290.64	DCR|5VULN|1DMG|1TLV|1DUR|1ASPD	1258aVULN|3TLV|4DUR|6RCR|7DMG|9ASPD
15	43551 33213	9	 * 	290.40	DCR|3VULN|3DUR|2ASPD|3LIT|2TLV	179DUR|278LIT|35ASPD|49TLV|679VULN|79BPWR|aRCR
16	43551 33323	7	   	290.40	DCR|3VULN|3DUR|2ASPD|3LIT|2TLV	178DUR|279LIT|35ASPD|49TLV|679VULN|79BPWR|aRCR
17	21621 12322	5	   	289.12	DCR|5VULN|2DUR|1TLV|2LIT	1259aVULN|3TLV|49DUR|6RCR|7BBNT|89LIT|9BPWR
18	21621 16613	5	   	288.69	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	125aVULN|3TLV|4DUR|6RCR|78DMG|9ASPD
19	21621 31264	10	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1258VULN|3TLV|47DUR|6DMG|9CDMG|aRCR
20	21621 13232	7	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1256VULN|3TLV|479DUR|8DMG|aRCR
21	21621 13311	9	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1256VULN|3TLV|479DUR|8RCR|aDMG
22	21621 13341	8	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1256VULN|3TLV|479DUR|8RCR|aDMG
23	21621 31232	8	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1258VULN|3TLV|479DUR|6DMG|aRCR
24	21621 31462	9	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1259VULN|3TLV|478DUR|6DMG|aRCR
25	21621 33432	8	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1257VULN|3TLV|489DUR|6DMG|aRCR
26	21123 45262	3	   	287.64	DCR|5VULN|2DUR|1DMG	1279aVULN|37DUR|4AART|57DUST|6RCR|7BPWR|8DMG
27	43141 33323	2	   	286.77	DCR|3VULN|3DUR|2DMG|3LIT	146DUR|279LIT|3MLV|569VULN|69BPWR|89DMG|aRCR
28	43611 33323	2	   	286.77	DCR|3VULN|3DUR|2DMG|3LIT	136DUR|279LIT|4MLV|569VULN|69BPWR|89DMG|aRCR
29	21621 13364	8	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1256VULN|3TLV|47DUR|8RCR|9ASPD|aDMG
30	21621 16313	5	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	125aVULN|3TLV|48DUR|6RCR|7DMG|9ASPD
31	21621 16111	5	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1258VULN|3TLV|4aDUR|6RCR|7DMG|9ASPD
32	21624 16213	5	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	1267aVULN|3TLV|47DUR|57ERES|7BPWR|8RCR|9ASPD
33	21625 16213	3	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	1267aVULN|3TLV|47ERES|57DUR|7BPWR|8RCR|9ASPD
34	23125 16213	1	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	1367aVULN|2TLV|47ERES|57DUR|7BPWR|8RCR|9ASPD
35	21621 16212	8	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	12568VULN|3TLV|49DUR|7ASPD|aRCR
36	41521 22213	10	   	285.10	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|289VULN|3AART|4LIT|5DUST|6RCR|78DMG|8BPWR|aCDMG
37	41521 22215	9	   	285.10	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|289VULN|3AART|4LIT|5DUST|6RCR|78DMG|8BPWR|aCDMG
38	41533 22213	10	   	285.10	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|289VULN|3AART|4DUST|5LIT|6RCR|78DMG|8BPWR|aCDMG
39	41533 22215	9	   	285.10	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|289VULN|3AART|4DUST|5LIT|6RCR|78DMG|8BPWR|aCDMG
40	21111 32366	9	   	284.76	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	125aVULN|3DUR|4ASPD|6DMG|7CDMG|8RCR|9TLV
41	21143 42131	10	   	284.69	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	129VULN|39DUR|45LIT|6DMSP|7TLV|89DMG|9BPWR|aRCR
42	21326 42311	10	   	284.31	DCR|3VULN|2DMG|3CDMG|1TLV|1ASPD	127VULN|3ASPD|47DMG|567CDMG|7BPWR|8LIT|9RCR|aTLV
43	21326 42312	9	   	284.31	DCR|3VULN|2DMG|3CDMG|1DUR|1ASPD	127VULN|3ASPD|47DMG|567CDMG|7BPWR|8LIT|9RCR|aDUR
44	41316 42121	10	   	284.12	DCR|5VULN|2DUR|3CDMG	17DUR|24579VULN|367CDMG|7BPWR|8CGEN|aRCR
45	21621 33262	8	   	283.36	DCR|5VULN|2TLV|1DMG|1DUR	12578VULN|39TLV|4DUR|6DMG|aRCR
46	41315 15121	9	   	283.33	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	17DUR|247aVULN|3CDMG|5TLV|67LIT|7BPWR|8CGEN|9RCR
47	41315 15321	9	   	283.23	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	17DUR|247aVULN|3CDMG|5TLV|67LIT|7BPWR|8ERES|9RCR
48	21621 13333	8	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1256VULN|3TLV|47DUR|8RCR|9LIT|aDMG
49	21621 13353	9	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1256VULN|3TLV|47DUR|8RCR|9LIT|aDMG
50	21621 33361	10	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1257VULN|3TLV|49DUR|6DMG|8LIT|aRCR
51	21621 31442	8	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	125VULN|3TLV|478DUR|69DMG|aRCR
52	21111 13311	9	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1256VULN|379DUR|4ASPD|8RCR|aDMG
53	21111 13341	8	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1256VULN|379DUR|4ASPD|8RCR|aDMG
54	21355 13311	9	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1246VULN|3ASPD|579DUR|8RCR|aDMG
55	21355 13341	8	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1246VULN|3ASPD|579DUR|8RCR|aDMG
56	33154 33683	7	 * 	282.57	ACR|4VULN|3DMG|3DUR	1RCR|2MBVNT|389aVULN|4AART|5LHND|689DMG|789DUR|89BPWR
57	33154 33883	8	   	282.57	ACR|4VULN|3DMG|3DUR	1RCR|2MBVNT|389aVULN|4AART|5LHND|689DMG|789DUR|89BPWR
58	34134 33123	10	   	282.47	ACR|4VULN|3DMG|3DUR	1RCR|279DUR|38ERES|479aVULN|5AART|679DMG|79BPWR
59	34134 33125	9	   	282.47	ACR|4VULN|3DMG|3DUR	1RCR|279DUR|38aERES|479aVULN|5AART|679DMG|79aBPWR
60	33153 33683	7	   	282.47	ACR|4VULN|3DMG|3DUR	1RCR|2MBVNT|389aVULN|4AART|5LEGI|689DMG|789DUR|89BPWR
61	33153 33883	8	   	282.47	ACR|4VULN|3DMG|3DUR	1RCR|2MBVNT|389aVULN|4AART|5LEGI|689DMG|789DUR|89BPWR
62	12413 21626	4	 * 	282.46	DCR|3VULN|3DMG|3DUR	1RPLT|235DUR|35aBPWR|45aVULN|69aDMG|7RCVC|8RCR
63	21326 42143	9	   	282.40	DCR|4VULN|2DMG|3CDMG|1ASPD	1279VULN|3ASPD|47DMG|567CDMG|7BPWR|8CGEN|aRCR
64	21426 23423	9	   	281.52	DCR|4VULN|3DUR|1DMG	128aVULN|38BEXP|458DUR|6AART|7RCR|8BPWR|9DMG
65	42221 45333	1	   	281.52	DCR|4VULN|3DUR|1DMG	127DUR|379aVULN|4AART|57FEWX|6RCR|7BPWR|8DMG
66	21621 13336	5	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	125aVULN|3aTLV|4DUR|6RCR|7LHND|8aDMG|9TBNT|aBPWR
67	21621 13346	5	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	125aVULN|3aTLV|4DUR|6RCR|7LHND|8aDMG|9BBNT|aBPWR
68	21621 22336	7	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	125aVULN|3aTLV|4DUR|6LHND|7RCR|8aDMG|9TBNT|aBPWR
69	21621 22346	7	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	125aVULN|3aTLV|4DUR|6LHND|7RCR|8aDMG|9BBNT|aBPWR
70	21621 52336	7	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	125aVULN|3aTLV|4DUR|6BEXP|7RCR|8aDMG|9TBNT|aBPWR
71	21622 62336	7	   	281.50	DCR|4VULN|2DMG|2TLV|1DUR	126aVULN|3aTLV|4DUR|5LHND|7RCR|8aDMG|9TBNT|aBPWR
72	21161 33242	8	   	280.98	DCR|5VULN|2DMG|1DUR	12578VULN|3DUR|4RMIN|69DMG|aRCR
73	41131 33642	8	   	280.88	DCR|5VULN|2DMG|1DUR	1DUR|24578VULN|3ERES|69DMG|aRCR
74	21621 16611	5	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	125VULN|3TLV|4aDUR|6RCR|78DMG|9ASPD
75	21321 13116	5	 * 	280.15	DCR|4VULN|3DMG|1ASPD	1279VULN|3ASPD|468DMG|5LIT|aRCR
76	21111 32365	10	   	279.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	125VULN|3DUR|4ASPD|6aDMG|7CDMG|8RCR|9TLV
77	21621 16153	5	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1258aVULN|3TLV|4DUR|6RCR|7DMG|9RMIN
78	25513 22213	9	   	279.41	DCR|4VULN|2DMG|1DUR	189aVULN|28DUST|3AART|4DUR|5LIT|6RCR|78DMG|8BPWR
79	21111 13264	10	   	279.28	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1256VULN|37DUR|4ASPD|8TLV|9CDMG|aRCR
80	21621 12324	5	   	279.24	DCR|4VULN|2DUR|1TLV|2LIT	1259VULN|3TLV|49DUR|6RCR|7BBNT|89LIT|9BPWR|aAART
81	21621 32255	9	   	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	125VULN|3TLV|48aDUR|6DMG|7CDMG|9RCR
82	21621 32245	10	   	278.92	DCR|3VULN|3DUR|1DMG|1TLV|1CDMG	125VULN|3TLV|489DUR|6DMG|7CDMG|aRCR
83	21645 33331	10	   	278.87	DCR|4VULN|2TLV|1DMG|1DUR|2LIT	1279VULN|39TLV|4DMSP|5DUR|6DMG|89LIT|9BPWR|aRCR
84	21621 13362	8	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1256VULN|3TLV|47aDUR|8RCR|9ASPD
85	21624 16211	5	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1267VULN|3TLV|47aDUR|57ERES|7BPWR|8RCR|9ASPD
86	21625 16211	3	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1267VULN|3TLV|47ERES|57aDUR|7BPWR|8RCR|9ASPD
87	23125 16211	1	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1367VULN|2TLV|47ERES|57aDUR|7BPWR|8RCR|9ASPD
88	21111 13232	8	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1256VULN|379DUR|4ASPD|8TLV|aRCR
89	21355 13232	8	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1246VULN|3ASPD|579DUR|8TLV|aRCR
90	21621 13132	7	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1256VULN|3TLV|479DUR|8ASPD|aRCR
91	21621 13322	7	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1256VULN|3TLV|478DUR|9ASPD|aRCR
92	21621 16432	8	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1256VULN|3TLV|489DUR|7ASPD|aRCR
93	23125 16513	1	   	278.08	DCR|5VULN|2DUR|2TLV	13679VULN|29TLV|47ERES|57DUR|79BPWR|89ZMB|aRCR
94	41521 22216	10	   	278.00	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|289VULN|3AART|4aLIT|5DUST|6RCR|78DMG|8BPWR
95	41533 22216	10	   	278.00	DCR|3VULN|2DMG|2DUR|2LIT	18DUR|289VULN|3AART|4DUST|5aLIT|6RCR|78DMG|8BPWR
96	21161 33232	8	   	277.98	DCR|5VULN|2DUR|1DMG	12578VULN|39DUR|4RMIN|6DMG|aRCR
97	21161 33262	9	   	277.98	DCR|5VULN|2DUR|1DMG	12578VULN|39DUR|4RMIN|6DMG|aRCR
98	21163 26251	3	   	277.98	DCR|5VULN|2DUR|2TLV	1259aVULN|3aDUR|4BBNT|6aTLV|7RPLT|8RCR|aBPWR
99	41131 33612	8	   	277.88	DCR|5VULN|2DUR|1DMG	19DUR|24578VULN|3ERES|6DMG|aRCR
100	41136 33612	8	   	277.88	DCR|5VULN|2DUR|1DMG	19DUR|24578VULN|35ERES|5BPWR|6DMG|aRCR
101	21126 42136	7	   	277.80	DCR|4VULN|3DUR|3CDMG	127aVULN|347DUR|567CDMG|7BPWR|8BEXP|9RCR
102	21126 42361	10	   	277.80	DCR|4VULN|3DUR|3CDMG	1278VULN|347DUR|567CDMG|7BPWR|9ZMB|aRCR
103	41316 42111	10	   	277.80	DCR|4VULN|3DUR|3CDMG	179DUR|2457VULN|367CDMG|7BPWR|8CGEN|aRCR
104	21221 62336	7	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	126aVULN|3aLWND|4DUR|5TLV|7RCR|8aDMG|9TBNT|aBPWR
105	21221 62346	7	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	126aVULN|3aLWND|4DUR|5TLV|7RCR|8aDMG|9BBNT|aBPWR
106	21421 62336	7	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	126aVULN|3aBEXP|4DUR|5TLV|7RCR|8aDMG|9TBNT|aBPWR
107	21111 13333	8	   	277.75	DCR|4VULN|2DUR|1DMG|1ASPD	1256VULN|37DUR|4ASPD|8RCR|9LIT|aDMG
108	21111 13353	9	   	277.75	DCR|4VULN|2DUR|1DMG|1ASPD	1256VULN|37DUR|4ASPD|8RCR|9LIT|aDMG
109	21355 13333	8	   	277.75	DCR|4VULN|2DUR|1DMG|1ASPD	1246VULN|3ASPD|57DUR|8RCR|9LIT|aDMG
110	21355 13353	9	   	277.75	DCR|4VULN|2DUR|1DMG|1ASPD	1246VULN|3ASPD|57DUR|8RCR|9LIT|aDMG
111	43221 31116	3	   	277.63	DCR|3VULN|3DUR|2TLV|2LIT|1CDMG	168DUR|24LIT|38TLV|568VULN|68BPWR|7BBNT|9RCR|aCDMG
112	21326 16312	5	   	277.17	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	128VULN|38ASPD|4DMG|59CDMG|68DUR|7BELT|8BPWR|aRCR
113	11614 61131	1	   	277.09	DCR|4VULN|3DMG|1DUR	1RPLT|278DMG|3DUR|478aVULN|578ERES|6TBNT|78BPWR|9RCR
114	21621 32256	9	   	276.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	125VULN|3TLV|48DUR|6DMG|7CDMG|9RCR|aASPD
115	21152 23215	2	   	276.64	DCR|4VULN|2DUR|2LIT|1CDMG	128aVULN|3AART|4aLIT|5ERES|6CDMG|7aDUR|9RCR|aBPWR
116	21152 23215	1	   	276.64	DCR|4VULN|2DUR|2LIT|1CDMG	128aVULN|3AART|4aLIT|5ERES|6CDMG|7aDUR|9RCR|aBPWR
