0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34231 22287	10	 * 	281.57	DCR|3VULN|3DUR|2DMG|2LIT	1aLIT|2aDMG|3MBVNT|47aVULN|589DUR|6RCR|aBPWR
2	34232 36352	5	 * 	280.91	DCR|4VULN|3DMG|3LIT	19aLIT|29aDMG|3MBVNT|459aVULN|6BBNT|7RCR|8RMIN|9aBPWR
3	33311 16355	1	   	278.90	DCR|4VULN|2DMG|3LIT|1CDMG	14aLIT|257aVULN|3LWND|6CDMG|8RCR|9aDMG|aBPWR
4	34232 36452	5	 * 	278.40	DCR|4VULN|3ASPD|3LIT|1DMG	19aLIT|2DMG|3MBVNT|459aVULN|6BBNT|7RCR|89aASPD|9aBPWR
5	34133 35133	5	 * 	270.51	DCR|2VULN|3DMG|3DUR|2LIT	18LIT|269DMG|3RCVC|4DMSP|568DUR|68BPWR|78VULN|aRCR
6	34124 36121	9	   	269.51	DCR|3VULN|3DMG|1DUR|2LIT	1aLIT|25aDMG|3RCVC|4DUR|6LWND|7RCR|89aVULN|aBPWR
7	34231 22541	8	 * 	268.99	DCR|3VULN|3DUR|3LIT|1DMG	18aLIT|2DMG|3MBVNT|47aVULN|59aDUR|6RCR|aBPWR
8	34231 22581	9	   	268.99	DCR|3VULN|3DUR|3LIT|1DMG	18aLIT|2DMG|3MBVNT|47aVULN|59aDUR|6RCR|aBPWR
9	34632 22541	8	   	268.99	DCR|3VULN|3DUR|3LIT|1DMG	18aLIT|2DMG|39aDUR|4MBVNT|57aVULN|6RCR|aBPWR
10	32342 56111	8	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1LIT|2LHND|3568VULN|4DMG|7RCR|9TLV|aDUR
11	32342 56111	7	   	268.41	DCR|4VULN|1DMG|1DUR|1TLV	1LIT|2LHND|3568VULN|4DMG|7RCR|9TLV|aDUR
12	36511 16122	1	   	267.16	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG|1SELL	15LIT|2SELL|36aVULN|46DMG|6BPWR|7TLV|8CDMG|9RCR
13	32321 12354	10	 * 	267.10	DCR|3VULN|2DUR|2CDMG|1TLV|2LIT	18LIT|26LHND|38aVULN|4TLV|56DUR|68BPWR|78CDMG|9RCR
14	35321 12354	10	   	267.10	DCR|3VULN|2DUR|2CDMG|1TLV|2LIT	18LIT|26LWND|38aVULN|4TLV|56DUR|68BPWR|78CDMG|9RCR
15	34238 46141	4	   	265.25	DCR|4VULN|2DMG|3LIT	16aLIT|25DMG|3MBVNT|458aVULN|5aBPWR|7aFEWX|9RCR
16	34232 64161	6	   	265.15	DCR|4VULN|2DMG|3LIT	178LIT|28DMG|3MBVNT|4568VULN|8BPWR|9RCR|aCGEN
17	34232 64162	6	   	265.15	DCR|4VULN|2DMG|3LIT	178LIT|28DMG|3MBVNT|4568VULN|8BPWR|9RCR|aZMB
18	34232 64163	6	   	265.15	DCR|4VULN|2DMG|3LIT	178LIT|28DMG|3MBVNT|4568VULN|8BPWR|9RCR|aRPLT
19	34232 64164	6	   	265.15	DCR|4VULN|2DMG|3LIT	178LIT|28DMG|3MBVNT|4568VULN|8BPWR|9RCR|aMLV
20	34125 35122	3	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	18LIT|28DMG|35RCVC|4ASPD|6TLV|78aVULN|8BPWR|9RCR
21	34131 35122	5	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	18LIT|28DMG|3RCVC|4DMSP|5ASPD|6TLV|78aVULN|8BPWR|9RCR
22	34231 22141	8	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	1aLIT|2DMG|3MBVNT|47aVULN|59aDUR|6RCR|8RCVC|aBPWR
23	34231 22181	9	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	1aLIT|2DMG|3MBVNT|47aVULN|59aDUR|6RCR|8RCVC|aBPWR
24	34632 22141	8	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	1aLIT|2DMG|39aDUR|4MBVNT|57aVULN|6RCR|8RCVC|aBPWR
25	34632 22181	9	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	1aLIT|2DMG|39aDUR|4MBVNT|57aVULN|6RCR|8RCVC|aBPWR
26	34212 13452	6	 * 	263.79	ACR|4VULN|2DMG|3ASPD|3LIT	19aLIT|26DMG|3MBVNT|4RCR|569aVULN|69aBPWR|7BBNT|89aASPD
27	61125 61223	1	 * 	263.39	DCR|5VULN|1DMG|1DUR	1ZMB|2RMIN|3DUR|45678VULN|9RCR|aDMG
28	32332 56141	9	 * 	263.25	DCR|5VULN|2ASPD|2LIT	1aLIT|2LHND|3568aVULN|4aASPD|7RCR|9MBVNT|aBPWR
29	33332 56141	9	   	263.25	DCR|5VULN|2ASPD|2LIT	1aLIT|2FEWX|3568aVULN|4aASPD|7RCR|9MBVNT|aBPWR
30	33332 56151	7	   	263.25	DCR|5VULN|2ASPD|2LIT	1aLIT|2FEWX|3568aVULN|4aASPD|7RCR|9LEGI|aBPWR
31	33332 56151	8	   	263.25	DCR|5VULN|2ASPD|2LIT	1aLIT|2FEWX|3568aVULN|4aASPD|7RCR|9LEGI|aBPWR
32	32342 56111	9	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1LIT|2LHND|3568VULN|4DMG|7RCR|9ASPD|aDUR
33	33342 56111	10	   	263.16	DCR|4VULN|1DMG|1DUR|1ASPD	1LIT|2FEWX|3568VULN|4DMG|7RCR|9ASPD|aDUR
34	33332 56135	7	   	263.10	DCR|5VULN|2ASPD|2LIT|1SELL	1aLIT|2FEWX|3568aVULN|4aASPD|7RCR|9SELL|aBPWR
35	33332 56135	8	   	263.10	DCR|5VULN|2ASPD|2LIT|1SELL	1aLIT|2FEWX|3568aVULN|4aASPD|7RCR|9SELL|aBPWR
36	33311 16315	1	   	262.47	DCR|4VULN|2ASPD|3LIT|1CDMG	14aLIT|257aVULN|3LWND|6CDMG|8RCR|9aASPD|aBPWR
37	34232 61141	8	   	262.10	DCR|5VULN|1DMG|2LIT	1aLIT|2DMG|3MBVNT|4568aVULN|7aFEWX|9RCR|aBPWR
38	34232 61141	7	   	262.10	DCR|5VULN|1DMG|2LIT	1aLIT|2DMG|3MBVNT|4568aVULN|7aFEWX|9RCR|aBPWR
39	34232 66141	6	   	262.10	DCR|5VULN|1DMG|2LIT	1aLIT|2DMG|3MBVNT|4568aVULN|7aFEWX|9RCR|aBPWR
40	31115 55133	2	 * 	262.00	DCR|3VULN|2DUR|3CDMG|3LIT	167LIT|239CDMG|47DUR|579VULN|79BPWR|89LHND|aRCR
41	31225 25133	3	   	262.00	DCR|3VULN|2DUR|3CDMG|3LIT	137LIT|249CDMG|57DUR|679VULN|79BPWR|89LHND|aRCR
42	31225 25533	3	   	262.00	DCR|3VULN|2DUR|3CDMG|3LIT	137LIT|249CDMG|57DUR|679VULN|79BPWR|89LWND|aRCR
43	31315 55133	3	   	262.00	DCR|3VULN|2DUR|3CDMG|3LIT	167LIT|239CDMG|47DUR|579VULN|79BPWR|89LHND|aRCR
44	33342 56111	7	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1LIT|2FEWX|3568VULN|4DMG|7RCR|9TLV|aAART
45	33342 56111	8	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1LIT|2FEWX|3568VULN|4DMG|7RCR|9TLV|aAART
46	32321 12353	9	 * 	260.26	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|2LIT	18LIT|26LHND|38VULN|4TLV|56DUR|68BPWR|78CDMG|9RCR|aDMG
47	35321 12353	9	   	260.26	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|2LIT	18LIT|26LWND|38VULN|4TLV|56DUR|68BPWR|78CDMG|9RCR|aDMG
48	34235 61141	8	   	260.15	DCR|4VULN|2DMG|2LIT	1aLIT|25DMG|3MBVNT|468aVULN|7aFEWX|9RCR|aBPWR
49	34235 61141	7	   	260.15	DCR|4VULN|2DMG|2LIT	1aLIT|25DMG|3MBVNT|468aVULN|7aFEWX|9RCR|aBPWR
50	33342 53352	6	   	260.15	DCR|4VULN|2DMG|2LIT	1aLIT|2FEWX|356aVULN|4aDMG|7TBNT|8RMIN|9RCR|aBPWR
51	34238 46143	4	   	260.05	DCR|4VULN|2DMG|2LIT	16LIT|25DMG|3MBVNT|458aVULN|5BPWR|7FEWX|9RCR
52	32342 53135	8	   	260.00	DCR|4VULN|2DMG|2LIT|1SELL	1aLIT|2LHND|356aVULN|4aDMG|7SELL|8RCR|9DMSP|aBPWR
53	32332 56111	7	   	259.35	DCR|4VULN|1TLV|1DUR|1ASPD	1LIT|2LHND|3568VULN|4ASPD|7RCR|9TLV|aDUR
54	32332 56111	8	   	259.35	DCR|4VULN|1TLV|1DUR|1ASPD	1LIT|2LHND|3568VULN|4ASPD|7RCR|9TLV|aDUR
55	35332 56111	8	   	259.35	DCR|4VULN|1TLV|1DUR|1ASPD	1LIT|2LWND|3568VULN|4ASPD|7RCR|9TLV|aDUR
56	35332 56111	7	   	259.35	DCR|4VULN|1TLV|1DUR|1ASPD	1LIT|2LWND|3568VULN|4ASPD|7RCR|9TLV|aDUR
57	34232 36432	5	 * 	258.62	DCR|3VULN|2DMG|2ASPD|2LIT	1aLIT|29DMG|3MBVNT|45aVULN|6BBNT|7RCR|8aASPD|aBPWR
58	34232 66432	5	   	258.62	DCR|3VULN|2DMG|2ASPD|2LIT	1aLIT|29DMG|3MBVNT|45aVULN|6TBNT|7RCR|8aASPD|aBPWR
59	34235 36432	4	   	258.62	DCR|3VULN|2DMG|2ASPD|2LIT	1aLIT|29DMG|3MBVNT|45aVULN|6BBNT|7RCR|8aASPD|aBPWR
60	21313 62416	10	 * 	258.44	DCR|4VULN|2DUR|2CDMG	1RPLT|29DUR|3RMIN|479aVULN|5MBVNT|69CDMG|8RCR|9BPWR
61	21163 42335	7	 * 	258.34	DCR|4VULN|2DUR|1DMG	1RPLT|25DUR|3DUST|4DMG|6RCR|789aVULN
62	34238 74112	4	   	258.27	DCR|3VULN|3DMG|3LIT	178LIT|258DMG|3MBVNT|458VULN|58BPWR|6RCVC|9FEWX|aRCR
63	34238 74132	4	   	258.27	DCR|3VULN|3DMG|3LIT	178LIT|258DMG|3MBVNT|458VULN|58BPWR|6RCVC|9LHND|aRCR
64	34235 64112	6	   	258.17	DCR|3VULN|3DMG|3LIT	178LIT|258DMG|3MBVNT|468VULN|8BPWR|9FEWX|aRCR
65	34235 64132	6	   	258.17	DCR|3VULN|3DMG|3LIT	178LIT|258DMG|3MBVNT|468VULN|8BPWR|9LHND|aRCR
66	32342 56231	7	   	257.48	DCR|3VULN|2ASPD|1DMG|1DUR|2LIT	19LIT|29LHND|356VULN|4DMG|7RCR|89ASPD|9BPWR|aDUR
67	31111 13232	6	 * 	257.46	DCR|2VULN|3DMG|3CDMG|3LIT|1NUKE	168LIT|289CDMG|3NUKE|4LWND|59VULN|789DMG|89BPWR|aRCR
68	31111 16232	7	   	257.46	DCR|2VULN|3DMG|3CDMG|3LIT|1NUKE	168LIT|289CDMG|3NUKE|4LWND|59VULN|789DMG|89BPWR|aRCR
