0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35134 88422	2	 * 	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1MBVNT|239VULN|39BPWR|4RPLT|5ASPD|69DMG|7RCR|89DUR|aTLV
2	35113 38425	2	 * 	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|239aVULN|39BPWR|4ZMB|59DMG|6RPLT|7RCR|89DUR
3	35141 53145	10	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|29aVULN|3CDMG|49DUR|5LIT|6LHND|7RCR|89DMG|9BPWR
4	35446 11154	8	   	273.39	DCR|4VULN|2DUR|1DMG|2LIT	1MBVNT|2469VULN|3BELT|59DUR|7RCR|89LIT|9BPWR|aDMG
5	35843 43428	3	   	272.69	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|279VULN|39DMG|4ASPD|5LIT|6TBNT|89DUR|9BPWR|aRCR
6	32341 84258	9	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	1MBVNT|29CGEN|3589VULN|4ASPD|6DUR|79DMG|9BPWR|aRCR
7	23332 34211	10	 * 	271.60	DCR|5VULN|1DMG|1TLV	1DUST|2TLV|3789aVULN|4DMG|5LIT|6RCR
8	23534 34211	10	   	271.60	DCR|5VULN|1DMG|1TLV	1DUST|2TLV|3LIT|4DMG|5789aVULN|6RCR
9	35242 86321	3	 * 	271.56	DCR|4VULN|3DUR|2TLV	1MBVNT|2479VULN|367DUR|57TLV|7BPWR|8TBNT|aRCR
10	35144 18325	6	 * 	270.76	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	1MBVNT|29aVULN|3CDMG|49DUR|5DMG|6FEWX|79ASPD|8RCR|9BPWR
11	35324 47462	4	 * 	270.71	DCR|4VULN|3DMG|1AART	1MBVNT|258aVULN|3DUST|48aBEXP|6RCR|78aDMG|8aBPWR|9AART
12	35846 34234	5	 * 	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	1MBVNT|267VULN|3DMG|479DUR|57ASPD|7BPWR|8MLV|aRCR
13	35848 34234	4	   	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	1MBVNT|267VULN|3DMG|479DUR|57ASPD|7BPWR|8MLV|aRCR
14	35113 38422	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|239VULN|39BPWR|4ZMB|59DMG|6RPLT|7RCR|89DUR|aTLV
15	35143 13287	4	 * 	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|29VULN|3CDMG|49aDUR|5MLV|6TLV|79DMG|8RCR|9BPWR
16	35144 33287	4	   	269.70	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|29VULN|3CDMG|49aDUR|5CGEN|6TLV|79DMG|8RCR|9BPWR
17	23332 34214	9	   	269.65	DCR|4VULN|2DMG|1TLV	1DUST|2TLV|3789VULN|4aDMG|5LIT|6RCR
18	32221 82828	6	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1MBVNT|27CGEN|3ASPD|47DUR|5679VULN|7BPWR|8DMG|aRCR
19	32241 82828	6	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1MBVNT|27CGEN|3ASPD|4579VULN|67DUR|7BPWR|8DMG|aRCR
20	32331 18258	9	   	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	1MBVNT|29CGEN|3589VULN|4DMG|6ASPD|79DUR|9BPWR|aRCR
21	36246 62333	9	   	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1MBVNT|2SELL|389VULN|49DUR|5TLV|6LWND|79DMG|9BPWR|aRCR
22	35144 21674	8	   	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1MBVNT|278VULN|3CDMG|4DUR|56DMG|9RCR|aTLV
23	23332 34212	9	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2TLV|3789VULN|4DMG|5LIT|6RCR|aDUR
24	23534 34212	9	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2TLV|3LIT|4DMG|5789VULN|6RCR|aDUR
25	35143 13281	4	   	267.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1MBVNT|29VULN|3CDMG|49DUR|5MLV|6TLV|79DMG|8RCR|9BPWR|aASPD
26	35144 33281	4	   	267.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1MBVNT|29VULN|3CDMG|49DUR|5CGEN|6TLV|79DMG|8RCR|9BPWR|aASPD
27	35146 13281	5	   	267.48	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1MBVNT|29VULN|3CDMG|49DUR|5TLV|6MLV|79DMG|8RCR|9BPWR|aASPD
