0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42613 23312	10	 * 	282.79	DCR|3VULN|3DMG|2DUR|1CDMG	1RCVC|245DMG|35DUR|5BPWR|679VULN|8CDMG|aRCR
2	42252 11353	4	 * 	278.18	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	1RCVC|29DMG|3AART|49aVULN|5DUR|6LIT|7RCR|89ASPD|9BPWR
3	42642 23232	8	 * 	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|28DMG|38DUR|4BEXP|5LWND|6789VULN|8BPWR|aRCR
4	11641 43212	8	   	276.02	DCR|4VULN|2DMG|2DUR	18DUST|2578VULN|3BEXP|49DUR|68DMG|8BPWR|aRCR
5	42255 11122	6	 * 	275.01	DCR|4VULN|2DMG|2CDMG|1AART	1RCVC|28DMG|3AART|458aVULN|68CDMG|7RCR|8BPWR|9CGEN
6	42255 11111	6	   	274.91	DCR|4VULN|2DMG|2CDMG|1AART	1RCVC|28DMG|3AART|458aVULN|68CDMG|7RCR|8BPWR|9TBNT
7	42255 11132	6	   	274.91	DCR|4VULN|2DMG|2CDMG|1AART	1RCVC|28DMG|3AART|458aVULN|68CDMG|7RCR|8BPWR|9ERES
8	11242 31624	2	   	271.33	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	1DUST|2aVULN|3TLV|49LIT|5aDUR|6RCR|7CDMG|8aDMG|aBPWR
9	33253 42123	6	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	1TLV|2DMSP|3AART|468aVULN|56DMG|6BPWR|7BBNT|9RCR
10	23253 42123	6	 * 	270.51	DCR|4VULN|3DMG|1AART	1aERES|2DMSP|3AART|468aVULN|56aDMG|6aBPWR|7BBNT|9RCR
11	41253 42123	6	   	270.51	DCR|4VULN|3DMG|1AART	1RCVC|2aERES|3AART|468aVULN|56aDMG|6aBPWR|7BBNT|9RCR
12	14333 46323	9	   	269.71	DCR|4VULN|2DMG|2LIT|1AART	19DUST|2AART|347aVULN|59DMG|6RCR|89LIT|9BPWR
13	14323 26212	7	 * 	269.14	DCR|5VULN|1TLV|1DUR|1AART	1DUST|2AART|3678aVULN|4TLV|5DUR|9RCR
14	14422 26212	7	   	269.14	DCR|5VULN|1TLV|1DUR|1AART	1DUST|2AART|3DUR|4678aVULN|5TLV|9RCR
15	42211 13141	7	 * 	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|248DMG|3AART|5LHND|68CDMG|78aVULN|8BPWR|9RCR
16	42213 13141	7	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|248DMG|3AART|5BEXP|68CDMG|78aVULN|8BPWR|9RCR
17	42214 13141	7	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|248DMG|3AART|5FEWX|68CDMG|78aVULN|8BPWR|9RCR
18	42223 13141	7	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|258DMG|3AART|4LHND|68CDMG|78aVULN|8BPWR|9RCR
19	42253 11114	6	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|258DMG|3AART|48aVULN|68CDMG|7RCR|8BPWR|9ZMB
20	42253 11121	6	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|258DMG|3AART|48aVULN|68CDMG|7RCR|8BPWR|9LWND
21	42253 11151	6	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|258DMG|3AART|48aVULN|68CDMG|7RCR|8BPWR|9LHND
22	42253 11161	6	   	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1RCVC|258DMG|3AART|48aVULN|68CDMG|7RCR|8BPWR|9BEXP
23	33253 43621	7	   	267.87	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1TLV|2DMSP|3AART|467VULN|56DMG|6BPWR|8LIT|9RCR|aASPD
24	14333 41353	6	 * 	266.78	DCR|4VULN|2ASPD|1DMG|1AART	19DUST|2AART|349aVULN|5DMG|6RCR|7LIT|89ASPD|9BPWR
25	14333 11353	5	   	266.78	DCR|4VULN|2ASPD|1DMG|1AART	19DUST|2AART|349aVULN|5DMG|6LIT|7RCR|89ASPD|9BPWR
26	14333 31353	6	   	266.78	DCR|4VULN|2ASPD|1DMG|1AART	19DUST|2AART|349aVULN|5DMG|6LIT|7RCR|89ASPD|9BPWR
27	33333 66343	2	   	266.00	DCR|4VULN|1TLV|1DUR|2LIT|1ASPD	1TLV|2DMSP|35LIT|4569VULN|5BPWR|7DUR|8ASPD|aRCR
28	33253 43136	7	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1TLV|2DMSP|3AART|467VULN|56DMG|6BPWR|8ZMB|9DUR|aRCR
29	14334 24211	3	   	264.77	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1DUST|2AART|358VULN|45DUR|5BPWR|6ASPD|7RCR|9LIT|aDMG
30	42326 42121	5	 * 	264.41	DCR|3VULN|3DMG|3CDMG	13RCVC|279DMG|4MBVNT|579CDMG|6RCR|79BPWR|89aVULN
31	14323 26611	10	   	264.18	DCR|4VULN|2DUR|1TLV|1AART	1DUST|2AART|3679VULN|4TLV|58DUR|aRCR
32	14323 26612	8	   	264.18	DCR|4VULN|2DUR|1TLV|1AART	1DUST|2AART|367aVULN|4TLV|58DUR|9RCR
33	14323 26216	7	   	264.18	DCR|4VULN|2DUR|1TLV|1AART	1DUST|2AART|3678VULN|4TLV|5aDUR|9RCR
34	33253 42125	6	   	264.11	DCR|3VULN|3DMG|1TLV|1AART	1TLV|2DMSP|3AART|468VULN|56aDMG|6BPWR|7BBNT|9RCR
35	11131 25321	3	 * 	263.72	DCR|3VULN|2DMG|2ASPD|2TLV	135DUST|239VULN|39BPWR|4aDMG|69TLV|7RCR|89ASPD
36	35122 45321	1	 * 	263.57	DCR|3DMG|3DUR|1VULN|2ASPD|2TLV	19TLV|256DUR|3VULN|49aDMG|7RCR|89ASPD|9BPWR
37	32435 22223	8	   	262.02	DCR|3VULN|2DMG|2TLV|1ASPD	1aTLV|2LIT|3RCVC|47aVULN|5ASPD|6ZMB|8RCR|9aDMG|aBPWR
