0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63434 33223	10	 * 	289.20	DCR|3VULN|3DMG|2DUR|2TLV	18DUR|278DMG|34aVULN|5ZMB|68TLV|8BPWR|9RCR
2	63236 43311	4	 * 	284.53	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4FEWX|5689VULN|7RCR|9BPWR|aLIT
3	63236 43311	3	   	284.53	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4LWND|5689VULN|7RCR|9BPWR|aLIT
4	63216 43311	3	   	284.43	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4DUST|5689VULN|7RCR|9BPWR|aLIT
5	63336 43311	2	   	284.43	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4LWND|5689VULN|7RCR|9BPWR|aLIT
6	63316 43311	2	   	284.33	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4DUST|5689VULN|7RCR|9BPWR|aLIT
7	63225 22313	5	 * 	282.46	DCR|3VULN|3DMG|3DUR	149DUR|259DMG|3CGEN|6RCR|7LWND|89aVULN|9BPWR
8	63225 26313	5	   	282.46	DCR|3VULN|3DMG|3DUR	149DUR|259DMG|3CGEN|6RCR|7LHND|89aVULN|9BPWR
9	63226 33315	6	   	282.46	DCR|3VULN|3DMG|3DUR	149DUR|29aDMG|3CGEN|5BEXP|689VULN|7RCR|9BPWR
10	63231 63315	4	   	282.46	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3CGEN|4FEWX|689VULN|7RCR|9BPWR
11	63234 33315	6	   	282.46	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3CGEN|4FEWX|689VULN|7RCR|9BPWR
12	63234 63213	3	   	282.46	DCR|3VULN|3DMG|3DUR	159DUR|289DMG|3CGEN|4LWND|69aVULN|7RCR|9BPWR
13	66121 23262	1	   	282.46	DCR|3VULN|3DMG|3DUR	15aDUR|2BEXP|3RMIN|48aDMG|69aVULN|7RCR|aBPWR
14	63236 43213	4	   	282.46	DCR|3VULN|3DMG|3DUR	19aDUR|289DMG|3CGEN|4FEWX|569VULN|7RCR|9BPWR
15	63336 43213	4	   	282.46	DCR|3VULN|3DMG|3DUR	19aDUR|289DMG|3MLV|4FEWX|569VULN|7RCR|9BPWR
16	63216 33315	3	   	282.36	DCR|3VULN|3DMG|3DUR	169DUR|29aDMG|3CGEN|4DUST|589VULN|7RCR|9BPWR
17	63334 63213	2	   	282.36	DCR|3VULN|3DMG|3DUR	159DUR|289DMG|3ERES|4LWND|69aVULN|7RCR|9BPWR
18	65133 63213	3	   	282.36	DCR|3VULN|3DMG|3DUR	129DUR|29BPWR|389DMG|4ERES|5BEXP|69aVULN|7RCR
19	63211 63315	3	   	282.36	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3CGEN|4DUST|689VULN|7RCR|9BPWR
20	63311 63213	2	   	282.26	DCR|3VULN|3DMG|3DUR	159DUR|289DMG|3ERES|4DUST|69aVULN|7RCR|9BPWR
21	63316 33213	2	   	282.26	DCR|3VULN|3DMG|3DUR	169DUR|289DMG|3ERES|4DUST|59aVULN|7RCR|9BPWR
22	63311 63315	2	   	282.26	DCR|3VULN|3DMG|3DUR	159DUR|29aDMG|3ERES|4DUST|689VULN|7RCR|9BPWR
23	63316 33315	2	   	282.26	DCR|3VULN|3DMG|3DUR	169DUR|29aDMG|3ERES|4DUST|589VULN|7RCR|9BPWR
24	63226 33312	6	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	149DUR|29DMG|3CGEN|5BEXP|689VULN|7RCR|9BPWR|aCDMG
25	63226 63312	5	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	149DUR|29DMG|3CGEN|5BEXP|689VULN|7RCR|9BPWR|aCDMG
26	63231 63312	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4FEWX|689VULN|7RCR|9BPWR|aCDMG
27	63234 33312	6	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4FEWX|689VULN|7RCR|9BPWR|aCDMG
28	63234 63312	5	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4FEWX|689VULN|7RCR|9BPWR|aCDMG
29	63234 63312	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4LWND|689VULN|7RCR|9BPWR|aCDMG
30	63236 43112	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3CGEN|4LWND|569VULN|7RCR|9BPWR|aCDMG
31	63236 43112	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3CGEN|4FEWX|569VULN|7RCR|9BPWR|aCDMG
32	63241 63312	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4BEXP|689VULN|7RCR|9BPWR|aCDMG
33	63244 33312	6	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4BEXP|689VULN|7RCR|9BPWR|aCDMG
34	63336 43112	4	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3MLV|4FEWX|569VULN|7RCR|9BPWR|aCDMG
35	63336 43112	3	   	280.46	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3MLV|4LWND|569VULN|7RCR|9BPWR|aCDMG
36	63216 33312	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	169DUR|29DMG|3CGEN|4DUST|589VULN|7RCR|9BPWR|aCDMG
37	63211 33213	4	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	19aDUR|29DMG|3CGEN|4CDMG|589VULN|6RCR|7BBNT|9BPWR
38	63211 63312	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3CGEN|4DUST|689VULN|7RCR|9BPWR|aCDMG
39	63216 43112	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3CGEN|4DUST|569VULN|7RCR|9BPWR|aCDMG
40	63311 33213	4	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	19aDUR|29DMG|3MLV|4CDMG|589VULN|6RCR|7BBNT|9BPWR
41	63316 43112	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3MLV|4DUST|569VULN|7RCR|9BPWR|aCDMG
42	63334 63312	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3ERES|4LWND|689VULN|7RCR|9BPWR|aCDMG
43	63336 43112	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3ERES|4LWND|569VULN|7RCR|9BPWR|aCDMG
44	65133 63312	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	129DUR|29BPWR|39DMG|4ERES|5BEXP|689VULN|7RCR|aCDMG
45	63311 63312	2	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	159DUR|29DMG|3ERES|4DUST|689VULN|7RCR|9BPWR|aCDMG
46	63316 33312	2	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	169DUR|29DMG|3ERES|4DUST|589VULN|7RCR|9BPWR|aCDMG
47	63316 43112	2	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	189DUR|29DMG|3ERES|4DUST|569VULN|7RCR|9BPWR|aCDMG
48	63412 51232	7	 * 	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2DMG|358aVULN|4LHND|6RCR|7BEXP|9aASPD|aBPWR
49	63412 52232	6	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2DMG|358aVULN|4LHND|6RCR|7LWND|9aASPD|aBPWR
50	63412 53232	6	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2DMG|358aVULN|4LHND|6RCR|7BEXP|9aASPD|aBPWR
51	63412 53232	7	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2DMG|358aVULN|4LHND|6RCR|7LWND|9aASPD|aBPWR
52	63432 52232	6	   	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	1aDUR|2DMG|348aVULN|5BEXP|6RCR|7LWND|9aASPD|aBPWR
53	63232 13625	2	 * 	277.88	DCR|5VULN|2DUR|1DMG	15DUR|2DMG|3469aVULN|7ERES|8RCR
54	13412 23222	10	 * 	277.19	DCR|4VULN|3DMG|1DUR	18LWND|278DMG|3568VULN|4LEGI|8BPWR|9RCR|aDUR
55	13412 23222	9	   	277.19	DCR|4VULN|3DMG|1DUR	18LWND|278DMG|3568VULN|4LEGI|8BPWR|9RCR|aDUR
56	63236 43312	3	   	276.22	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4aLWND|5689VULN|7RCR|9BPWR
57	63236 43312	4	   	276.22	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4FEWX|5689VULN|7RCR|9BPWR|aLWND
58	63236 43313	4	   	276.22	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4FEWX|5689VULN|7RCR|9BPWR|aBEXP
59	63236 43313	3	   	276.22	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4LWND|5689VULN|7RCR|9BPWR|aBEXP
60	63216 43312	3	   	276.12	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4DUST|5689VULN|7RCR|9BPWR|aLWND
61	63216 43313	3	   	276.12	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3CGEN|4DUST|5689VULN|7RCR|9BPWR|aBEXP
62	63336 43312	2	   	276.12	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4aLWND|5689VULN|7RCR|9BPWR
63	63336 43313	2	   	276.12	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4LWND|5689VULN|7RCR|9BPWR|aBEXP
64	43231 35152	1	   	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	17ASPD|2LWND|3789VULN|4RPLT|57DUR|6RCR|7BPWR|aTLV
65	63316 43312	2	   	276.02	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4DUST|5689VULN|7RCR|9BPWR|aLWND
66	63316 43313	2	   	276.02	DCR|4VULN|2DMG|2DUR	19DUR|29DMG|3ERES|4DUST|5689VULN|7RCR|9BPWR|aBEXP
67	63432 63213	5	 * 	275.52	DCR|2VULN|3DMG|3DUR|2TLV	19aDUR|289DMG|34VULN|5BEXP|69TLV|7RCR|9BPWR
68	63433 63213	2	   	275.52	DCR|2VULN|3DMG|3DUR|2TLV	159DUR|289DMG|3LWND|4aVULN|69TLV|7RCR|9BPWR
