0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35121 35114	6	 * 	283.68	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	17LIT|24DUR|37DMG|57aVULN|6BELT|7BPWR|8TLV|9RCR
2	31684 43312	7	 * 	282.18	DCR|3VULN|2DMG|2TLV|3LIT|1DUR	147LIT|2MBVNT|34TLV|47BPWR|57DMG|679VULN|8RCR|aDUR
3	31644 43111	7	 * 	281.88	DCR|4VULN|2DMG|2TLV|2LIT	17LIT|2MBVNT|34TLV|57DMG|6789VULN|7BPWR|aRCR
4	43415 22123	1	   	280.67	DCR|4VULN|2DMG|2TLV|1CDMG	18TLV|247aVULN|34DMG|4BPWR|5CDMG|6RMIN|9RCR
5	31684 43311	7	   	279.58	DCR|3VULN|2DMG|2TLV|3LIT|1CDMG	147LIT|2MBVNT|34TLV|47BPWR|57DMG|679VULN|8RCR|aCDMG
6	15131 35114	6	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2LIT|37DMG|4RCVC|57aVULN|6BELT|7BPWR|8TLV|9RCR
7	31644 43322	8	   	277.08	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	17LIT|2MBVNT|34TLV|57DMG|679VULN|7BPWR|8RCR|aDUR
8	31644 43352	9	   	277.08	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	17LIT|2MBVNT|34TLV|57DMG|679VULN|7BPWR|8RCR|aDUR
9	31644 43356	10	   	277.08	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	17LIT|2MBVNT|34TLV|57DMG|679VULN|7BPWR|8RCR|aDUR
10	31684 43337	7	 * 	273.14	DCR|2VULN|3DMG|2TLV|3LIT|1DUR	147LIT|2MBVNT|34TLV|47BPWR|57aDMG|67VULN|8RCR|9DUR
11	14111 11616	3	 * 	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	178DUR|2CGEN|38DMG|4MLV|5CDMG|68VULN|8BPWR|9RCR|aTLV
12	14433 11611	1	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	178DUR|2MLV|38DMG|4CDMG|5TLV|68VULN|8BPWR|9RCR|aRCVC
13	14433 11612	1	   	271.01	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	178DUR|2MLV|38DMG|4CDMG|5TLV|68VULN|8BPWR|9RCR|aLHND
