0	Index      	 *	Score 	Summary	Detail	
1	14326 23122	 * 	291.55	DCR|DCR|2TLV|1VULN|1CDMG	1TBNT|2AEBURN|3AART|4CDMG|58TLV|6RAT|7aRCR|9VULN
2	35256 33222	 * 	287.84	DCR|DCR|3VULN|3DUR|1SELL	127DUR|357VULN|47LIT|6TBNT|7BPWR|8aRCR|9SELL
3	53552 23212	 * 	286.23	DCR|DCR|2DMG|1VULN|1TLV	18DMG|2FEWX|3CGEN|4LIT|5BELT|6TLV|79RCR|aVULN
4	14326 23322	   	283.99	DCR|DCR|1VULN|1TLV|2RAT|1CDMG	1TBNT|2AEBURN|3AART|4CDMG|5TLV|68RAT|7aRCR|9VULN
5	53552 23211	 * 	281.31	DCR|DCR|3DMG|2TLV	18aDMG|2aFEWX|3CGEN|4LIT|5BELT|6aTLV|79RCR|aBPWR
6	53626 12123	 * 	280.94	DCR|3VULN|3DMG|2ASPD	159DMG|2FEWX|39ASPD|459VULN|59BPWR|6RCR|7MDPS|8AART|aDUR
7	51626 12123	   	280.84	DCR|3VULN|3DMG|2ASPD	159DMG|2DUST|39ASPD|459VULN|59BPWR|6RCR|7MDPS|8AART|aDUR
8	35124 61115	 * 	280.47	ACR|DCR|2VULN|1TLV|1MLV|2DUR	12DUR|3MBVNT|4aVULN|56RCR|7MLV|8DUST|9TLV
9	35124 61315	   	280.47	ACR|DCR|2VULN|1TLV|1MLV|2DUR	12DUR|3MBVNT|4aVULN|56RCR|7MLV|8BEXP|9TLV
10	14326 23422	   	277.37	DCR|DCR|1VULN|1TLV|1CDMG	1TBNT|2AEBURN|3AART|4CDMG|5TLV|6RAT|7aRCR|8RCVC|9VULN
11	35124 61644	 * 	276.68	ACR|DCR|2MLV|1VULN|1TLV|2DUR	12DUR|3MBVNT|4VULN|56RCR|79MLV|8LWND|aTLV
12	35124 61117	   	276.58	ACR|DCR|2MLV|1VULN|1TLV|2DUR	12DUR|3MBVNT|4VULN|56RCR|7aMLV|8DUST|9TLV
13	35124 61317	   	276.58	ACR|DCR|2MLV|1VULN|1TLV|2DUR	12DUR|3MBVNT|4VULN|56RCR|7aMLV|8BEXP|9TLV
14	23131 33445	 * 	274.52	DCR|3VULN|2TLV|1MLV|1CDMG	1DUST|29FEWX|3CDMG|4DUR|59aVULN|6MLV|7RCR|89TLV|9BPWR
15	53626 11122	 * 	274.39	DCR|3VULN|2DMG|1TLV|1ASPD	15DMG|2FEWX|3ASPD|458VULN|5BPWR|6RCR|7DUR|9TBNT|aTLV
16	51626 11122	   	274.29	DCR|3VULN|2DMG|1TLV|1ASPD	15DMG|2DUST|3ASPD|458VULN|5BPWR|6RCR|7DUR|9TBNT|aTLV
17	53626 11112	   	274.29	DCR|3VULN|2DMG|1TLV|1ASPD	15DMG|2FEWX|3ASPD|458VULN|5BPWR|6RCR|7DUR|9BEXP|aTLV
18	51626 11112	   	274.19	DCR|3VULN|2DMG|1TLV|1ASPD	15DMG|2DUST|3ASPD|458VULN|5BPWR|6RCR|7DUR|9BEXP|aTLV
19	53623 12124	 * 	272.85	DCR|2VULN|3ASPD|2DMG|1MLV	19DMG|2FEWX|359ASPD|49VULN|6RCR|7MDPS|8AART|9BPWR|aMLV
20	51623 12124	   	272.75	DCR|2VULN|3ASPD|2DMG|1MLV	19DMG|2DUST|359ASPD|49VULN|6RCR|7MDPS|8AART|9BPWR|aMLV
21	53626 12121	   	272.64	DCR|3VULN|3DMG|2ASPD	159DMG|2FEWX|39ASPD|459VULN|59BPWR|6RCR|7MDPS|8AART|aLWND
22	51626 12121	   	272.54	DCR|3VULN|3DMG|2ASPD	159DMG|2DUST|39ASPD|459VULN|59BPWR|6RCR|7MDPS|8AART|aLWND
23	53626 12122	   	272.54	DCR|3VULN|3DMG|2ASPD	159DMG|2FEWX|39ASPD|459VULN|59BPWR|6RCR|7MDPS|8AART|aAEBURN
24	51626 12122	   	272.44	DCR|3VULN|3DMG|2ASPD	159DMG|2DUST|39ASPD|459VULN|59BPWR|6RCR|7MDPS|8AART|aAEBURN
25	23131 33554	 * 	271.48	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3CDMG|4DUR|5VULN|6MLV|79RCR|8LWND|aRAT
26	15124 23522	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1TBNT|2VULN|3CDMG|4RCVC|5AART|6AEFRZ|7aRCR|8TLV|9MBVNT
27	62124 23522	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|3TBNT|4RCVC|5AART|6AEFRZ|7aRCR|8TLV|9MBVNT
28	53623 12126	 * 	270.11	DCR|3VULN|3ASPD|2DMG	19DMG|2FEWX|359ASPD|49aVULN|6RCR|7MDPS|8AART|9BPWR
29	51623 12126	   	270.01	DCR|3VULN|3ASPD|2DMG	19DMG|2DUST|359ASPD|49aVULN|6RCR|7MDPS|8AART|9BPWR
30	35124 61614	   	269.39	ACR|DCR|1VULN|1TLV|1MLV|1AAC|2DUR	12DUR|3MBVNT|4VULN|56RCR|7MLV|8LWND|9TLV|aAAC
31	14315 23142	 * 	268.63	DCR|DCR|1TLV|1MLV|1CDMG	1TBNT|2AEBURN|3AART|4MLV|5CDMG|6RAT|7aRCR|8TLV|9CGEN
32	53552 23312	   	268.54	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2FEWX|3CGEN|4LIT|5BELT|6TLV|79RCR|8AEFBLL|aVULN
33	43256 33222	 * 	267.98	DCR|DCR|3VULN|1SELL	127FEWX|357VULN|47LIT|6TBNT|7BPWR|8aRCR|9SELL
34	43124 61115	   	265.62	ACR|DCR|2VULN|1TLV|1MLV	12FEWX|3MBVNT|4aVULN|56RCR|7MLV|8DUST|9TLV
35	43124 61315	   	265.62	ACR|DCR|2VULN|1TLV|1MLV	12FEWX|3MBVNT|4aVULN|56RCR|7MLV|8BEXP|9TLV
36	42312 23312	   	265.37	DCR|DCR|1VULN|1TLV|1AAC	1FEWX|2LIT|3AAC|4CGEN|5BELT|6TLV|79RCR|8AEFRZ|aVULN
37	23131 33551	   	264.55	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3CDMG|4DUR|5VULN|6MLV|79RCR|8LWND|aAME
38	23131 33552	   	264.55	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3CDMG|4DUR|5VULN|6MLV|79RCR|8LWND|aCGEN
39	23131 33553	   	264.45	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3CDMG|4DUR|5VULN|6MLV|79RCR|8LWND|aBEXP
40	23131 33555	   	264.45	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1DUST|2FEWX|3CDMG|4DUR|5VULN|6MLV|79RCR|8LWND|aMSE
41	23131 33556	   	264.45	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2FEWX|3CDMG|4DUR|5VULN|6MLV|79RCR|8LWND|aMBVNT
42	53626 12332	   	264.13	DCR|3VULN|3DMG|2ASPD	159DMG|2FEWX|38ASPD|45aVULN|5BPWR|6RCR|7MDPS
43	51626 12332	   	264.03	DCR|3VULN|3DMG|2ASPD	159DMG|2DUST|38ASPD|45aVULN|5BPWR|6RCR|7MDPS
44	66226 13311	   	263.74	DCR|3VULN|2TLV|1AAC|1CDMG	1CDMG|2RAT|348VULN|57TLV|6AAC|9RCR|aRMIN
45	66226 13312	   	263.64	DCR|3VULN|2TLV|1AAC|1CDMG	1CDMG|2RAT|348VULN|57TLV|6AAC|9RCR|aBEXP
46	66226 13313	   	263.64	DCR|3VULN|2TLV|1AAC|1CDMG	1CDMG|2RAT|348VULN|57TLV|6AAC|9RCR|aDUST
47	35124 61263	   	262.13	ACR|DCR|2VULN|1MLV|2DUR|1CDMG	12DUR|3MBVNT|49VULN|56RCR|7MLV|8RPLT|aCDMG
