0	Index      	 *	Score 	Summary	Detail	
1	21613 23255	 * 	297.18	DCR|3VULN|3TLV|3DMG	19aDMG|2AART|3TBNT|49aVULN|5DMSP|6RCR|79aTLV|8MDPS|9aBPWR
2	21365 22632	 * 	294.15	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1DMG|2AART|3ASPD|4AEBURN|5VULN|69RCR|7RAT|8CGEN|aMLV
3	21323 42633	 * 	293.84	DCR|DCR|2DMG|1VULN|1ASPD	18DMG|2AART|3ASPD|4ERES|5DUR|6RAT|79RCR|aVULN
4	21124 42122	 * 	291.94	DCR|4VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LWND|458aVULN|68RAT|7RCR|8BPWR|9TLV
5	21224 42122	   	291.84	DCR|4VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LEGI|458aVULN|68RAT|7RCR|8BPWR|9TLV
6	41333 62523	 * 	289.28	ACR|DCR|3VULN|1TLV|1MLV	1LIT|2CGEN|3BELT|47RCR|58aVULN|6TLV|9MLV
7	21322 42633	   	285.53	DCR|DCR|2DMG|1VULN|1ASPD	18DMG|2AART|3ASPD|4ERES|5LWND|6RAT|79RCR|aVULN
8	21353 42632	 * 	285.19	DCR|DCR|2DMG|1MLV|1ASPD	18DMG|2AART|3ASPD|4CGEN|5DUR|6RAT|79RCR|aMLV
9	21124 42126	 * 	278.10	DCR|3VULN|2DMG|1TLV|3RAT	18DMG|2AART|3LWND|458VULN|68aRAT|7RCR|8BPWR|9TLV
10	21143 42632	   	276.89	DCR|DCR|2DMG|1MLV|1ASPD	18DMG|2AART|3LWND|4ASPD|5CGEN|6RAT|79RCR|aMLV
11	21313 42632	   	276.89	DCR|DCR|2DMG|1MLV|1ASPD	18DMG|2AART|3ASPD|4LHND|5CGEN|6RAT|79RCR|aMLV
12	21315 42632	   	276.89	DCR|DCR|2DMG|1MLV|1ASPD	18DMG|2AART|3ASPD|4LHND|5RMIN|6RAT|79RCR|aMLV
13	21352 42632	   	276.89	DCR|DCR|2DMG|1MLV|1ASPD	18DMG|2AART|3ASPD|4CGEN|5LWND|6RAT|79RCR|aMLV
14	21243 42632	   	276.79	DCR|DCR|2DMG|1MLV|1ASPD	18DMG|2AART|3LEGI|4ASPD|5CGEN|6RAT|79RCR|aMLV
15	22222 33455	 * 	276.75	DCR|DCR|1VULN|1TLV|1DMG	1DMG|27BEXP|3AART|4VULN|5TLV|6LIT|8aRCR|9LHND
16	21124 42132	   	276.74	DCR|4VULN|2DMG|1AAC|2RAT	18DMG|2AART|3LWND|458aVULN|68RAT|7RCR|8BPWR|9AAC
17	21224 42132	   	276.64	DCR|4VULN|2DMG|1AAC|2RAT	18DMG|2AART|3LEGI|458aVULN|68RAT|7RCR|8BPWR|9AAC
18	22453 33142	 * 	276.16	DCR|2VULN|3DMG|2TLV|2CDMG	15aDMG|2BEXP|3aVULN|45TLV|5aBPWR|6TBNT|7AEBURN|8aCDMG|9RCR
19	21554 22133	   	274.05	DCR|DCR|1MLV|1DMG|1ASPD|2AART	1DMG|23AART|4DUR|5ASPD|69RCR|7RAT|8MBVNT|aMLV
20	21113 21535	   	272.41	DCR|3VULN|2TLV|2DMG	1aDMG|2AART|3LWND|4TBNT|5DMSP|6RCR|7aTLV|89aVULN|aBPWR
21	21623 21535	   	272.41	DCR|3VULN|2TLV|2DMG	1aDMG|2AART|3TBNT|4LWND|5DMSP|6RCR|7aTLV|89aVULN|aBPWR
22	21213 21535	   	272.31	DCR|3VULN|2TLV|2DMG	1aDMG|2AART|3LEGI|4TBNT|5DMSP|6RCR|7aTLV|89aVULN|aBPWR
23	22216 21535	   	272.21	DCR|3VULN|2TLV|2DMG	1aDMG|25BEXP|3AART|4TBNT|6RCR|7aTLV|89aVULN|aBPWR
24	21124 42123	   	271.79	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LWND|458VULN|68RAT|7RCR|8BPWR|9TLV|aZMB
25	21124 42121	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LWND|458VULN|68RAT|7RCR|8BPWR|9TLV|aBEXP
26	21124 42124	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LWND|458VULN|68RAT|7RCR|8BPWR|9TLV|aMDPS
27	21124 42125	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LWND|458VULN|68RAT|7RCR|8BPWR|9TLV|aLEGI
28	21224 42123	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LEGI|458VULN|68RAT|7RCR|8BPWR|9TLV|aZMB
29	21224 42125	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LEGI|458VULN|68RAT|7RCR|8BPWR|9TLV|aLHND
30	22224 42123	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2BEXP|3AART|458VULN|68RAT|7RCR|8BPWR|9TLV|aZMB
31	22224 42125	   	271.69	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2BEXP|3AART|458VULN|68RAT|7RCR|8BPWR|9TLV|aLHND
32	21224 42121	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LEGI|458VULN|68RAT|7RCR|8BPWR|9TLV|aBEXP
33	21224 42124	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2AART|3LEGI|458VULN|68RAT|7RCR|8BPWR|9TLV|aMDPS
34	21224 42126	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT|1MSE	18DMG|2AART|3LEGI|458VULN|68RAT|7RCR|8BPWR|9TLV|aMSE
35	22224 42121	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2aBEXP|3AART|458VULN|68RAT|7RCR|8BPWR|9TLV
36	22224 42122	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2BEXP|3AART|458VULN|68RAT|7RCR|8BPWR|9TLV|aDUST
37	22224 42124	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT	18DMG|2BEXP|3AART|458VULN|68RAT|7RCR|8BPWR|9TLV|aMDPS
38	22224 42126	   	271.59	DCR|3VULN|2DMG|1TLV|2RAT|1MSE	18DMG|2BEXP|3AART|458VULN|68RAT|7RCR|8BPWR|9TLV|aMSE
39	32222 64242	 * 	269.80	DCR|3VULN|2DMG|1TLV|2CDMG	1TBNT|2aCDMG|3RCVC|48aVULN|5DUST|6TLV|7aDMG|9RCR|aBPWR
40	21543 42122	   	269.73	DCR|2VULN|2DMG|1TLV|2AART|2DUR|2RAT	18DMG|23AART|4aVULN|58DUR|68RAT|7RCR|8BPWR|9TLV
41	21545 21223	 * 	269.39	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG|1AAC|2AART	1DMG|23AART|4VULN|5TLV|6RCR|7MLV|8AAC|9aASPD
42	21333 61175	   	269.31	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2AART|3ASPD|4MBVNT|5CGEN|6aRCR|7DUR|8VULN|9RCVC
43	21363 25415	   	269.11	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2AART|3ASPD|4AEBURN|5DUR|6aRCR|7MBVNT|8VULN|9ERES
44	21365 22633	   	267.94	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2AART|3ASPD|4AEBURN|5VULN|69RCR|7RAT|8aCGEN
45	21365 22631	   	267.84	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2AART|3ASPD|4AEBURN|5VULN|69RCR|7RAT|8CGEN|aERES
46	21353 42232	   	267.60	DCR|DCR|1MLV|1DMG|1ASPD	1DMG|2AART|3ASPD|48CGEN|5DUR|6RAT|79RCR|aMLV
47	21363 22632	   	267.50	DCR|DCR|1MLV|1DMG|1ASPD	1DMG|2AART|3ASPD|4AEBURN|5DUR|69RCR|7RAT|8CGEN|aMLV
48	21363 22133	   	267.40	DCR|DCR|1MLV|1DMG|1ASPD	1DMG|2AART|3ASPD|4AEBURN|5DUR|69RCR|7RAT|8MBVNT|aMLV
