0	Index      	 *	Score 	Summary	Detail	
1	36112 12543	 * 	281.20	DCR|DCR|3TLV|2ASPD|2RAT|1NUKE	17RAT|2NUKE|3ERES|457TLV|67ASPD|7BPWR|8ZMB|9aRCR
2	15323 32326	 * 	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TBNT|3LSRREG|4DUR|5TLV|6aRCR|7VULN|8CDMG|9BELT
3	15323 36216	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TBNT|3LSRREG|4DUR|5TLV|6aRCR|7BELT|8CDMG|9VULN
4	15523 32326	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1BEXP|2TBNT|3MULHEA|4DUR|5TLV|6aRCR|7VULN|8CDMG|9BELT
5	43431 33343	   	266.11	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|3RPLT|4ERES|5FEWX|6TLV|7RAT|8AEFRZ|9aRCR
6	43432 33343	   	266.11	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|3RPLT|4ERES|5LWND|6TLV|7RAT|8AEFRZ|9aRCR
7	32615 23333	 * 	266.10	DCR|DCR|2MLV|2RAT	18RAT|2CGEN|3DUR|47MLV|5AART|6LIT|9aRCR
8	31135 52412	 * 	265.73	DCR|DCR|1VULN|1DMG|1AAC	1RAT|2LSRHEA|3DUR|4LWND|5AAC|6VULN|7LIT|8DMG|9aRCR
9	52222 15215	 * 	265.58	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AEPOI|2DMG|3MLV|4ASPD|59VULN|6TLV|7TBNT|8RCR|aAAC
10	34332 54112	   	265.09	DCR|DCR|1VULN|1DMG|1ASPD	1RAT|2LIT|3ASPD|4FEWX|5DUR|6DMG|7VULN|8BASHEA|9aRCR
11	52222 14315	   	263.94	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1AEPOI|2DMG|3MLV|4ASPD|59VULN|6TLV|7AART|8RAT|aRCR
12	63161 14211	 * 	262.98	ACR|DCR|2MLV|1VULN|1TLV	1ERES|26MLV|3TBNT|4CGEN|5aRCR|7TLV|8LHND|9VULN
13	63261 14211	   	262.98	ACR|DCR|2MLV|1VULN|1TLV	1ERES|26MLV|3BBNT|4CGEN|5aRCR|7TLV|8LHND|9VULN
14	12131 14111	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	1BEXP|2AEBURN|3TBNT|46MLV|5aRCR|7TLV|8FEWX|9VULN
