0	Index      	 *	Score 	Summary	Detail	
1	35521 15323	 * 	296.23	DCR|DCR|1VULN|1TLV|1DMG|1AAC|1CDMG	1DMG|2TLV|3VULN|4MBVNT|5FEWX|6aRCR|7AAC|8CDMG|9LHND
2	53263 12233	 * 	282.52	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2MLV|3TBNT|4BBNT|5AART|6FEWX|7TLV|8VULN|9aRCR
3	53246 13333	 * 	275.28	DCR|3VULN|2MLV|1TLV|2DUR	1MDPS|27MLV|3TBNT|4BEXP|578VULN|67DUR|7BPWR|9RCR|aTLV
4	32312 31231	   	274.09	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2FEWX|3DUR|4LIT|5RMIN|6TLV|79RCR|8LWND|aVULN
5	34322 31231	   	274.09	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2LIT|3DUR|4LWND|5RMIN|6TLV|79RCR|8LHND|aVULN
6	31312 31231	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3DUR|4LIT|5RMIN|6TLV|79RCR|8LWND|aVULN
7	34262 31231	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2LIT|3LEGI|4DUR|5RMIN|6TLV|79RCR|8LWND|aVULN
8	34342 31231	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2LIT|3DUR|4BEXP|5RMIN|6TLV|79RCR|8LWND|aVULN
9	31312 31131	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3DUR|4LIT|5RMIN|6TLV|79RCR|8BEXP|aVULN
10	35121 15383	   	272.44	DCR|DCR|1TLV|1DMG|1AAC|1CDMG	1DMG|2TLV|3LWND|4MBVNT|5FEWX|6aRCR|7AAC|8CDMG|9DUR
11	35521 13523	 * 	272.17	DCR|3VULN|2DMG|1TLV|1MLV	1aDMG|2TLV|379VULN|4MBVNT|5FEWX|6RCR|8MLV
12	35524 13523	   	272.07	DCR|3VULN|2DMG|1TLV|1MLV	1aDMG|2TLV|379VULN|4MBVNT|5DUST|6RCR|8MLV
13	33622 61262	   	271.88	DCR|3VULN|1TLV|1DMG|1AAC|1CDMG	1DMG|28aVULN|3AART|4TLV|5CDMG|6RAT|7RCR|9AAC
14	33622 52114	   	270.75	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1DMG|27VULN|3AART|4TLV|5CDMG|6ASPD|8RPLT|9MLV|aRCR
15	33224 58181	 * 	268.10	DCR|DCR|2VULN|1DMG	1DMG|25VULN|3aCGEN|4MBVNT|69RCR|7AART|8ZMB
16	33224 58182	   	268.10	DCR|DCR|2VULN|1DMG	1DMG|25VULN|3CGEN|4MBVNT|69RCR|7AART|8ZMB|aLWND
17	33224 58183	   	268.10	DCR|DCR|2VULN|1DMG	1DMG|25VULN|3CGEN|4MBVNT|69RCR|7AART|8ZMB|aBELT
18	33224 58184	   	268.10	DCR|DCR|2VULN|1DMG	1DMG|25VULN|3CGEN|4MBVNT|69RCR|7AART|8ZMB|aLHND
19	25363 51333	   	266.56	DCR|3VULN|1TLV|1MLV|1AAC|2DUR	18aVULN|2AAC|38DUR|4MLV|5CGEN|68LIT|7RCR|8BPWR|9TLV
20	25362 51333	   	266.46	DCR|3VULN|1TLV|1MLV|1AAC|2DUR	18aVULN|2AAC|38DUR|4MLV|5ERES|68LIT|7RCR|8BPWR|9TLV
