0	Index      	 *	Score 	Summary	Detail	
1	12465 21212	 * 	296.27	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	19LHND|2CDMG|3VULN|4MLV|5TLV|6DUR|7AME|8aRCR
2	26626 31232	 * 	289.88	DCR|DCR|2MLV|1VULN|1CDMG	1AETHUN|24MLV|3VULN|5CDMG|69FEWX|7DUR|8aRCR
3	31213 32664	   	288.91	DCR|DCR|1TLV|1MLV|1AAC|1ASPD|1CDMG	1RMIN|2AAC|3ASPD|4ZMB|5TLV|6ERES|7MLV|8CDMG|9aRCR
4	63422 21312	 * 	285.47	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2LWND|37VULN|4BEXP|59LHND|6aRCR|8TLV
5	63422 21342	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2LWND|37VULN|4BEXP|5LHND|6aRCR|8TLV|9RCVC
6	64422 21312	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2FEWX|37VULN|4BEXP|59LHND|6aRCR|8TLV
7	66222 21312	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|27VULN|3FEWX|4BEXP|59LHND|6aRCR|8TLV
8	66222 21342	   	285.47	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|27VULN|3FEWX|4BEXP|5LHND|6aRCR|8TLV|9RCVC
9	23556 21312	   	285.37	DCR|DCR|2VULN|1TLV|1CDMG	1AETHUN|2BEXP|37VULN|49LHND|5CDMG|6aRCR|8TLV
10	23556 21112	   	285.27	DCR|DCR|2VULN|1TLV|1CDMG	1AETHUN|28BEXP|37VULN|4LHND|5CDMG|6aRCR|9TLV
11	12415 31212	 * 	281.85	DCR|DCR|2TLV|1VULN|1CDMG	19LHND|2CDMG|3VULN|45TLV|6FEWX|7DUR|8aRCR
12	12415 31242	   	281.85	DCR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|3VULN|45TLV|6FEWX|7DUR|8aRCR|9RCVC
13	63415 31232	   	281.85	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2LWND|3VULN|45TLV|69FEWX|7DUR|8aRCR
14	66115 31212	   	281.85	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2VULN|39LHND|45TLV|6FEWX|7DUR|8aRCR
15	12415 21342	   	281.75	DCR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|3VULN|45TLV|6RCVC|7aRCR|8DUST|9DUR
16	44215 34313	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1TBNT|2CANSTR|3RAT|4VULN|5TLV|6MBVNT|7aRCR|8AEFRZ|9MLV
17	64322 13141	 * 	280.38	ACR|DCR|3TLV|2MLV|3CDMG	18aCDMG|2FEWX|3BBNT|47RCR|58aTLV|68AEFRZ|8aBPWR|9aMLV
18	44215 34123	   	278.56	DCR|DCR|2VULN|1TLV	1TBNT|2CANSTR|3RAT|49VULN|5TLV|6MBVNT|7aRCR|8ERES
19	66412 21212	 * 	275.52	DCR|DCR|3VULN|1CDMG	1CDMG|237VULN|4MDPS|59LHND|6aRCR|8RMIN
20	12415 23212	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	19LHND|2CDMG|3VULN|45TLV|6RCVC|7MDPS|8aRCR
21	12415 23242	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1LHND|2CDMG|3VULN|45TLV|69RCVC|7MDPS|8aRCR
22	66115 23212	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2VULN|39LHND|45TLV|6RCVC|7MDPS|8aRCR
23	66215 23232	   	273.45	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2VULN|3FEWX|45TLV|69RCVC|7MDPS|8aRCR
