0	Index      	 *	Score 	Summary	Detail	
1	32665 31312	 * 	289.08	ACR|DCR|3VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|579VULN|8AME|aTLV
2	61512 11343	 * 	279.07	DCR|DCR|2VULN|1MLV	1BELT|2MLV|3DUR|49AME|5aVULN|68RCR|7FEWX
3	62252 11343	   	279.07	DCR|DCR|2VULN|1MLV	1BELT|2DUR|39AME|4MLV|5aVULN|68RCR|7FEWX
4	61142 12511	 * 	278.35	DCR|2VULN|2MLV|1TLV|2ASPD	1BELT|28MLV|3TLV|48FEWX|58VULN|6RCR|7AART|8BPWR|9aASPD
5	61512 11351	 * 	278.00	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9DMG|aRAT
6	62252 11351	   	278.00	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9DMG|aRAT
7	61142 12513	   	277.42	DCR|2VULN|2MLV|1TLV|1ASPD|1CDMG	1BELT|28MLV|3TLV|48FEWX|58VULN|6RCR|7AART|8BPWR|9ASPD|aCDMG
8	62622 11321	   	276.70	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9AAC|aRAT
9	62322 11321	   	276.60	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aRAT
10	62622 11331	   	276.06	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9ASPD|aRAT
11	62322 11331	   	275.96	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aRAT
12	61512 11341	 * 	275.18	DCR|DCR|2MLV|1VULN	1BELT|2aMLV|3DUR|49AME|5VULN|68RCR|7FEWX
13	62252 11341	   	275.18	DCR|DCR|2MLV|1VULN	1BELT|2DUR|39AME|4aMLV|5VULN|68RCR|7FEWX
14	61512 11362	   	275.08	DCR|DCR|2MLV|1VULN	1BELT|2aMLV|3DUR|4AME|5VULN|68RCR|7FEWX|9MDPS
15	62252 11362	   	275.08	DCR|DCR|2MLV|1VULN	1BELT|2DUR|3AME|4aMLV|5VULN|68RCR|7FEWX|9MDPS
16	61512 11321	   	274.83	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9AAC|aRAT
17	62252 11321	   	274.83	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aRAT
18	61515 12321	   	274.83	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5LHND|68RCR|7VULN|9AAC|aRAT
19	62255 12321	   	274.83	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5LHND|68RCR|7VULN|9AAC|aRAT
20	62264 12321	   	274.73	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4BEXP|5MLV|68RCR|7VULN|9AAC|aRAT
21	33361 16261	 * 	274.68	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2RPLT|3TLV|4MLV|5LWND|6LIT|7AME|8aRCR|9VULN
22	33362 61261	   	274.68	DCR|DCR|1VULN|1TLV|1MLV	1LEGI|2RPLT|3TLV|4MLV|5LIT|6AME|7LWND|8aRCR|9VULN
23	61512 11331	   	274.18	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9ASPD|aRAT
24	61515 12331	   	274.18	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5LHND|68RCR|7VULN|9ASPD|aRAT
25	62252 11331	   	274.18	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9ASPD|aRAT
26	62255 12331	   	274.18	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5LHND|68RCR|7VULN|9ASPD|aRAT
27	62264 12331	   	274.08	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4BEXP|5MLV|68RCR|7VULN|9ASPD|aRAT
28	32663 31613	   	273.93	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5FEWX|79VULN|8DUR|aTLV
29	32665 31213	   	273.93	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|57VULN|8DUR|9LWND|aTLV
30	32665 31313	   	273.88	ACR|DCR|3VULN|1MLV|1AAC	1LEGI|26RCR|3AEFRZ|4MLV|579VULN|8AME|aAAC
31	32661 31613	   	273.83	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5DUST|79VULN|8DUR|aTLV
32	62261 12326	   	273.68	DCR|DCR|1VULN|1TLV|1AAC	1BELT|2DUR|3AME|4BEXP|5RMIN|68RCR|7VULN|9AAC|aTLV
33	62631 12326	   	273.68	DCR|DCR|1VULN|1TLV|1AAC	1BELT|2DUR|3LHND|4BEXP|5RCVC|68RCR|7VULN|9AAC|aTLV
34	62633 12326	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	1BELT|2DUR|3LHND|45BEXP|68RCR|7VULN|9AAC|aTLV
35	62261 12336	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1BELT|2DUR|3AME|4BEXP|5RMIN|68RCR|7VULN|9ASPD|aTLV
36	62631 12336	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1BELT|2DUR|3LHND|4BEXP|5RCVC|68RCR|7VULN|9ASPD|aTLV
37	62633 12336	   	272.93	DCR|DCR|1VULN|1TLV|1ASPD	1BELT|2DUR|3LHND|45BEXP|68RCR|7VULN|9ASPD|aTLV
38	61142 12512	   	272.07	DCR|2VULN|2MLV|1TLV|1ASPD	1BELT|28MLV|3TLV|48FEWX|58VULN|6RCR|7AART|8BPWR|9ASPD|aDUR
39	61512 11352	   	271.06	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9DMG|aCGEN
40	61512 11353	   	271.06	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9DMG|aLWND
41	62252 11352	   	271.06	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9DMG|aCGEN
42	62252 11353	   	271.06	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9DMG|aLWND
43	61412 11343	   	270.77	DCR|DCR|2VULN|1MLV	1BELT|2MLV|3LHND|49AME|5aVULN|68RCR|7FEWX
44	61461 12132	 * 	270.69	DCR|4VULN|2MLV|2CDMG	1BELT|2aMLV|3LHND|478aVULN|5RMIN|6RCR|9aCDMG|aBPWR
45	31633 36533	 * 	269.78	DCR|2VULN|2MLV|2TLV|1NUKE	1LEGI|29MLV|3ERES|49TLV|5LIT|6RAT|79VULN|8RCR|9BPWR|aNUKE
46	62622 11322	   	269.76	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9AAC|aCGEN
47	62622 11323	   	269.76	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9AAC|aLWND
48	62622 11325	   	269.76	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3LHND|45VULN|68RCR|7aFEWX|9AAC
49	62622 11362	   	269.76	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9VENICY|aAAC
50	61412 11351	   	269.69	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9DMG|aRAT
51	62322 11322	   	269.66	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aCGEN
52	62322 11323	   	269.66	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aLWND
53	62322 11325	   	269.66	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3AETHUN|45VULN|68RCR|7aFEWX|9AAC
54	62622 11324	   	269.66	DCR|DCR|2VULN|1AAC|1SELL	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9AAC|aSELL
55	62622 11326	   	269.66	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9AAC|aDUST
56	62322 11324	   	269.56	DCR|DCR|2VULN|1AAC|1SELL	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aSELL
57	62322 11326	   	269.56	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aDUST
58	62322 11362	   	269.56	DCR|DCR|2VULN|1AAC	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9MULHEA|aAAC
59	62622 11332	   	269.12	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9ASPD|aCGEN
60	62622 11333	   	269.12	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9ASPD|aLWND
61	62622 11335	   	269.12	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3LHND|45VULN|68RCR|7aFEWX|9ASPD
62	62322 11332	   	269.02	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aCGEN
63	62322 11333	   	269.02	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aLWND
64	62322 11335	   	269.02	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3AETHUN|45VULN|68RCR|7aFEWX|9ASPD
65	62622 11334	   	269.02	DCR|DCR|2VULN|1ASPD|1SELL	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9ASPD|aSELL
66	62622 11336	   	269.02	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9ASPD|aDUST
67	62322 11334	   	268.92	DCR|DCR|2VULN|1ASPD|1SELL	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aSELL
68	62322 11336	   	268.92	DCR|DCR|2VULN|1ASPD	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aDUST
69	65322 11321	   	268.29	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aRAT
