0	Index      	 *	Score 	Summary	Detail	
1	31213 36364	 * 	285.37	DCR|DCR|2VULN|1TLV|1CDMG	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9aVULN
2	25623 63312	 * 	283.43	DCR|2VULN|2MLV|3DMG|1AAC	1MDPS|2RCVC|39MLV|4RAT|569DMG|7RCR|89VULN|9BPWR|aAAC
3	16622 21611	 * 	279.86	DCR|DCR|2VULN|1DMG|2CDMG	15RMIN|2RCVC|3DMG|47CDMG|6aRCR|89VULN
4	16132 15331	 * 	276.21	DCR|DCR|2TLV|1MLV|1DMG|1SELL	1RMIN|27RCVC|35TLV|4DMG|6aRCR|8SELL|9MLV
5	13232 15331	 * 	276.11	DCR|DCR|2TLV|1MLV|1DMG|1SELL	1RMIN|2AEWIND|35TLV|4DMG|6aRCR|7RCVC|8SELL|9MLV
6	31213 36365	 * 	273.35	DCR|DCR|2TLV|1VULN|1CDMG	1FEWX|2LWND|3AEFBLL|4aTLV|5BASHEA|6CDMG|78RCR|9VULN
7	56161 11223	 * 	272.27	DCR|3VULN|2DMG|1TLV|1MLV	145VULN|23DMG|6RCR|7CGEN|8MLV|9BBNT|aTLV
8	41413 36331	 * 	270.39	DCR|DCR|1TLV|1MLV|2CDMG	12LWND|3DUR|4TLV|5BASHEA|69CDMG|78RCR|aMLV
9	42513 36331	   	270.39	DCR|DCR|1TLV|1MLV|2CDMG	13LWND|2DUR|4TLV|5BASHEA|69CDMG|78RCR|aMLV
10	42213 36331	   	270.29	DCR|DCR|1TLV|1MLV|2CDMG	1LWND|2DUR|3AEFBLL|4TLV|5BASHEA|69CDMG|78RCR|aMLV
11	31513 36363	   	268.93	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1FEWX|23LWND|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aNUKE
12	41213 36363	   	268.93	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	12LWND|3FEWX|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aNUKE
13	31213 36363	   	268.83	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aNUKE
14	61213 36363	   	268.73	DCR|DCR|1VULN|1TLV|1CDMG|1NUKE	1DUST|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aNUKE
15	31513 36361	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|23LWND|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aDUR
16	41213 36361	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	12LWND|3FEWX|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aDUR
17	31213 36344	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9DUR|aVULN
18	31213 36361	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aDUR
19	42213 36314	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1LWND|2DUR|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aVULN
20	61213 36361	   	267.38	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aDUR
21	25623 63313	   	266.54	DCR|2VULN|2MLV|3DMG	1MDPS|2RCVC|39MLV|4RAT|569DMG|7RCR|89VULN|9BPWR|aLWND
22	25623 63311	   	266.44	DCR|2VULN|2MLV|3DMG	1MDPS|2RCVC|39MLV|4RAT|569DMG|7RCR|89VULN|9BPWR|aBEXP
23	25162 31327	 * 	264.10	DCR|DCR|2MLV|1DMG	1MDPS|2RCVC|3DUR|4MBVNT|5BBNT|6aRCR|78MLV|9DMG
24	42213 36341	   	263.97	DCR|DCR|1TLV|1MLV|1CDMG	1LWND|2DUR|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9RCVC|aMLV
25	42213 36361	   	263.87	DCR|DCR|1TLV|1MLV|1CDMG	1LWND|2DUR|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9AEBURN|aMLV
26	41113 36331	   	262.08	DCR|DCR|1TLV|1MLV|2CDMG	12LWND|3LHND|4TLV|5BASHEA|69CDMG|78RCR|aMLV
27	41613 36331	   	261.98	DCR|DCR|1TLV|1MLV|2CDMG	12LWND|3DUST|4TLV|5BASHEA|69CDMG|78RCR|aMLV
28	61513 36331	   	261.98	DCR|DCR|1TLV|1MLV|2CDMG	1DUST|23LWND|4TLV|5BASHEA|69CDMG|78RCR|aMLV
29	25611 16312	 * 	261.94	DCR|DCR|2MLV|3CDMG	1MDPS|2RCVC|3aMLV|46MULHEA|56aCDMG|6aBPWR|78RCR|9aFEWX
30	61213 36331	   	261.88	DCR|DCR|1TLV|1MLV|2CDMG	1DUST|2LWND|3AEFBLL|4TLV|5BASHEA|69CDMG|78RCR|aMLV
31	56121 41123	   	259.50	DCR|2VULN|2MLV|3DMG	19VULN|236DMG|46MLV|5BBNT|6BPWR|7FEWX|8LEGI|aRCR
32	31513 36352	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|23LWND|4TLV|5BASHEA|6CDMG|78RCR|9LIT|aVULN
33	31513 36362	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|23aLWND|4TLV|5BASHEA|6CDMG|78RCR|9VULN
34	41113 36314	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	12LWND|3LHND|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aVULN
35	41213 36352	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	12LWND|3FEWX|4TLV|5BASHEA|6CDMG|78RCR|9LIT|aVULN
36	41213 36362	   	259.27	DCR|DCR|1VULN|1TLV|1CDMG	12aLWND|3FEWX|4TLV|5BASHEA|6CDMG|78RCR|9VULN
37	31213 36352	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9LIT|aVULN
38	31213 36362	   	259.17	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|2aLWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN
39	31213 36366	   	259.07	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN|aMDPS
40	61213 36314	   	259.07	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aVULN
41	61213 36352	   	259.07	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9LIT|aVULN
42	61213 36362	   	259.07	DCR|DCR|1VULN|1TLV|1CDMG	1DUST|2aLWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9VULN
43	52361 13252	 * 	258.81	DCR|4VULN|1TLV|1DMG|1CDMG	1345VULN|2CGEN|6RCR|7MDPS|8DMG|9CDMG|aTLV
44	13532 61334	 * 	258.25	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2AEWIND|38MLV|4DMG|5TLV|69VULN|7TBNT|aRCR
45	13236 61334	   	258.25	DCR|2VULN|2MLV|1TLV|1DMG	1RMIN|2AEWIND|3TLV|4DMG|58MLV|69VULN|7TBNT|aRCR
46	51213 22613	   	257.00	DCR|2VULN|2MLV|1DMG|1AAC|1CDMG	17VULN|27LWND|3LHND|4DMG|57MLV|6AAC|7BPWR|8RPLT|9CDMG|aRCR
47	56121 42131	 * 	256.94	DCR|3MLV|3DMG|1VULN	1VULN|236DMG|468MLV|5BBNT|6BPWR|7ZMB|9RCVC|aRCR
48	52323 32216	 * 	256.70	DCR|3VULN|2MLV|1DMG	135VULN|2CGEN|4aMLV|6BELT|7DUR|8DMG|9RCR
49	42213 36335	 * 	255.87	DCR|DCR|2TLV|2CDMG	1LWND|2DUR|3AEFBLL|4aTLV|5BASHEA|69CDMG|78RCR
50	31513 36311	   	255.77	DCR|DCR|1TLV|1MLV|1CDMG	19FEWX|23LWND|4TLV|5BASHEA|6CDMG|78RCR|aMLV
51	41113 36313	   	255.77	DCR|DCR|1TLV|1MLV|1CDMG	12LWND|3LHND|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aMLV
52	41113 36341	   	255.77	DCR|DCR|1TLV|1MLV|1CDMG	12LWND|3LHND|4TLV|5BASHEA|6CDMG|78RCR|9RCVC|aMLV
53	41213 36311	   	255.77	DCR|DCR|1TLV|1MLV|1CDMG	12LWND|39FEWX|4TLV|5BASHEA|6CDMG|78RCR|aMLV
54	25611 16313	   	255.70	DCR|DCR|2MLV|2CDMG	1MDPS|2RCVC|3aMLV|46MULHEA|56CDMG|6BPWR|78RCR|9FEWX
55	31213 36311	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	19FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|aMLV
56	41613 36313	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	12LWND|3DUST|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aMLV
57	46213 36311	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	1LWND|29FEWX|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|aMLV
58	61513 36313	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	1DUST|23LWND|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aMLV
59	31513 36331	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	1FEWX|23LWND|4TLV|5BASHEA|6CDMG|78RCR|9AEWIND|aMLV
60	41113 36361	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	12LWND|3LHND|4TLV|5BASHEA|6CDMG|78RCR|9AEBURN|aMLV
61	41213 36331	   	255.67	DCR|DCR|1TLV|1MLV|1CDMG	12LWND|3FEWX|4TLV|5BASHEA|6CDMG|78RCR|9AEWIND|aMLV
62	25612 36331	   	255.60	DCR|DCR|2MLV|2CDMG	1MDPS|2RCVC|3aMLV|4MULHEA|5AEPOI|69CDMG|78RCR
63	31213 36331	   	255.57	DCR|DCR|1TLV|1MLV|1CDMG	1FEWX|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9AEWIND|aMLV
64	46213 36331	   	255.57	DCR|DCR|1TLV|1MLV|1CDMG	1LWND|2FEWX|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9AEWIND|aMLV
65	61213 36313	   	255.57	DCR|DCR|1TLV|1MLV|1CDMG	1DUST|2LWND|3AEFBLL|4TLV|5BASHEA|6CDMG|78RCR|9FEWX|aMLV
