0	Index      	 *	Score 	Summary	Detail	
1	13642 16313	 * 	288.00	橙橙2伤害2矿等1易伤2策反	1立即金币25矿等3易伤49策反68伤害7a核
2	35653 23132	 * 	273.62	橙橙2易伤1伤害1全技能	12最后敌人3伤害49易伤5赏金邻近6低血量敌人78核a全技能
3	12653 23136	   	272.27	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a时间
4	14623 23114	   	272.27	橙橙2易伤1伤害	1立即金币2a易伤3伤害4时间5赏金邻近6低血量敌人78核9赏金塔
5	14623 23131	   	272.27	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6低血量敌人78核a最后敌人
6	14623 23133	   	272.27	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6低血量敌人78核a基地爆炸
7	14623 23136	   	272.27	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6a低血量敌人78核
8	14625 33131	   	272.27	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5低血量敌人6赏金塔78核a最后敌人
9	14625 33133	   	272.27	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5低血量敌人6赏金塔78核a基地爆炸
10	14624 33131	   	272.17	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5挖尘6赏金塔78核a最后敌人
11	14624 33133	   	272.17	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5挖尘6赏金塔78核a双倍矿
12	14623 23132	   	272.17	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5赏金邻近6低血量敌人78核a挖尘
13	14625 33132	   	272.17	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5低血量敌人6赏金塔78核a挖尘
14	53613 33136	   	272.17	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a时间
15	14624 33132	   	272.07	橙橙2易伤1伤害	1立即金币29易伤3伤害4时间5a挖尘6赏金塔78核
16	21123 23646	   	268.84	橙橙1易伤1伤害1矿等1暴击	1雷电2技能3挖青4矿等5等级6伤害79核8易伤a暴击
17	21221 43441	   	265.85	橙橙2易伤1攻速	1雷电2技能3攻速4低血量敌人56易伤79核8时间a赏金邻近
18	21221 43442	   	265.85	橙橙2易伤1攻速	1雷电2a技能3攻速4低血量敌人56易伤79核8时间
19	21221 43443	   	265.85	橙橙2易伤1攻速	1雷电2技能3攻速4低血量敌人56易伤79核8时间a随机矿
20	12653 23114	   	263.96	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害4a易伤5赏金邻近6低血量敌人78核9赏金塔
21	12653 23131	   	263.96	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a最后敌人
22	12653 23133	   	263.96	橙橙2易伤1伤害	1立即金币2a基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核
23	12655 33131	   	263.96	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5低血量敌人6赏金塔78核a最后敌人
24	12655 33133	   	263.96	橙橙2易伤1伤害	1立即金币2a基地爆炸3伤害49易伤5低血量敌人6赏金塔78核
25	35653 23131	   	263.96	橙橙2易伤1伤害	12最后敌人3伤害49易伤5赏金邻近6a低血量敌人78核
26	12653 23132	   	263.86	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a挖尘
27	12653 23135	   	263.86	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5赏金邻近6低血量敌人78核a掉矿
28	12654 33131	   	263.86	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5挖尘6赏金塔78核a最后敌人
29	12654 33133	   	263.86	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5挖尘6赏金塔78核a双倍矿
30	12655 33132	   	263.86	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5低血量敌人6赏金塔78核a挖尘
31	35653 23133	   	263.86	橙橙2易伤1伤害	12最后敌人3伤害49易伤5赏金邻近6低血量敌人78核a掉矿
32	53613 33114	   	263.86	橙橙2易伤1伤害	1挖尘2基地爆炸3a易伤4伤害5立即金币6赏金塔78核9赏金邻近
33	53613 33131	   	263.86	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a最后敌人
34	53613 33133	   	263.86	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a双倍矿
35	53613 33134	   	263.86	橙橙2易伤1伤害	1挖尘2a基地爆炸39易伤4伤害5立即金币6赏金塔78核
36	53613 43131	   	263.86	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金邻近78核a最后敌人
37	53613 43133	   	263.86	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金邻近78核a双倍矿
38	53611 53131	   	263.76	橙橙2易伤1伤害	16挖尘2基地爆炸39易伤4伤害5赏金塔78核a最后敌人
