0	Index      	 *	Score 	Summary	Detail	
1	13352 35533	 * 	293.78	橙橙2易伤2暴击1伤害1全技能	18基地爆炸28易伤3双倍矿48暴击5随机矿6a核7全技能8序列升级9伤害
2	31333 32324	   	281.83	橙橙2易伤1伤害1平台	1赏金邻近2随机矿3平台4a易伤5伤害6时间79核8双倍秒伤
3	31345 32324	   	281.83	橙橙2易伤1伤害1平台	1赏金邻近2随机矿3平台4时间5a易伤6伤害79核8双倍秒伤
4	32664 23123	 * 	278.40	橙3易伤3伤害3矿等	1赏金邻近27a矿等3立即金币4双倍秒伤57a易伤6核7a序列升级89a伤害
5	22251 82123	   	278.20	橙3易伤3伤害3矿等	128伤害28序列升级3加一468易伤5双倍秒伤78a矿等9核
6	22253 34337	 * 	277.86	紫橙2易伤3伤害1全技能	128伤害2序列升级3加一47易伤5a核6全技能9金币生成
7	22253 34357	   	277.86	紫橙2易伤3伤害1全技能	128伤害2序列升级3加一47易伤5a核6全技能9随机矿
8	21663 23513	   	272.84	橙3易伤3伤害2矿等	17a伤害2时间37a易伤4赏金邻近579敌人爆炸6核7a序列升级8a矿等
9	35614 23121	 * 	268.74	橙3易伤3伤害3攻速	1赏金邻近27a攻速3立即金币4双倍秒伤57a易伤6核7a序列升级89a伤害
10	21631 21651	   	268.65	橙2易伤2伤害2攻速1矿等1暴击1全技能	17伤害2时间37易伤4全技能57攻速6技能7序列升级8核9暴击a矿等
11	22253 46343	   	265.95	紫橙2易伤2伤害1攻速1策反	12伤害2序列升级3加一4a易伤59核6策反7攻速8立即金币
12	22324 21347	   	265.30	橙2易伤3伤害2矿等1暴击1全技能	12a伤害2a序列升级3暴击4双倍物品5全技能6a易伤7核8a矿等9加一
13	31333 32323	   	265.28	橙橙1易伤1伤害1全技能1平台	1赏金邻近2随机矿3平台4易伤5伤害6时间79核8双倍秒伤a全技能
14	31345 32323	   	265.28	橙橙1易伤1伤害1全技能1平台	1赏金邻近2随机矿3平台4时间5易伤6伤害79核8双倍秒伤a全技能
15	35232 22345	   	265.06	橙橙1易伤1伤害1暴击1攻速	1赏金邻近2攻速3赏金塔4伤害5暴击6立即金币79核8额外掉落a易伤
16	22213 17247	 * 	264.80	橙橙2伤害1易伤1平台	12伤害2序列升级3加一4赏金塔5易伤6多重对甲7a核8平台9敌人爆炸
17	22213 67247	   	264.80	橙橙2伤害1易伤1平台	12伤害2序列升级3加一4赏金塔5易伤6爆破对冰7a核8平台9敌人爆炸
18	22255 12123	   	264.46	橙2易伤3伤害3矿等	128伤害28序列升级3加一48易伤5时间6基地爆炸78a矿等9核
19	22254 22123	   	264.36	橙2易伤3伤害3矿等	128伤害28序列升级3加一48易伤5挖尘6时间78a矿等9核
20	22211 87633	   	264.23	橙3易伤3伤害2矿等	12a伤害2a序列升级3加一4赏金塔5敌人爆炸69a易伤7核8a矿等
21	22251 82122	   	264.13	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a双倍矿
22	22251 82124	   	264.13	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a随机矿
23	22251 82127	   	264.13	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a金币生成
24	22251 82128	   	264.13	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a低血量敌人
25	22251 82121	   	264.03	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a多重对甲
26	22251 82125	   	264.03	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a挖青
27	22251 82126	   	264.03	橙3易伤3伤害2矿等	128伤害28序列升级3加一468易伤5双倍秒伤78矿等9核a挖尘
28	45131 52112	 * 	263.99	橙2易伤2伤害3攻速2矿等	18a攻速2双倍秒伤35伤害48易伤6技能78矿等8序列升级9核
