0	Index      	 *	Score 	Summary	Detail	
1	31623 24226	 * 	285.95	橙橙2矿等1易伤1伤害2时间	178雷电2金币生成38时间4伤害5易伤68矿等8序列升级9a核
2	22553 23342	 * 	281.29	橙橙2易伤1伤害1矿等	1矿等2挖尘3双倍秒伤45易伤6a核7立即金币8伤害9低血量敌人
3	13515 62123	   	277.51	橙橙2易伤1伤害1攻速	1赏金邻近2攻速3伤害4最后敌人57易伤6a核8低血量敌人9技能点
4	31541 22226	 * 	276.99	橙橙2易伤2矿等1策反	138雷电2金币生成48矿等5敌人爆炸6策反78易伤8序列升级9a核
5	31542 22226	 * 	276.99	橙橙2易伤2矿等1策反	138雷电2金币生成48矿等5基地爆炸6策反78易伤8序列升级9a核
6	31543 22226	 * 	276.89	橙橙2易伤2矿等1策反	138雷电2金币生成48矿等5挖尘6策反78易伤8序列升级9a核
7	21335 33772	   	274.15	橙橙2矿等1易伤1暴击1全技能	14矿等2全技能34敌人爆炸4序列升级5加一6最后敌人7易伤8暴击9a核
8	31123 24226	   	271.10	橙橙2矿等1易伤1伤害	178雷电2金币生成38基地爆炸4伤害5易伤68矿等8序列升级9a核
9	31323 24226	   	271.10	橙橙2矿等1易伤1伤害	178雷电2金币生成38最后敌人4伤害5易伤68矿等8序列升级9a核
10	21151 63336	   	270.42	橙橙2矿等1伤害1攻速1全技能	13矿等2全技能4攻速5立即金币6a核7伤害8时间9赏金塔
11	11162 26151	   	269.63	橙橙2易伤1矿等	1赏金邻近23易伤4矿等5敌人爆炸6时间7a核8最后敌人9毒液对冰
12	11233 41521	   	269.63	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6时间8a核9基地爆炸
13	11233 41551	   	269.63	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6时间8a核9低血量敌人
14	13224 61153	 * 	268.99	橙橙2伤害1易伤1攻速	1赏金邻近2攻速3金币生成4易伤5低血量敌人6a核79伤害8最后敌人
15	13515 61123	   	268.89	橙橙2伤害1易伤1攻速	1赏金邻近2攻速37伤害4最后敌人5易伤6a核8低血量敌人9技能点
16	32132 62365	 * 	266.14	紫橙2易伤1伤害1矿等1暴击	1雷电2赏金塔3毒液对毒48核5a易伤6矿等7暴击9伤害
17	31613 24226	   	265.65	橙橙2矿等1易伤2时间1策反	178雷电2金币生成38时间4策反5易伤68矿等8序列升级9a核
18	32132 62334	 * 	261.68	紫橙2易伤2矿等1暴击	1雷电2赏金塔3毒液对毒48核59易伤6a矿等7暴击
19	11233 11521	   	261.33	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6基地爆炸8a核9敌人爆炸
20	11233 11551	   	261.33	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6基地爆炸8a核9低血量敌人
21	11233 21521	   	261.33	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6最后敌人8a核9基地爆炸
22	11233 21551	   	261.33	橙橙2易伤1矿等	1赏金邻近27易伤3挖尘4寒冰对冰5矿等6最后敌人8a核9低血量敌人
23	22144 11521	   	261.23	橙橙2易伤1矿等	1矿等2挖尘3喷火对黄47易伤5赏金邻近6基地爆炸8a核9敌人爆炸
24	22144 21521	   	261.23	橙橙2易伤1矿等	1矿等2挖尘3喷火对黄47易伤5赏金邻近6最后敌人8a核9基地爆炸
25	31516 22226	   	261.18	橙橙2易伤1矿等1策反	138雷电2金币生成48挖尘5矿等6策反78易伤8序列升级9a核
26	22553 23612	   	260.98	橙橙2易伤1矿等1策反	1矿等2挖尘3双倍秒伤45易伤6a核7立即金币8基地爆炸9策反
27	32314 32121	   	260.97	橙橙1易伤1伤害1暴击1全技能	1雷电2赏金塔3暴击4最后敌人5双倍秒伤68核7伤害9全技能a易伤
28	32354 32121	   	260.97	橙橙1易伤1伤害1暴击1全技能	1雷电2赏金塔3暴击4低血量敌人5双倍秒伤68核7伤害9全技能a易伤
29	32132 62345	   	259.72	紫橙2易伤1矿等1攻速1暴击	1雷电2赏金塔3毒液对毒48核5a易伤6矿等7暴击9攻速
30	14312 26243	   	259.14	橙橙2矿等1易伤	1赏金邻近2基地爆炸35最后敌人45矿等5序列升级6时间7a核8加一9易伤
31	15212 26243	   	259.14	橙橙2矿等1易伤	1赏金邻近2最后敌人35基地爆炸45矿等5序列升级6时间7a核8加一9易伤
32	15512 26243	   	259.14	橙橙2矿等1易伤	1赏金邻近2最后敌人35敌人爆炸45矿等5序列升级6时间7a核8加一9易伤
33	15412 26243	   	258.94	橙橙2矿等1易伤	1赏金邻近2最后敌人35挖尘45矿等5序列升级6时间7a核8加一9易伤
34	52625 13213	 * 	256.25	紫橙4易伤1卖塔	1789金币生成278挖尘3赏金塔4卖塔5a核6789易伤789序列升级
