0	Index      	 *	Score 	Summary	Detail	
1	15532 32316	 * 	288.59	橙橙3攻速2矿等1易伤	148攻速2易伤38矿等5雷电6金币生成78等级8序列升级9a核
2	24211 31642	 * 	279.49	橙橙3易伤1暴击	1a激光减费2赏金塔3a寒冰对黄4暴击5雷电68a易伤79核a序列升级
3	24252 32431	   	277.94	橙橙2矿等1易伤1暴击1攻速	1激光减费2赏金塔3寒冰对黄4易伤5攻速68矿等79核a暴击
4	11521 35326	 * 	274.31	橙橙2矿等1伤害1暴击1攻速	1攻速2挖尘39矿等4伤害5时间6暴击7a核8立即金币
5	11521 35226	   	274.21	橙橙2矿等1伤害1暴击1攻速	1攻速28挖尘39矿等4伤害5时间6暴击7a核
6	23162 34336	 * 	272.64	紫橙3易伤1暴击1攻速	1激光减费2等级3a核469易伤5攻速7暴击8时间
7	14353 45433	   	267.01	橙橙2易伤1攻速1全技能	1攻速2最后敌人3挖尘4加一5金币生成6全技能78核9a易伤
8	15121 31616	   	266.35	橙橙1易伤1矿等1攻速1平台1策反1卖塔	1攻速2易伤3雷电4时间5策反6卖塔7矿等8平台9a核
9	12436 74214	 * 	264.96	橙橙1易伤1伤害1暴击1攻速	1攻速2暴击3伤害4双倍矿5加一6雷电7赏金塔8a核9易伤
10	24252 32433	   	264.29	橙橙2矿等1易伤1攻速	1激光减费2赏金塔3寒冰对黄4易伤5攻速68矿等79核a基地爆炸
11	24252 32432	   	264.19	橙橙2矿等1易伤1攻速	1激光减费2赏金塔3寒冰对黄4易伤5攻速68矿等79核a激光对绿
12	15223 11236	 * 	262.74	橙3易伤3矿等3攻速	19a攻速29a易伤3激光对绿4额外掉落5赏金邻近6最后敌人7核89a矿等9a序列升级
13	15223 51236	   	262.74	橙3易伤3矿等3攻速	19a攻速29a易伤3激光对绿4额外掉落5赏金邻近6敌人爆炸7核89a矿等9a序列升级
14	15251 11236	   	262.74	橙3易伤3矿等3攻速	19a攻速29a易伤3激光对绿4最后敌人5赏金塔6额外掉落7核89a矿等9a序列升级
15	15223 41236	   	262.64	橙3易伤3矿等3攻速	19a攻速29a易伤3激光对绿4额外掉落5赏金邻近6挖尘7核89a矿等9a序列升级
