0	Index      	 *	Score 	Summary	Detail	
1	32311 26432	 * 	297.45	橙橙3易伤1等级1伤害	1最后敌人247易伤3等级5随机矿6伤害8掉矿9a核
2	32313 26232	 * 	296.55	橙橙4易伤1等级1技能	1最后敌人2467易伤3等级5挖尘8技能9a核
3	32411 26432	   	286.85	橙橙3易伤1伤害1矿等	1最后敌人247易伤3矿等5随机矿6伤害8掉矿9a核
4	32413 26232	   	285.95	橙橙4易伤1矿等1技能	1最后敌人2467易伤3矿等5挖尘8技能9a核
5	32311 25532	 * 	285.74	橙橙2易伤2等级1伤害	1最后敌人24易伤38等级5随机矿6伤害7金币生成9a核
6	32311 24532	   	285.64	橙橙2易伤2等级1伤害	1最后敌人24易伤38等级5随机矿6伤害7掉矿9a核
7	12461 22232	 * 	280.34	橙橙2易伤2伤害1时间	1掉矿26伤害3金币生成4时间5随机矿78易伤9a核
8	32312 45324	   	277.48	橙橙3易伤1等级	1最后敌人249易伤3等级5低血量敌人6毒液对毒7基地爆炸8a核
9	32311 56432	   	277.38	橙橙3易伤1等级1技能	1最后敌人246易伤3等级5随机矿7技能8掉矿9a核
10	32313 21232	   	277.28	橙橙3易伤1等级1技能	1最后敌人246易伤3等级57挖尘8技能9a核
11	32311 25132	   	275.41	橙橙2易伤1等级1伤害	18最后敌人24易伤3等级5随机矿6伤害7金币生成9a核
12	32311 25332	   	275.41	橙橙2易伤1等级1伤害	1最后敌人24易伤3等级58随机矿6伤害7金币生成9a核
13	32311 22432	   	275.31	橙橙2易伤1等级1伤害	1最后敌人24易伤3等级57随机矿6伤害8掉矿9a核
14	32311 24132	   	275.31	橙橙2易伤1等级1伤害	18最后敌人24易伤3等级5随机矿6伤害7掉矿9a核
15	32311 24332	   	275.31	橙橙2易伤1等级1伤害	1最后敌人24易伤3等级58随机矿6伤害7掉矿9a核
16	32232 26432	   	271.34	橙橙3易伤1伤害	14最后敌人257易伤35敌人爆炸5序列升级6伤害8掉矿9a核
17	42216 53232	   	271.24	橙橙3易伤1伤害	1金币生成2伤害3立即金币4敌人爆炸568易伤7挖青9a核
18	63314 25232	   	271.24	橙橙3易伤1伤害	1挖青2敌人爆炸3伤害468易伤5立即金币7金币生成9a核
19	63314 24232	   	271.14	橙橙3易伤1伤害	1挖青2敌人爆炸3伤害468易伤5立即金币7掉矿9a核
20	14132 43324	 * 	270.75	橙橙1易伤2时间1等级1矿等	1掉矿2毒液对毒3敌人爆炸45时间6等级7矿等8a核9易伤
21	14232 43324	   	270.75	橙橙1易伤2时间1等级1矿等	1掉矿2毒液对毒3基地爆炸45时间6等级7矿等8a核9易伤
22	46323 62232	   	268.89	橙橙2易伤1等级2攻速	1金币生成28易伤36攻速4低血量敌人5等级7随机矿9a核
23	16323 62232	   	268.79	橙橙2易伤1等级2攻速	1掉矿28易伤36攻速4低血量敌人5等级7随机矿9a核
24	62343 15232	   	268.59	橙橙2易伤1等级2攻速	1挖青23攻速45挖尘6等级78易伤9a核
