0	Index      	 *	Score 	Summary	Detail	
1	46252 32111	 * 	281.18	橙橙2易伤2等级1矿等	17易伤2双倍矿3最后敌人4挖青57等级67风暴减费7序列升级8矿等9a核
2	46212 32111	   	270.95	橙橙2易伤1等级1矿等	17易伤2双倍矿37最后敌人4敌人爆炸5等级67风暴减费7序列升级8矿等9a核
3	46512 21211	   	268.99	橙橙2易伤1等级1时间	17易伤2双倍矿3时间4敌人爆炸5等级6基地爆炸8金币生成9a核
4	46512 23311	   	268.99	橙橙2易伤1等级1时间	18易伤2双倍矿3时间4敌人爆炸5等级6基地爆炸7金币生成9a核
5	46512 21111	   	268.89	橙橙2易伤1等级1时间	17易伤2双倍矿3时间4敌人爆炸5等级6基地爆炸8技能点9a核
6	46252 32211	   	265.58	橙橙2易伤2等级	17易伤2双倍矿3最后敌人4挖青57等级67风暴减费7序列升级8金币生成9a核
7	41472 12113	 * 	263.19	橙2易伤3伤害2等级1矿等1时间	19易伤2低血量敌人3加一49等级5时间6矿等7核89a伤害9序列升级
8	52126 13125	 * 	262.75	橙橙1易伤1等级1伤害1时间	1伤害2双倍秒伤3时间4低血量敌人5易伤6金币生成7a核8等级9敌人爆炸
9	52136 13125	   	262.75	橙橙1易伤1等级1伤害1时间	1伤害2双倍秒伤3时间4最后敌人5易伤6金币生成7a核8等级9敌人爆炸
10	52126 33125	   	262.65	橙橙1易伤1等级1伤害1时间	1伤害2双倍秒伤3时间4低血量敌人5易伤6掉矿7a核8等级9敌人爆炸
11	52136 33125	   	262.65	橙橙1易伤1等级1伤害1时间	1伤害2双倍秒伤3时间4最后敌人5易伤6掉矿7a核8等级9敌人爆炸
12	54222 11612	 * 	260.14	橙2易伤3伤害2等级2时间1技能	137伤害2技能37序列升级4低血量敌人57时间67等级8a易伤9核
13	54232 11612	   	260.14	橙2易伤3伤害2等级2时间1技能	137伤害2技能37序列升级4最后敌人57时间67等级8a易伤9核
14	46224 32111	   	258.29	橙橙2易伤1矿等1时间	17易伤2双倍矿37最后敌人4掉矿5时间67风暴减费7序列升级8矿等9a核
15	41622 15311	   	258.19	橙橙2易伤1矿等1时间	17易伤2低血量敌人3技能点4敌人爆炸5时间6矿等8火球减费9a核
16	46312 31111	 * 	256.94	橙橙1易伤2矿等1等级	1易伤2双倍矿3基地爆炸4敌人爆炸5等级67矿等8雷电减费9a核
17	46352 31111	   	256.94	橙橙1易伤2矿等1等级	1易伤2双倍矿3基地爆炸4低血量敌人5等级67矿等8雷电减费9a核
18	46212 21211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6基地爆炸8金币生成9a核
19	46212 21511	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6基地爆炸8随机矿9a核
20	46212 32211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿37最后敌人4敌人爆炸5等级67风暴减费7序列升级8金币生成9a核
21	46212 32511	   	255.34	橙橙2易伤1等级	17易伤2双倍矿37最后敌人4敌人爆炸5等级67风暴减费7序列升级8随机矿9a核
22	46212 51211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6低血量敌人8金币生成9a核
23	46312 51211	   	255.34	橙橙2易伤1等级	17易伤2双倍矿3基地爆炸4敌人爆炸5等级6最后敌人8金币生成9a核
24	46212 21111	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6基地爆炸8技能点9a核
25	46212 51111	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4敌人爆炸5等级6低血量敌人8技能点9a核
26	46252 21211	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4挖青5等级6基地爆炸8金币生成9a核
27	46312 51111	   	255.24	橙橙2易伤1等级	17易伤2双倍矿3基地爆炸4敌人爆炸5等级6最后敌人8技能点9a核
28	41632 21311	 * 	255.14	橙橙2易伤2时间	17易伤2低血量敌人3技能点45时间6基地爆炸8随机矿9a核
29	41632 21611	   	255.14	橙橙2易伤2时间	17易伤2低血量敌人3技能点45时间6基地爆炸8金币生成9a核
30	41632 51311	   	255.14	橙橙2易伤2时间	17易伤2低血量敌人3技能点45时间6最后敌人8随机矿9a核
31	42633 21311	   	255.14	橙橙2易伤2时间	17易伤24时间3技能点5低血量敌人6基地爆炸8随机矿9a核
32	42633 21611	   	255.14	橙橙2易伤2时间	17易伤24时间3技能点5低血量敌人6基地爆炸8金币生成9a核
33	42633 51311	   	255.14	橙橙2易伤2时间	17易伤24时间3技能点5低血量敌人6最后敌人8随机矿9a核
34	46252 21111	   	255.14	橙橙2易伤1等级	17易伤2双倍矿3最后敌人4挖青5等级6基地爆炸8技能点9a核
35	12232 22661	   	252.60	橙橙1易伤1伤害1导弹对毒1全技能1核弹	1赏金邻近2双倍秒伤3易伤4敌人爆炸5导弹对毒6a核7核弹8全技能9伤害
36	22232 22661	   	252.60	橙橙1易伤1伤害1导弹对毒1全技能1核弹	1赏金塔2双倍秒伤3易伤4敌人爆炸5导弹对毒6a核7核弹8全技能9伤害
