0	Index      	 *	Score 	Summary	Detail	
1	23132 53524	 * 	268.89	橙橙2易伤1等级1时间	1随机技能2头目3基地爆炸4a易伤5双倍秒伤67核8等级9时间
2	23132 53261	   	255.24	橙橙2易伤1等级	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9雷电a等级
3	23132 53534	   	255.24	橙橙2易伤1等级	1随机技能2头目3基地爆炸4a易伤5双倍秒伤67核8等级9低血量敌人
4	23132 53521	 * 	255.14	橙橙1易伤2时间1等级	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9a时间
5	43752 21344	   	255.04	橙橙2易伤1等级	1低血量敌人2加一36易伤4防空对愈5雷电减费7等级8平台9a核
6	43772 21344	   	255.04	橙橙2易伤1等级	1低血量敌人2加一36易伤4多重对甲5雷电减费7等级8平台9a核
7	23132 53262	 * 	251.38	橙橙3易伤	1a随机技能2头目3基地爆炸48a易伤5双倍秒伤67核9a雷电a序列升级
8	12324 64175	   	249.43	橙橙2易伤1全技能	1攻速2策反3挖尘4加一5全技能6双倍秒伤79核8a易伤
9	12324 64176	   	249.43	橙橙1易伤1等级1全技能	1攻速2策反3挖尘4加一5全技能6双倍秒伤79核8易伤a等级
10	16311 25225	 * 	248.43	紫橙2易伤1等级1伤害	1攻速2随机技能3等级47核5基地爆炸6a易伤8金币生成9伤害
11	66512 31113	 * 	245.49	橙3易伤2伤害1等级1矿等	1挖青25a易伤3平台4等级67伤害8矿等9核
12	43614 42454	 * 	245.41	紫橙2易伤2等级1时间	17低血量敌人2加一3平台47等级5a核67易伤7序列升级8时间9狙击对毒
13	23132 53211	   	242.69	橙橙2易伤1时间	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9时间a最后敌人
14	23132 53213	   	242.69	橙橙2易伤1时间	1随机技能2头目3a基地爆炸48易伤5双倍秒伤67核9时间
15	23132 53215	   	242.69	橙橙2易伤1时间	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9时间a随机矿
16	23132 53265	   	242.69	橙橙2易伤1技能	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9雷电a技能
17	23132 53324	   	242.69	橙橙2易伤1时间	1随机技能2头目3基地爆炸4a易伤5双倍秒伤67核8随机矿9时间
18	23132 53623	   	242.69	橙橙2易伤1时间	1随机技能2头目3基地爆炸4a易伤5双倍秒伤67核8寒冰对冰9时间
19	23132 53511	   	242.69	橙橙1易伤1等级1暴击	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9平台a暴击
20	23132 53522	   	242.69	橙橙1易伤1等级1时间	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9时间a平台
21	23132 53523	   	242.69	橙橙1易伤1等级1时间	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9时间a双倍矿
22	23132 53525	   	242.69	橙橙1易伤1等级1时间	1a随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9时间
23	23132 53531	   	242.69	橙橙1易伤1等级1时间	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9低血量敌人a时间
24	23132 53541	   	242.69	橙橙1易伤1等级1时间	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9敌人爆炸a时间
25	23132 53212	   	242.59	橙橙2易伤1时间1卖塔	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9时间a卖塔
26	23132 53216	   	242.59	橙橙2易伤1时间	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9时间a激光对愈
27	23132 53222	   	242.59	橙橙2易伤1技能	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9多重对甲a技能
28	23132 53232	   	242.59	橙橙2易伤1技能	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9散射对喷气a技能
29	23132 53252	   	242.59	橙橙2易伤1技能	1随机技能2头目3基地爆炸48易伤5双倍秒伤67核9散射对甲a技能
30	23132 53526	   	242.59	橙橙1易伤1等级1时间	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9时间a赏金塔
31	23132 53561	   	242.59	橙橙1易伤1等级1全技能	1随机技能2头目3基地爆炸4易伤5双倍秒伤67核8等级9赏金邻近a全技能
32	16225 43313	   	242.49	橙橙1易伤1等级2攻速	1a攻速2随机技能3火球减费4立即金币5等级6易伤7爆破对冰89核
33	35561 31211	   	241.56	橙3易伤1等级1伤害1矿等1时间	1平台2时间3掉矿4等级568易伤7伤害9核a矿等
34	13216 13252	 * 	240.32	橙橙2等级1喷火对甲	1攻速2金币生成3火球减费4喷火对甲58等级6a核7低血量敌人9毒液对冰
