0	Index      	 *	Score 	Summary	Detail	
1	56233 35231	 * 	299.87	DCR|DCR|1TLV|1VULN|1AEPOI|1ASPD|1AART	1AME|2VULN|3AART|4DUR|5ASPD|6RMIN|7aRCR|8TLV|9AEPOI
2	34161 12111	 * 	297.60	ACR|DCR|2TLV|1VULN|2ASPD	17BASHEA|27TLV|3AEWIND|4DUST|5aRCR|67ASPD|7BPWR|8MLV|9VULN
3	34161 12611	   	297.60	ACR|DCR|2TLV|1VULN|2ASPD	17BASHEA|27TLV|3AEWIND|4DUST|5aRCR|67ASPD|7BPWR|8CGEN|9VULN
4	16213 62621	 * 	293.09	DCR|DCR|2VULN|1TLV|1AART	1ZMB|26VULN|3DMSP|4AETHUN|5AART|7DUST|8TLV|9aRCR
5	16215 33521	   	293.09	DCR|DCR|2VULN|1TLV|1AART	1ZMB|26VULN|3DMSP|4AETHUN|5TLV|7AART|8DUST|9aRCR
6	16322 13453	 * 	291.75	ACR|DCR|2VULN|1TLV	1ZMB|26VULN|3DUST|4aRCR|5SPLREG|7LIT|8TLV|9DUR
7	24211 12251	 * 	289.54	DCR|DCR|2TLV|1VULN|1AART	1BEXP|2DMSP|3AART|4VULN|5DUST|6aRCR|78TLV|9ZMB
8	16352 47214	 * 	285.64	DCR|4VULN|2TLV|2ZMB	1aZMB|268aVULN|3DUST|4VENTOX|5MBVNT|7RCR|9aTLV|aBPWR
9	16312 47214	   	285.54	DCR|4VULN|2TLV|2ZMB	1aZMB|268aVULN|3DUST|4BASARM|5MBVNT|7RCR|9aTLV|aBPWR
10	16512 47214	   	285.54	DCR|4VULN|2TLV|2ZMB	1aZMB|268aVULN|3SNITOX|4DUST|5MBVNT|7RCR|9aTLV|aBPWR
11	11412 77214	 * 	284.55	DCR|3VULN|2TLV|1AEBURN|2ZMB	1aZMB|2BLASTR|38aVULN|4DUST|5MBVNT|6AEBURN|7RCR|9aTLV|aBPWR
12	16225 26231	   	283.50	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	1ZMB|2VULN|3DMSP|4LHND|5TLV|6aRCR|7AART|8FEWX|9AEPOI
13	16213 52621	 * 	283.30	DCR|DCR|1TLV|1VULN|1AEBURN|1AART	1ZMB|2VULN|3DMSP|4AETHUN|5AART|6AEBURN|7DUST|8TLV|9aRCR
14	24211 12211	   	282.60	DCR|DCR|2TLV|1VULN|1AART	1BEXP|2DMSP|3AART|4VULN|5DUST|6aRCR|78TLV|9AAC
15	16425 21313	   	282.24	DCR|4VULN|2TLV	1ZMB|2789VULN|3CGEN|4ERES|5aTLV|6RCR
16	16322 24143	   	282.09	ACR|DCR|2VULN|1TLV	1ZMB|29VULN|3DUST|4aRCR|5SPLREG|6TLV|7LIT|8BEXP
17	16322 24343	   	282.09	ACR|DCR|2VULN|1TLV	1ZMB|29VULN|3DUST|4aRCR|5SPLREG|6TLV|7LIT|8FEWX
18	16322 22233	 * 	281.95	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7AEPOI|8DUR|9LIT
19	16325 22233	   	281.95	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5MSLREG|6TLV|7AEPOI|8DUR|9LIT
20	16615 21323	   	281.26	DCR|3VULN|2TLV|1AEBURN	1ZMB|278VULN|3AEBURN|4AETHUN|5aTLV|6RCR|9LHND
21	56233 35211	   	279.80	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1AME|2VULN|3AART|4DUR|5ASPD|6RMIN|7aRCR|8TLV|9RCVC
22	16235 21521	   	277.99	DCR|DCR|2VULN|1TLV|1AART|1MSE	1ZMB|27VULN|3DMSP|4MSE|5TLV|6aRCR|8AART|9BEXP
23	24323 65211	   	276.56	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	1BEXP|2DMSP|3TLV|4LHND|5AART|6VULN|7aRCR|8AEPOI|9AAC
24	46211 12211	   	276.36	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	1ERES|2VULN|3AART|4TLV|5DUST|6aRCR|7AME|8AEPOI|9AAC
25	46211 25211	   	276.36	DCR|DCR|1TLV|1VULN|1AEBURN|1AART	1ERES|2VULN|3AART|4TLV|5DUST|6CGEN|7aRCR|8AEBURN|9AAC
26	46231 12211	   	276.36	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	1ERES|2VULN|3AART|4AME|5DUST|6aRCR|7TLV|8AEPOI|9AAC
27	56261 12211	   	276.36	DCR|DCR|1TLV|1VULN|1AEPOI|1AART	1AME|2VULN|3AART|4ERES|5DUST|6aRCR|7TLV|8AEPOI|9AAC
28	16615 21311	 * 	276.10	DCR|4VULN|1TLV|1AEBURN	1ZMB|2789VULN|3AEBURN|4AETHUN|5TLV|6RCR|aCGEN
29	16615 21312	   	276.10	DCR|4VULN|1TLV|1AEBURN	1ZMB|2789VULN|3AEBURN|4AETHUN|5TLV|6RCR|aFEWX
30	16615 21313	   	276.00	DCR|4VULN|1TLV|1AEBURN|1MSE	1ZMB|2789VULN|3AEBURN|4AETHUN|5TLV|6RCR|aMSE
31	12461 44331	   	272.89	DCR|DCR|1TLV|1VULN|1AART	1ZMB|2LIT|3VULN|4DLOT|5TLV|6MBVNT|79RCR|8AART|aDUR
32	46222 31116	 * 	272.61	ACR|DCR|3VULN|1AEBURN|1AART	15ERES|257VULN|3AART|4aRCR|5BPWR|6BEXP|8AAC|9AEBURN
33	16322 22431	   	272.29	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7AEPOI|8RCVC|9AME
34	16322 22533	   	272.29	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7AEPOI|8FEWX|9LIT
35	16322 24123	 * 	272.29	ACR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7LIT|8BEXP|9AEBURN
36	16322 24163	   	272.29	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7LIT|8BEXP|9AEPOI
37	16322 24323	   	272.29	ACR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7LIT|8FEWX|9AEBURN
38	16322 24363	   	272.29	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7LIT|8FEWX|9AEPOI
39	16325 22431	   	272.29	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5MSLREG|6TLV|7AEPOI|8RCVC|9AME
40	16325 22533	   	272.29	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5MSLREG|6TLV|7AEPOI|8FEWX|9LIT
41	16325 24123	   	272.29	ACR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2VULN|3DUST|4aRCR|5MSLREG|6TLV|7LIT|8BEXP|9AEBURN
42	16325 24323	   	272.29	ACR|DCR|1TLV|1VULN|1AEBURN	1ZMB|2VULN|3DUST|4aRCR|5MSLREG|6TLV|7LIT|8FEWX|9AEBURN
43	16322 22421	   	272.19	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5SPLREG|6TLV|7AEPOI|8RCVC|9ERES
44	16325 22421	   	272.19	ACR|DCR|1TLV|1VULN|1AEPOI	1ZMB|2VULN|3DUST|4aRCR|5MSLREG|6TLV|7AEPOI|8RCVC|9ERES
45	32124 23453	 * 	271.07	DCR|3TLV|1VULN|3ASPD|1AEPOI	19aBASHEA|2CANHEL|39aASPD|4VULN|5AEPOI|6RCR|7BELT|89aTLV|9aBPWR
46	16325 11213	 * 	270.75	ACR|3VULN|2TLV	1ZMB|268VULN|3DUST|4RCR|5MSLREG|7DUR|9aTLV
47	24211 35621	   	270.04	DCR|DCR|1TLV|1VULN|1ASPD|1AART	1BEXP|26DMSP|3AART|4VULN|5DUST|7ASPD|8TLV|9aRCR
