0	Index      	 *	Score 	Summary	Detail	
1	23661 53323	 * 	309.83	DCR|DCR|2TLV|2ASPD|1DMG|1AEPOI	1AEPOI|2DMG|34ASPD|5LHND|6DUR|7aRCR|89TLV
2	15336 12323	 * 	308.26	ACR|DCR|2TLV|2DMG|1AEFBLL	1aRCR|2ZMB|3LWND|45DMG|6AEFBLL|7DUR|89TLV
3	15336 13323	   	298.60	ACR|DCR|2TLV|2DMG|1AEFBLL	1aRCR|2ZMB|3LWND|45DMG|6AEFBLL|7LHND|89TLV
4	15336 16323	   	298.60	ACR|DCR|2TLV|2DMG|1AEFBLL	1aRCR|2ZMB|3LWND|45DMG|6AEFBLL|7FEWX|89TLV
5	23631 53323	   	297.38	DCR|DCR|2TLV|1AEFBLL|1DMG|1AEPOI|1ASPD	1AEPOI|2DMG|3ASPD|4AEFBLL|5LHND|6DUR|7aRCR|89TLV
6	23636 43323	   	297.38	DCR|DCR|2TLV|1AEFBLL|1DMG|1AEPOI|1ASPD	1AEPOI|2DMG|3ASPD|4AEFBLL|5DUR|6LHND|7aRCR|89TLV
7	15216 13323	   	290.57	ACR|DCR|2TLV|1DMG|1AEPOI	1aRCR|2ZMB|3AEWIND|4AEPOI|5DMG|6DUR|7BEXP|89TLV
8	15216 16323	   	290.57	ACR|DCR|2TLV|1DMG|1AEPOI	1aRCR|2ZMB|3AEWIND|4AEPOI|5DMG|6DUR|7FEWX|89TLV
9	15216 62323	   	290.47	ACR|DCR|2TLV|1DMG|1AEPOI	1aRCR|2ZMB|3AEWIND|4AEPOI|5DMG|6DUST|7DUR|89TLV
10	12115 62241	 * 	288.87	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2BEXP|35CGEN|4DUR|6CDMG|8AEPOI|9VULN|aTLV
11	12125 62241	   	288.87	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|24BEXP|3CGEN|5DUR|6CDMG|8AEPOI|9VULN|aTLV
12	13113 62241	   	288.87	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|25LWND|3CGEN|4DUR|6CDMG|8AEPOI|9VULN|aTLV
13	13115 62241	   	288.87	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2LWND|35CGEN|4DUR|6CDMG|8AEPOI|9VULN|aTLV
14	12116 62241	   	288.86	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2BEXP|36CGEN|4DUR|5CDMG|8AEPOI|9VULN|aTLV
15	13116 62241	   	288.86	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2LWND|36CGEN|4DUR|5CDMG|8AEPOI|9VULN|aTLV
16	11115 62241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2DUST|35CGEN|4DUR|6CDMG|8AEPOI|9VULN|aTLV
17	11116 62241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2DUST|36CGEN|4DUR|5CDMG|8AEPOI|9VULN|aTLV
18	12111 62241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2BEXP|3CGEN|4DUR|5AEWIND|6CDMG|8AEPOI|9VULN|aTLV
19	12116 32241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2BEXP|3CGEN|4DUR|5CDMG|6AEFRZ|8AEPOI|9VULN|aTLV
20	13111 62241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2LWND|3CGEN|4DUR|5AEWIND|6CDMG|8AEPOI|9VULN|aTLV
