0	Index      	 *	Score 	Summary	Detail	
1	51213 35115	 * 	309.22	DCR|4VULN|3TLV|3ZMB	19aZMB|2MLV|39aTLV|4CGEN|5AEFRZ|689aVULN|7RCR|9aBPWR
2	21213 35115	 * 	300.62	DCR|3VULN|2TLV|2ASPD|1DMG	19ASPD|2MLV|39TLV|4CGEN|5AEFRZ|689VULN|7RCR|9BPWR|aDMG
3	21243 35115	   	300.52	DCR|3VULN|2TLV|2ASPD|1DMG	19ASPD|2MLV|39TLV|4ERES|5AEFRZ|689VULN|7RCR|9BPWR|aDMG
4	21213 35113	   	294.21	DCR|3VULN|2TLV|2ASPD|1CDMG	19ASPD|2MLV|39TLV|4CGEN|5AEFRZ|689VULN|7RCR|9BPWR|aCDMG
5	21243 35113	   	294.11	DCR|3VULN|2TLV|2ASPD|1CDMG	19ASPD|2MLV|39TLV|4ERES|5AEFRZ|689VULN|7RCR|9BPWR|aCDMG
6	21213 35114	 * 	292.00	DCR|3VULN|2TLV|3ASPD	19aASPD|2MLV|39TLV|4CGEN|5AEFRZ|689VULN|7RCR|9BPWR
7	21243 35114	   	291.90	DCR|3VULN|2TLV|3ASPD	19aASPD|2MLV|39TLV|4ERES|5AEFRZ|689VULN|7RCR|9BPWR
8	21258 44427	 * 	290.12	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aDUR
9	46142 32132	 * 	289.76	ACR|DCR|3VULN|2AART|1DMG	1DUST|29RCR|38aVULN|45AART|6DMG|7RAT
10	21154 35112	   	287.60	DCR|3VULN|2TLV|2ASPD	17ASPD|27MLV|359VULN|4LWND|67TLV|7BPWR|8RAT|aRCR
11	21124 35112	   	287.50	DCR|3VULN|2TLV|2ASPD	17ASPD|27MLV|359VULN|4DUST|67TLV|7BPWR|8RAT|aRCR
12	21258 44426	   	287.40	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aRAT
13	21258 44417	   	285.49	ACR|2TLV|2VULN|2ASPD|1AEPOI	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|78VULN|8BPWR|9AEPOI|aDUR
14	21258 44436	   	285.49	ACR|2TLV|2VULN|2ASPD|1AEPOI	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|78VULN|8BPWR|9DUR|aAEPOI
15	24112 14243	   	284.08	DCR|3VULN|1TLV|2ASPD|1AEFBLL	16ASPD|2LWND|3BELT|4TLV|56aVULN|6BPWR|7AEFBLL|8DUR|9RCR
16	21258 44416	   	282.77	ACR|2TLV|2VULN|2ASPD|1AEPOI	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|78VULN|8BPWR|9AEPOI|aRAT
17	46142 33221	 * 	282.38	ACR|2VULN|1TLV|2DMG|2AART|1AEBURN	17DUST|2RCR|37VULN|45AART|67DMG|7BPWR|8TLV|9MLV|aAEBURN
18	21258 44461	 * 	280.86	ACR|3TLV|2VULN|3ASPD	18aASPD|2MLV|389TLV|4MBVNT|5RCR|6LEGI|78VULN|8BPWR
19	21213 35111	   	280.56	DCR|3VULN|2TLV|2ASPD	19ASPD|2MLV|39TLV|4CGEN|5AEFRZ|689VULN|7RCR|9BPWR|aLWND
20	21258 44422	   	280.46	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aCGEN
21	21258 44423	   	280.46	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aAME
22	21258 44425	   	280.46	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aLWND
23	21213 35112	   	280.46	DCR|3VULN|2TLV|2ASPD	19ASPD|2MLV|39TLV|4CGEN|5AEFRZ|689VULN|7RCR|9BPWR|aSNIHEL
24	21213 35116	   	280.46	DCR|3VULN|2TLV|2ASPD	19ASPD|2MLV|39TLV|4CGEN|5AEFRZ|689VULN|7RCR|9BPWR|aDUST
25	21243 35111	   	280.46	DCR|3VULN|2TLV|2ASPD	19ASPD|2MLV|39TLV|4ERES|5AEFRZ|689VULN|7RCR|9BPWR|aLWND
26	21258 44421	   	280.36	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aAETHUN
27	21258 44424	   	280.36	ACR|3VULN|2TLV|2ASPD	18ASPD|2MLV|38TLV|4MBVNT|5RCR|6LEGI|789VULN|8BPWR|aDUST
28	21243 35112	   	280.36	DCR|3VULN|2TLV|2ASPD	19ASPD|2MLV|39TLV|4ERES|5AEFRZ|689VULN|7RCR|9BPWR|aSNIHEL
29	21243 35116	   	280.36	DCR|3VULN|2TLV|2ASPD	19ASPD|2MLV|39TLV|4ERES|5AEFRZ|689VULN|7RCR|9BPWR|aDUST
30	46131 32232	 * 	279.35	ACR|3VULN|1TLV|2DMG|1CDMG	1DUST|2RCR|348VULN|5MLV|6CDMG|7aDMG|9TLV
31	46136 32232	   	279.35	ACR|3VULN|1TLV|2DMG|1CDMG	1DUST|2RCR|348VULN|5RMIN|6CDMG|7aDMG|9TLV
32	46151 32232	   	279.35	ACR|3VULN|1TLV|2DMG|1CDMG	14DUST|2RCR|348VULN|4BPWR|5MLV|6CDMG|7aDMG|9TLV
33	46133 32232	   	279.25	ACR|3VULN|1TLV|2DMG|1CDMG	1DUST|2RCR|348VULN|5ERES|6CDMG|7aDMG|9TLV
34	46153 32232	   	279.25	ACR|3VULN|1TLV|2DMG|1CDMG	14DUST|2RCR|348VULN|4BPWR|5ERES|6CDMG|7aDMG|9TLV
35	46133 32215	   	279.25	ACR|3VULN|1TLV|2DMG|1CDMG	1DUST|2RCR|348VULN|5ERES|6CDMG|79DMG|aTLV
