0	Index      	 *	Score 	Summary	Detail	
1	11221 52651	 * 	328.55	DCR|DCR|2TLV|2VULN|2CDMG	1DUST|2aTLV|3BEXP|4LHND|5aCDMG|67RCR|8ZMB|9aVULN|aBPWR
2	55315 13231	 * 	324.86	ACR|DCR|2TLV|2VULN|1ASPD	1TSLFST|29RCR|3ASPD|4DUR|57TLV|6LHND|8aVULN
3	33131 21531	   	318.62	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5DUR|6AEBURN|7CANARM|8TLV
4	33131 23531	   	318.62	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5DUR|6AEBURN|7MULFIG|8TLV
5	33131 25431	   	318.62	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5DUR|6AEBURN|7TLV|8CANSTR
6	16431 21531	   	318.52	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1DUST|29RCR|3ASPD|4aVULN|5DUR|6AEBURN|7CANARM|8TLV
7	16431 23531	   	318.52	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1DUST|29RCR|3ASPD|4aVULN|5DUR|6AEBURN|7MULFIG|8TLV
8	33622 61531	 * 	318.05	ACR|DCR|2VULN|1TLV|2ASPD	13ASPD|29RCR|3BPWR|4BEXP|5aVULN|6TLV|7FLTARM|8DUR
9	33332 64111	   	316.00	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2aRCR|3ZMB|4AME|57VULN|6TLV|8DMG|9RMIN
10	33362 44111	   	316.00	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2aRCR|3ZMB|4TLV|57VULN|6MLV|8DMG|9RMIN
11	33362 64111	   	316.00	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1ASPD|2aRCR|3ZMB|4TLV|57VULN|6AME|8DMG|9RMIN
12	66331 21531	   	315.37	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	1LHND|29RCR|3aVULN|4LWND|5DMG|6AEBURN|7CANARM|8TLV
13	66331 23531	   	315.37	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	1LHND|29RCR|3aVULN|4LWND|5DMG|6AEBURN|7MULFIG|8TLV
14	15531 21531	   	315.27	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	1DUST|2aVULN|39RCR|4LWND|5DMG|6AEBURN|7CANARM|8TLV
15	15531 23531	   	315.27	ACR|DCR|2VULN|1TLV|1DMG|1AEBURN	1DUST|2aVULN|39RCR|4LWND|5DMG|6AEBURN|7MULFIG|8TLV
16	33136 21531	   	308.96	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5LWND|6AEBURN|7CANARM|8TLV
17	33136 23531	   	308.96	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5LWND|6AEBURN|7MULFIG|8TLV
18	33136 25431	   	308.96	ACR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5LWND|6AEBURN|7TLV|8CANSTR
19	55315 11231	   	307.70	ACR|DCR|2VULN|1TLV|2DUR|1ASPD	1TSLFST|29RCR|3ASPD|47DUR|5TLV|6LHND|8aVULN
20	33613 53231	 * 	307.26	ACR|DCR|2TLV|1VULN|2ASPD	13ASPD|29RCR|3BPWR|4AIRHEL|5DUR|6MDPS|78TLV|aVULN
21	33614 63231	   	307.26	ACR|DCR|2TLV|1VULN|2ASPD	13ASPD|29RCR|3BPWR|4AIRHEL|5MDPS|6DUR|78TLV|aVULN
22	33351 13355	   	306.11	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2aRCR|3ZMB|4MDPS|5DMG|6BEXP|7TLV|8AEFBLL|9VULN
23	33351 33355	   	306.01	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD	1ASPD|2aRCR|3ZMB|4MDPS|5DMG|6DUST|7TLV|8AEFBLL|9VULN
24	33422 61531	   	305.60	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|29RCR|3RCVC|4BEXP|5aVULN|6TLV|7FLTARM|8DUR
25	11221 52531	   	305.31	DCR|DCR|2TLV|1VULN|2CDMG|1ASPD	18DUST|28TLV|3BEXP|4LHND|58CDMG|67RCR|8BPWR|9ASPD|aVULN
26	11251 52531	   	305.31	DCR|DCR|2TLV|1VULN|2CDMG|1ASPD	18DUST|28TLV|3BEXP|4LWND|58CDMG|67RCR|8BPWR|9ASPD|aVULN
27	33116 53231	   	305.21	ACR|DCR|2TLV|1VULN|1AEPOI|1ASPD	1ASPD|29RCR|3FEWX|4AIRHEL|5AEPOI|6MDPS|78TLV|aVULN
28	33126 53231	   	305.21	ACR|DCR|2TLV|1VULN|1AEPOI|1ASPD	1ASPD|29RCR|3FEWX|4VENICY|5AEPOI|6MDPS|78TLV|aVULN
29	66321 21531	   	304.97	ACR|DCR|2VULN|1TLV|1AEBURN	1LHND|29RCR|3aVULN|4AAC|5DUR|6AEBURN|7CANARM|8TLV
30	66321 23531	   	304.97	ACR|DCR|2VULN|1TLV|1AEBURN	1LHND|29RCR|3aVULN|4AAC|5DUR|6AEBURN|7MULFIG|8TLV
31	15521 21531	   	304.87	ACR|DCR|2VULN|1TLV|1AEBURN	1DUST|2aVULN|39RCR|4AAC|5DUR|6AEBURN|7CANARM|8TLV
32	15521 23531	   	304.87	ACR|DCR|2VULN|1TLV|1AEBURN	1DUST|2aVULN|39RCR|4AAC|5DUR|6AEBURN|7MULFIG|8TLV
33	33364 16333	 * 	304.84	ACR|DCR|2TLV|2DMG|2ASPD	1aASPD|29RCR|3ZMB|4aTLV|58DMG|6MLV|7aTSLFST|aBPWR
34	33363 56333	   	304.74	ACR|DCR|2TLV|2DMG|2ASPD	1aASPD|29RCR|3ZMB|4aTLV|5ERES|68DMG|7aTSLFST|aBPWR
35	33362 13534	 * 	304.44	ACR|3TLV|3VULN|2ASPD	1aASPD|2RCR|36ZMB|49aTLV|58aVULN|7MDPS|aBPWR
36	33131 21535	   	302.42	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1CDMG	1ASPD|29RCR|3FEWX|4VULN|5DUR|6AEBURN|7CANARM|8TLV|aCDMG
37	33131 23535	   	302.42	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1CDMG	1ASPD|29RCR|3FEWX|4VULN|5DUR|6AEBURN|7MULFIG|8TLV|aCDMG
38	33131 25435	   	302.42	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1CDMG	1ASPD|29RCR|3FEWX|4VULN|5DUR|6AEBURN|7TLV|8CANSTR|aCDMG
39	33131 61531	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5DUR|6DMSP|7CANARM|8TLV
40	33131 63531	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5DUR|6DMSP|7MULFIG|8TLV
41	33131 65431	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	1ASPD|29RCR|3FEWX|4aVULN|5DUR|6DMSP|7TLV|8CANSTR
