0	Index      	 *	Score 	Summary	Detail	
1	62211 62621	 * 	321.51	ACR|DCR|2TLV|2VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8BELT|9aVULN
2	62211 62114	 * 	305.31	ACR|DCR|3TLV|1VULN|1AEBURN	13aTLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8LIT|9VULN
3	62211 63512	   	301.32	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|5aRCR|6AEBURN|7BELT|8DUR|9VULN
4	62163 21362	 * 	299.74	DCR|DCR|3VULN|1TLV	1TLV|2AIRHEA|3ERES|458VULN|6BELT|7LEGI|9aRCR
5	62211 62622	   	298.60	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8BELT|9VULN|aZMB
6	12251 62621	   	295.31	ACR|DCR|2VULN|1TLV|1AEBURN	14CGEN|2AIRHEA|3TLV|57RCR|6AEBURN|8BELT|9aVULN
7	66322 13362	   	295.31	DCR|DCR|2VULN|1TLV|1AEBURN	1TLV|2CGEN|3BELT|4AEBURN|58VULN|6MGNSTR|7LWND|9aRCR
8	62163 23532	   	295.21	DCR|DCR|2VULN|1TLV|1AEBURN	1TLV|2AIRHEA|3ERES|45VULN|6BELT|7aRCR|8AEBURN|9LWND
9	66322 11362	   	295.21	DCR|DCR|2VULN|1TLV|1AEBURN	1TLV|2CGEN|3BELT|4AEBURN|58VULN|6MGNSTR|7LEGI|9aRCR
10	24533 13162	   	293.95	DCR|DCR|2VULN|1TLV|2DUR	14DUR|2BELT|37VULN|5CGEN|6SNIFST|8TLV|9aRCR
11	42134 23135	   	292.36	DCR|DCR|1TLV|1VULN|1DMG|2CDMG	14CDMG|2BELT|3MSLREG|5VULN|6TLV|7aRCR|8RAT|9DMG
12	42335 13135	   	292.36	DCR|DCR|1TLV|1VULN|1DMG|2CDMG	16CDMG|2BELT|3TLV|4MULFIG|5VULN|7aRCR|8RAT|9DMG
13	12251 62114	   	291.66	ACR|DCR|2TLV|1VULN|1AEBURN	14CGEN|2AIRHEA|3aTLV|57RCR|6AEBURN|8LIT|9VULN
14	62211 62111	   	291.66	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8LIT|9VULN|aFEWX
15	62211 62115	   	291.66	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8LIT|9VULN|aAME
16	62211 62116	   	291.66	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8aLIT|9VULN
17	62211 62623	   	291.66	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4aCGEN|57RCR|6AEBURN|8BELT|9VULN
18	62211 62112	   	291.56	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8LIT|9VULN|aMBVNT
19	62211 62113	   	291.56	ACR|DCR|2TLV|1VULN|1AEBURN	13TLV|2AIRHEA|4CGEN|57RCR|6AEBURN|8LIT|9VULN|aERES
20	62251 23512	 * 	291.56	DCR|DCR|2TLV|1VULN|1AEPOI	13TLV|2AIRHEA|4LWND|5ERES|6BELT|7aRCR|8AEPOI|9VULN
