0	Index      	 *	Score 	Summary	Detail	
1	23427 13847	 * 	324.01	ACR|DCR|2TLV|1VULN|1AEPOI|2DUR|1CDMG	1MBVNT|29DUR|3AEPOI|4CDMG|5aRCR|67TLV|8VULN
2	23427 13827	   	314.97	ACR|DCR|2TLV|1VULN|1AEPOI|1CDMG	1MBVNT|2DUR|3AEPOI|4CDMG|5aRCR|67TLV|8VULN|9DMSP
3	16411 43232	 * 	314.11	DCR|DCR|2VULN|1TLV|1AEPOI|2DUR	1BEXP|29DUR|3AEPOI|4aVULN|5TLV|6LWND|78RCR
4	16411 53232	   	314.11	DCR|DCR|2VULN|1TLV|1AEPOI|2DUR	1BEXP|29DUR|3AEPOI|4aVULN|5TLV|6LHND|78RCR
5	43411 53232	   	314.01	DCR|DCR|2VULN|1TLV|1AEPOI|2DUR	19DUR|2LWND|3AEPOI|4aVULN|5TLV|6DUST|78RCR
6	23411 26547	 * 	310.12	DCR|DCR|2TLV|1VULN|1AEPOI|2DUR|1SELL	1MBVNT|29DUR|3AEPOI|4VULN|57TLV|6aRCR|8SELL
7	15411 13161	   	308.86	DCR|DCR|2VULN|1TLV|1AEPOI|1ASPD	1BEXP|2DUST|3AEPOI|4aVULN|5TLV|6ASPD|79RCR|8BASICY
8	23127 13847	   	303.95	ACR|DCR|2TLV|1VULN|2DUR|1CDMG	1MBVNT|29DUR|3RCVC|4CDMG|5aRCR|67TLV|8VULN
9	44211 43233	 * 	302.55	DCR|DCR|2VULN|1TLV|3DUR	139DUR|2LHND|4aVULN|5TLV|6LWND|78RCR
10	46231 43233	   	302.55	DCR|DCR|2VULN|1TLV|3DUR	129DUR|3aVULN|4BEXP|5TLV|6LWND|78RCR
11	46231 53233	   	302.55	DCR|DCR|2VULN|1TLV|3DUR	129DUR|3aVULN|4BEXP|5TLV|6LHND|78RCR
12	43211 53233	   	302.45	DCR|DCR|2VULN|1TLV|3DUR	139DUR|2LWND|4aVULN|5TLV|6DUST|78RCR
13	66211 53233	   	302.45	DCR|DCR|2VULN|1TLV|3DUR	1LWND|239DUR|4aVULN|5TLV|6DUST|78RCR
14	23411 26527	 * 	301.07	DCR|DCR|2TLV|1VULN|1AEPOI|1SELL	1MBVNT|2DUR|3AEPOI|4VULN|57TLV|6aRCR|8SELL|9DMSP
15	23411 12637	 * 	297.63	DCR|3VULN|2TLV|1AEPOI|1ASPD	1MBVNT|2DUR|3AEPOI|47aVULN|59TLV|6ASPD|8RCR
16	23411 84637	   	297.63	DCR|3VULN|2TLV|1AEPOI|1ASPD	1MBVNT|2DUR|3AEPOI|46aVULN|59TLV|7ASPD|8RCR
17	13411 53262	   	295.31	DCR|DCR|2VULN|1TLV|1AEPOI	19BEXP|2LWND|3AEPOI|4aVULN|5TLV|6DUST|78RCR
18	14411 43232	   	295.28	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1BEXP|2LHND|3AEPOI|4VULN|5TLV|6LWND|78RCR|9DUR|aDMG
19	13411 53252	   	295.21	DCR|DCR|2VULN|1TLV|1AEPOI	1BEXP|2LWND|3AEPOI|4aVULN|5TLV|6DUST|78RCR|9AEWIND
20	13411 53232	   	295.18	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1BEXP|2LWND|3AEPOI|4VULN|5TLV|6DUST|78RCR|9DUR|aDMG
21	15411 43232	   	295.18	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1BEXP|2DUST|3AEPOI|4VULN|5TLV|6LWND|78RCR|9DUR|aDMG
22	15411 53232	   	295.18	DCR|DCR|1TLV|1VULN|1DMG|1AEPOI	1BEXP|2DUST|3AEPOI|4VULN|5TLV|6LHND|78RCR|9DUR|aDMG
23	23411 26816	   	294.98	DCR|3VULN|2TLV|1AEPOI|1AART	1MBVNT|2DUR|3AEPOI|49aVULN|57TLV|6RCR|8AART
24	23127 13827	   	294.91	ACR|DCR|2TLV|1VULN|1CDMG	1MBVNT|2DUR|3RCVC|4CDMG|5aRCR|67TLV|8VULN|9DMSP
25	16111 43232	   	294.05	DCR|DCR|2VULN|1TLV|2DUR	1BEXP|29DUR|3RCVC|4aVULN|5TLV|6LWND|78RCR
26	16111 53232	   	294.05	DCR|DCR|2VULN|1TLV|2DUR	1BEXP|29DUR|3RCVC|4aVULN|5TLV|6LHND|78RCR
27	44111 43232	   	294.05	DCR|DCR|2VULN|1TLV|2DUR	19DUR|2LHND|3RCVC|4aVULN|5TLV|6LWND|78RCR
