0	Index      	 *	Score 	Summary	Detail	
1	12311 12534	 * 	278.01	DCR|DCR|2VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|47VULN|5BBNT|6aRCR|8FEWX|9MDPS
2	24233 44311	 * 	278.01	DCR|DCR|2VULN|1DMG|1AART|1ZMB	1CGEN|2TBNT|3ERES|4AART|5ZMB|67VULN|8DMG|9aRCR
3	34525 31311	 * 	263.92	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TLV|2BBNT|3RCVC|4AART|5ASPD|6CGEN|7VULN|8DMG|9aRCR
4	34125 31311	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TLV|2BBNT|3AELOIC|4AART|5ASPD|6CGEN|7VULN|8DMG|9aRCR
5	34125 51311	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TLV|2BBNT|3AELOIC|4AART|5ASPD|6RMIN|7VULN|8DMG|9aRCR
6	41233 12423	 * 	263.45	DCR|DCR|1VULN|2MLV|1AART	1RMIN|29LWND|3VULN|49MLV|5AART|6MDPS|7aRCR|89BEXP|9BPWR
7	41233 12223	   	263.25	DCR|DCR|1VULN|2MLV|1AART	1RMIN|29LWND|3VULN|49MLV|5AART|6MDPS|7aRCR|89DUST|9BPWR
8	41236 62223	   	263.25	DCR|DCR|1VULN|2MLV|1AART	1RMIN|29LWND|3VULN|49MLV|5MDPS|6AART|7aRCR|89DUST|9BPWR
9	33212 22266	   	262.33	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1TLV|2LWND|3VULN|4SELL|5DUR|6DMG|7aRCR|8CDMG|9TBNT
10	41233 12631	   	261.05	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1ZMB	1RMIN|2LWND|3VULN|4MLV|5AART|6MDPS|7aRCR|8ASPD|9ZMB
11	12132 32323	   	259.69	DCR|DCR|1VULN|1DMG|1AART|1RPLT|1ZMB	1RPLT|2ZMB|3AAC|4TLV|5AART|6aRCR|7CGEN|8VULN|9DMG
12	12422 22224	   	258.37	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3BBNT|4VULN|59DUR|6MDPS|7ASPD|8aRCR
13	12311 11554	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4VULN|5BBNT|6aRCR|7LWND|8FEWX|9DUR
14	12341 11134	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4DUR|5BBNT|6aRCR|7LWND|8LHND|9VULN
15	12341 11534	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4DUR|5BBNT|6aRCR|7LWND|8FEWX|9VULN
16	12341 12144	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4DUR|5BBNT|6aRCR|7VULN|8LHND|9FEWX
17	12341 12344	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4DUR|5BBNT|6aRCR|7VULN|8LWND|9FEWX
18	12351 12154	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4FEWX|5BBNT|6aRCR|7VULN|8LHND|9DUR
19	12351 12354	   	258.34	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4FEWX|5BBNT|6aRCR|7VULN|8LWND|9DUR
20	41413 12423	 * 	258.29	DCR|DCR|2VULN|1AART	1RMIN|29LWND|3ERES|49VULN|5AART|6MDPS|7aRCR|89BEXP|9BPWR
21	41413 12223	   	258.09	DCR|DCR|2VULN|1AART	1RMIN|29LWND|3ERES|49VULN|5AART|6MDPS|7aRCR|89DUST|9BPWR
22	12111 12534	   	257.94	DCR|DCR|2VULN|1RPLT|1ZMB	1RPLT|2ZMB|3AAC|47VULN|5BBNT|6aRCR|8FEWX|9MDPS
23	41233 12433	   	255.41	DCR|DCR|1VULN|2AART|1MLV	1RMIN|2LWND|3VULN|4MLV|59AART|6MDPS|7aRCR|8BEXP
24	41233 12233	   	255.31	DCR|DCR|1VULN|2AART|1MLV	1RMIN|2LWND|3VULN|4MLV|59AART|6MDPS|7aRCR|8DUST
25	41236 62233	   	255.31	DCR|DCR|1VULN|2AART|1MLV	1RMIN|2LWND|3VULN|4MLV|5MDPS|69AART|7aRCR|8DUST
26	33215 22266	   	253.92	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1TLV|2LWND|3VULN|4SELL|5DUST|6DMG|7aRCR|8CDMG|9TBNT
27	12422 22214	   	251.82	DCR|DCR|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3BBNT|4VULN|5DUR|6MDPS|7ASPD|8aRCR|9RCVC
28	12422 22234	   	251.82	DCR|DCR|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3BBNT|4VULN|5DUR|6MDPS|7ASPD|8aRCR|9DMSP
29	12311 11144	   	250.03	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4VULN|5BBNT|6aRCR|7LWND|8LHND|9FEWX
30	12351 11134	   	250.03	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4FEWX|5BBNT|6aRCR|7LWND|8LHND|9VULN
31	12355 11134	   	250.03	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4FEWX|5TBNT|6aRCR|7LWND|8LHND|9VULN
32	12311 11344	   	249.93	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1RPLT|2ZMB|3DMG|4VULN|5BBNT|6aRCR|7LWND|8LEGI|9FEWX
33	24233 11311	   	249.93	DCR|DCR|1VULN|1DMG|1AART|1ZMB	16CGEN|2TBNT|3ERES|4AART|5ZMB|7VULN|8DMG|9aRCR
34	24233 21311	   	249.93	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1CGEN|2TBNT|3ERES|4AART|5ZMB|6RCVC|7VULN|8DMG|9aRCR
35	24233 42311	   	249.93	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1CGEN|2TBNT|3ERES|4AART|5ZMB|6VULN|7DMSP|8DMG|9aRCR
36	24233 41311	   	249.83	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1CGEN|2TBNT|37ERES|4AART|5ZMB|6VULN|8DMG|9aRCR
37	64122 31311	   	249.83	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1ZMB|2BBNT|3AELOIC|4AART|5ERES|6CGEN|7VULN|8DMG|9aRCR
38	64122 51311	   	249.83	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1ZMB|2BBNT|3AELOIC|4AART|5ERES|6RMIN|7VULN|8DMG|9aRCR
39	12351 12234	   	249.69	DCR|DCR|1VULN|1DMG|1RPLT|2ZMB	1RPLT|28ZMB|3DMG|4FEWX|5BBNT|6aRCR|7VULN|9MDPS
40	12355 12234	   	249.69	DCR|DCR|1VULN|1DMG|1RPLT|2ZMB	1RPLT|28ZMB|3DMG|4FEWX|5TBNT|6aRCR|7VULN|9MDPS
41	15213 15115	 * 	249.07	DCR|3VULN|1DMG|1ASPD|1CDMG|1RPLT	1RPLT|2LWND|39aVULN|4DUR|5CDMG|6ASPD|7RCR|8DMG
42	23112 11366	   	248.83	DCR|DCR|2VULN	18CGEN|256LIT|38VULN|48LHND|7aRCR|8BPWR|9FEWX
43	23222 11366	   	248.83	DCR|DCR|2VULN	18CGEN|256LIT|38LWND|48VULN|7aRCR|8BPWR|9FEWX
44	15222 63433	 * 	248.78	DCR|3VULN|2DMG|1MLV|1RPLT	1RPLT|28LWND|348VULN|5LHND|6MLV|78DMG|8BPWR|9FEWX|aRCR
45	23112 11166	   	248.63	DCR|DCR|2VULN	1CGEN|256LIT|38VULN|4LHND|7aRCR|9FEWX
46	23222 11166	   	248.63	DCR|DCR|2VULN	1CGEN|256LIT|3LWND|48VULN|7aRCR|9FEWX
47	15512 26333	   	248.08	DCR|DCR|1VULN|1AART|1RPLT	1RPLT|2LWND|3BEXP|4DUR|5LHND|6aRCR|7VULN|8DUST|9AART
