0	Index      	 *	Score 	Summary	Detail	
1	22141 53314	 * 	281.45	DCR|DCR|2VULN|2DMG	1CGEN|2TBNT|3RMIN|47VULN|59DMG|6aRCR|8ERES
2	22141 53114	   	263.96	DCR|DCR|2VULN|1DMG	1CGEN|2TBNT|38RMIN|47VULN|5DMG|6aRCR|9TLV
3	45232 22383	   	263.76	DCR|DCR|2VULN|1DMG	1TSLARM|2AAC|3RMIN|45VULN|69RCR|7DMG|8MBVNT|aBELT
4	45133 22383	   	263.76	DCR|DCR|2VULN|1DMG	14TSLARM|2AAC|34VULN|4BPWR|5RMIN|69RCR|7DMG|8MBVNT|aBELT
5	45232 22381	   	263.66	DCR|DCR|2VULN|1DMG|1MSE	1TSLARM|2AAC|3RMIN|45VULN|69RCR|7DMG|8MBVNT|aMSE
6	45232 22382	   	263.66	DCR|DCR|2VULN|1DMG	1TSLARM|2AAC|3RMIN|45VULN|69RCR|7DMG|8MBVNT|aCANARM
7	45232 22384	   	263.66	DCR|DCR|2VULN|1DMG|1ZMB	1TSLARM|2AAC|3RMIN|45VULN|69RCR|7DMG|8MBVNT|aZMB
8	45133 22381	   	263.66	DCR|DCR|2VULN|1DMG|1MSE	14TSLARM|2AAC|34VULN|4BPWR|5RMIN|69RCR|7DMG|8MBVNT|aMSE
9	45133 22382	   	263.66	DCR|DCR|2VULN|1DMG	14TSLARM|2AAC|34VULN|4BPWR|5RMIN|69RCR|7DMG|8MBVNT|aCANARM
10	45133 22384	   	263.66	DCR|DCR|2VULN|1DMG|1ZMB	14TSLARM|2AAC|34VULN|4BPWR|5RMIN|69RCR|7DMG|8MBVNT|aZMB
11	24212 22154	   	263.63	DCR|DCR|1VULN|1MLV|2DUR|1ASPD	1CGEN|2ASPD|35DUR|4MLV|6RMIN|7aRCR|8MDPS|9VULN
12	16112 62234	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2RCVC|3DUST|4MLV|5DUR|6ASPD|7aRCR|8BEXP|9VULN
13	23315 12154	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1CGEN|2AELOIC|3ASPD|4MLV|5RMIN|6DUR|7aRCR|8MDPS|9VULN
14	13322 32154	   	255.24	DCR|DCR|2DMG|1VULN	1LWND|2CGEN|3RCVC|46DMG|5LHND|7aRCR|8MDPS|9VULN
15	33324 32154	   	255.24	DCR|DCR|2DMG|1VULN	1LHND|2CGEN|3RCVC|46DMG|5LWND|7aRCR|8MDPS|9VULN
16	11321 32134	   	255.14	DCR|DCR|2DMG|1VULN	1LWND|2ERES|3RCVC|46DMG|5FEWX|7aRCR|8MDPS|9VULN
17	11322 32134	   	255.14	DCR|DCR|2DMG|1VULN	1LWND|2ERES|3RCVC|46DMG|5LHND|7aRCR|8MDPS|9VULN
18	13122 32154	   	255.14	DCR|DCR|2DMG|1VULN	1LWND|2CGEN|3AELOIC|46DMG|5LHND|7aRCR|8MDPS|9VULN
19	23122 32154	   	255.14	DCR|DCR|2DMG|1VULN	1CGEN|2AELOIC|3LWND|46DMG|5LHND|7aRCR|8MDPS|9VULN
20	31324 32134	   	255.14	DCR|DCR|2DMG|1VULN	1LHND|2ERES|3RCVC|46DMG|5LWND|7aRCR|8MDPS|9VULN
21	33124 32154	   	255.14	DCR|DCR|2DMG|1VULN	1LHND|2CGEN|3AELOIC|46DMG|5LWND|7aRCR|8MDPS|9VULN
22	11121 32134	   	255.04	DCR|DCR|2DMG|1VULN	1LWND|2ERES|3AELOIC|46DMG|5FEWX|7aRCR|8MDPS|9VULN
23	11122 32134	   	255.04	DCR|DCR|2DMG|1VULN	1LWND|2ERES|3AELOIC|46DMG|5LHND|7aRCR|8MDPS|9VULN
24	31124 32134	   	255.04	DCR|DCR|2DMG|1VULN	1LHND|2ERES|3AELOIC|46DMG|5LWND|7aRCR|8MDPS|9VULN
25	63421 13432	   	254.21	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1SELL	1SELL|2LEGI|3AART|4CGEN|5TSLFST|68RCR|7CDMG|9ASPD|aVULN
26	23524 33314	 * 	252.54	ACR|DCR|2VULN|2DMG	1CGEN|2AELOIC|3aRCR|4FEWX|57VULN|6TBNT|89DMG
27	23536 33314	   	252.54	ACR|DCR|2VULN|2DMG	1CGEN|2AELOIC|3aRCR|4BBNT|5LWND|67VULN|89DMG
28	23354 12134	 * 	251.90	DCR|DCR|1VULN|2ASPD	1CGEN|2AELOIC|34ASPD|5VULN|6DUR|7aRCR|8MDPS|9BEXP
29	23351 12154	   	251.90	DCR|DCR|1VULN|2ASPD	1CGEN|2AELOIC|34ASPD|5LHND|6DUR|7aRCR|8MDPS|9VULN
