0	Index      	 *	Score 	Summary	Detail	
1	32474 41425	 * 	306.66	DCR|DCR|2MLV|1VULN|2ASPD|2CDMG	1BELT|2MBVNT|39ASPD|4VULN|5AART|69CDMG|7aRCR|89MLV|9BPWR
2	33325 32334	 * 	300.81	DCR|DCR|2VULN|1DMG|1MLV	1BELT|28VULN|3MLV|4AART|5RPLT|6RCVC|7DMG|9aRCR
3	32574 42335	   	287.17	DCR|DCR|2VULN|1DMG|1CDMG	1BELT|2MBVNT|3CGEN|48VULN|5AART|6CDMG|7DMG|9aRCR
4	32744 42335	   	287.17	DCR|DCR|2VULN|1DMG|1CDMG	1BELT|2MBVNT|38VULN|4CGEN|5AART|6CDMG|7DMG|9aRCR
5	32674 13335	   	287.07	DCR|DCR|2VULN|1DMG|1CDMG	1BELT|2MBVNT|3DMG|47VULN|5CDMG|6ERES|8AART|9aRCR
6	32711 13335	   	287.07	DCR|DCR|2VULN|1DMG|1CDMG	1BELT|2MBVNT|37VULN|4ERES|5DMG|6CDMG|8AART|9aRCR
7	32714 42335	   	287.07	DCR|DCR|2VULN|1DMG|1CDMG	1BELT|2MBVNT|38VULN|4ERES|5AART|6CDMG|7DMG|9aRCR
8	33613 12334	   	283.28	DCR|DCR|2VULN|1DMG	1BELT|28VULN|3RCVC|4DMG|5CGEN|6AART|7RPLT|9aRCR
9	35225 32334	   	283.28	DCR|DCR|2VULN|1DMG	1BELT|2CGEN|38VULN|4AART|5RPLT|6RCVC|7DMG|9aRCR
10	33612 12334	   	283.18	DCR|DCR|2VULN|1DMG	1BELT|28VULN|3RCVC|4DMG|5ERES|6AART|7RPLT|9aRCR
11	32471 12187	 * 	282.44	DCR|DCR|2DMG|1VULN|1ASPD|1CDMG	1BELT|2MBVNT|3ASPD|4VULN|59DMG|6CDMG|7MDPS|8aRCR
12	32335 72373	   	279.10	DCR|DCR|2MLV|1VULN|1DMG	1BELT|2MBVNT|3DUR|4LIT|5VULN|69MLV|7aRCR|8DMG
