0	Index      	 *	Score 	Summary	Detail	
1	11131 16261	 * 	301.13	DCR|DCR|2VULN|2DMG|2RPLT	1aVULN|29DMG|3RMIN|4BELT|57RPLT|68RCR
2	11254 11151	 * 	294.10	DCR|4VULN|2DMG|2MLV	167aVULN|2aDMG|3AART|4MDPS|5RPLT|8aMLV|9RCR|aBPWR
3	11515 13324	   	291.70	DCR|DCR|2VULN|1DMG|1CDMG	17VULN|2DMG|3TSLFST|4CDMG|58ERES|6aRCR|9RPLT
4	11615 13324	   	291.70	DCR|DCR|2VULN|1DMG|1CDMG	17VULN|2DMG|3CANSTR|4CDMG|58ERES|6aRCR|9RPLT
5	35315 13324	   	291.70	DCR|DCR|2VULN|1DMG|1CDMG	1MULARM|2DMG|37VULN|4CDMG|58ERES|6aRCR|9RPLT
6	11232 66161	 * 	291.50	DCR|2VULN|3DMG|2MLV|2CDMG|2DUR	1aVULN|246DMG|3AART|56DUR|6aBPWR|7aCDMG|8aMLV|9RCR
7	15224 13413	   	288.53	DCR|4VULN|2DMG|2MLV|1ASPD	159aVULN|2BELT|3ASPD|4RCVC|69MLV|79DMG|8RCR|9BPWR
8	11511 31563	   	285.78	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1VULN|2DMG|3TSLFST|4CDMG|5RPLT|6BELT|79RCR|8DUR|aASPD
9	11611 31563	   	285.78	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1VULN|2DMG|3CANSTR|4CDMG|5RPLT|6BELT|79RCR|8DUR|aASPD
10	35311 31563	   	285.78	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MULARM|2DMG|3VULN|4CDMG|5RPLT|6BELT|79RCR|8DUR|aASPD
11	11262 51151	   	282.36	DCR|3VULN|2DMG|2MLV	14aVULN|2aDMG|3AART|5DUR|6RPLT|7FEWX|8aMLV|9RCR|aBPWR
12	11323 63526	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	17VULN|2DMG|3AME|4LHND|5ASPD|6LIT|8aRCR|9RMIN
13	13514 21236	   	282.24	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2RMIN|3TSLFST|4CDMG|5TBNT|67RCR|8FEWX|aDMG
14	13614 21236	   	282.24	DCR|DCR|2VULN|1DMG|1CDMG	19VULN|2RMIN|3CANSTR|4CDMG|5TBNT|67RCR|8FEWX|aDMG
15	11313 63526	   	282.14	DCR|DCR|2VULN|1DMG|1ASPD	17VULN|2DMG|3AME|4LEGI|5ASPD|6LIT|8aRCR|9RMIN
16	11323 63536	   	282.14	DCR|DCR|2VULN|1DMG|1ASPD	17VULN|2DMG|3AME|4LHND|5ASPD|6LIT|8aRCR|9ERES
17	11313 63536	   	282.04	DCR|DCR|2VULN|1DMG|1ASPD	17VULN|2DMG|3AME|4LEGI|5ASPD|6LIT|8aRCR|9ERES
18	32314 21426	   	282.04	DCR|DCR|2VULN|1DMG|1CDMG	1MULARM|2ERES|39VULN|4CDMG|5TBNT|67RCR|8MDPS|aDMG
19	11131 16265	   	281.36	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|29DMG|3RMIN|4BELT|57RPLT|68RCR|aDUR
20	32332 61244	 * 	280.20	DCR|DCR|3VULN	1MULARM|2ERES|34aVULN|57BELT|69RCR|8DUR
21	13514 21423	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	19VULN|2RMIN|3TSLFST|4CDMG|5TBNT|67RCR|8MDPS|aMLV
22	13614 21423	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	19VULN|2RMIN|3CANSTR|4CDMG|5TBNT|67RCR|8MDPS|aMLV
23	11251 51131	   	277.94	DCR|3VULN|2DMG|2MLV|1CDMG	17aVULN|2aDMG|3AART|4MDPS|5LWND|6CDMG|8aMLV|9RCR|aBPWR
24	11253 51131	   	277.84	DCR|3VULN|2DMG|2MLV|1CDMG	17aVULN|2aDMG|3AART|4MDPS|5DUST|6CDMG|8aMLV|9RCR|aBPWR
25	11511 31263	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1VULN|2DMG|3TSLFST|4CDMG|5RPLT|6BELT|79RCR|8LWND|aASPD
26	11611 31263	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1VULN|2DMG|3CANSTR|4CDMG|5RPLT|6BELT|79RCR|8LWND|aASPD
27	35311 31263	   	277.47	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MULARM|2DMG|3VULN|4CDMG|5RPLT|6BELT|79RCR|8LWND|aASPD
28	11145 23214	   	276.90	DCR|DCR|2VULN|1DMG	14VULN|2DMG|3RMIN|5AAC|6DUST|7aRCR|8FRZARM|9DUR
29	51131 12261	 * 	276.48	DCR|DCR|1VULN|2ASPD|1DMG	17ASPD|27LWND|3RMIN|4BELT|5RPLT|68RCR|7BPWR|9DMG|aVULN
30	41143 23214	   	275.02	DCR|DCR|1VULN|2ASPD|1DMG	1FEWX|2DMG|3RMIN|4VULN|56ASPD|7aRCR|8FRZARM|9DUR
31	11113 23214	   	274.92	DCR|DCR|1VULN|2ASPD|1DMG	1VULN|2DMG|3RMIN|4LEGI|56ASPD|7aRCR|8FRZARM|9DUR
