0	Index      	 *	Score 	Summary	Detail	
1	23314 57137	 * 	286.12	ACR|DCR|3MLV|1VULN|1DMG|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4ASPD|569MLV|7VULN|8CDMG
2	14113 21353	 * 	280.00	DCR|DCR|2VULN|1ASPD|1AART|1ZMB	1ZMB|2DUR|36VULN|4TBNT|5LHND|7aRCR|8ASPD|9AART
3	22233 36313	 * 	276.75	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART	17RCR|2TBNT|3CDMG|4aVULN|5CGEN|6AART|8DMG|9ASPD
4	22263 46741	 * 	272.58	ACR|DCR|2VULN|2MLV|2CDMG|1SELL	16RCR|2TBNT|39CDMG|49MLV|5MBVNT|7SELL|89VULN|9BPWR|aAME
5	22263 46742	 * 	272.58	ACR|DCR|2VULN|2MLV|2CDMG|1SELL	16RCR|2TBNT|39CDMG|49MLV|5MBVNT|7SELL|89VULN|9BPWR|aLEGI
6	22263 46743	 * 	272.58	ACR|DCR|2VULN|2MLV|2CDMG|1SELL|1ZMB	16RCR|2TBNT|39CDMG|49MLV|5MBVNT|7SELL|89VULN|9BPWR|aZMB
7	22263 46744	 * 	272.58	ACR|DCR|2VULN|2MLV|2CDMG|1SELL	16RCR|2TBNT|39CDMG|49MLV|5MBVNT|7SELL|89VULN|9BPWR|aMDPS
8	22266 12263	   	270.97	ACR|DCR|2VULN|1DMG|1MLV|1CDMG	19RCR|2TBNT|3CDMG|4MLV|5LIT|6DMG|7FEWX|8aVULN
9	23521 44437	 * 	267.62	ACR|DCR|2VULN|2MLV|2RPLT	1aRCR|2MBVNT|3DMSP|45RPLT|68VULN|79MLV
10	36313 23251	 * 	267.07	DCR|DCR|1VULN|1ASPD|1CDMG|1AART|1RPLT	1ASPD|2DUST|3FEWX|4BBNT|5AART|67RCR|8CDMG|9RPLT|aVULN
11	23361 26734	 * 	266.00	ACR|5VULN|3DMG|2CDMG	1RCR|2MBVNT|369DMG|4679aVULN|5MDPS|69BPWR|89CDMG
12	23348 14147	 * 	265.68	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|36DMG|46FEWX|5RMIN|6BPWR|7DUR|8aVULN
13	23348 15347	   	265.68	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|36DMG|46FEWX|5RMIN|6BPWR|7aVULN|8DUR
14	23338 14147	   	265.48	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|36DMG|46DUST|5RMIN|6BPWR|7DUR|8aVULN
15	23338 15347	   	265.48	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|36DMG|46DUST|5RMIN|6BPWR|7aVULN|8DUR
16	22151 13643	 * 	265.31	ACR|3VULN|3DMG|3MLV|1RPLT	1RCR|2TBNT|37aVULN|478DMG|57aMLV|6RPLT|7aBPWR|9AAC
17	22243 34351	   	264.99	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|69VULN|7RMIN|8DUR
18	22243 35311	   	264.99	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|68VULN|7DUR|9RMIN
19	22243 35321	   	264.99	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|68VULN|7DUR|9CGEN
