0	Index      	 *	Score 	Summary	Detail	
1	33312 32361	 * 	281.50	DCR|DCR|2VULN|1CDMG|1AART|1RPLT	1BEXP|2AART|3LEGI|4RPLT|5FEWX|68RCR|7CDMG|9aVULN
2	61631 12532	 * 	279.17	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9DUR|aMLV
3	33231 56115	 * 	276.90	DCR|DCR|1VULN|2MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|48MLV|5DUST|6aRCR|7FEWX|9VULN
4	61631 12513	 * 	276.70	ACR|DCR|3VULN|1DMG|1ASPD	1ASPD|26aVULN|38RCR|4DMG|5DUST|7TBNT|9AIRHEA
5	33231 52315	 * 	275.91	DCR|DCR|1VULN|2CDMG|1MLV|1AART	1BEXP|2AART|37CDMG|4MLV|5DUST|6aRCR|8DUR|9VULN
6	21316 56222	 * 	273.34	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT|1ZMB	1ZMB|2VULN|3LHND|4FLTHEA|5AART|68RCR|7ASPD|9RPLT|aDMG
7	21313 35441	 * 	271.55	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1ZMB|2VULN|3LHND|4FLTHEA|5MLV|6CDMG|7DMG|8LIT|9aRCR
8	21213 35441	 * 	271.45	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1ZMB|2VULN|3DUST|4FLTHEA|5MLV|6CDMG|7DMG|8LIT|9aRCR
9	61631 12533	   	271.30	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9DUR|aAART
10	33312 32364	   	270.95	DCR|DCR|1VULN|1MLV|1CDMG|1AART|1RPLT	1BEXP|2AART|3LEGI|4RPLT|5FEWX|68RCR|7CDMG|9VULN|aMLV
11	61631 12522	   	270.87	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9FEWX|aMLV
12	33231 51315	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	17BEXP|2AART|3CDMG|4MLV|5DUST|6aRCR|8DUR|9VULN
13	33231 46315	   	269.50	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|4MLV|56DUST|7aRCR|8DUR|9VULN
14	14231 51115	   	263.01	DCR|DCR|1VULN|2MLV|1AART|1SELL	1SELL|2AART|3LHND|48MLV|5DUST|6aRCR|7BEXP|9VULN
15	61631 12523	   	263.00	ACR|DCR|2VULN|1DMG|1ASPD|1AART	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9FEWX|aAART
16	33231 52235	 * 	262.33	DCR|DCR|3MLV|2CDMG|1AART	1BEXP|2AART|37CDMG|489MLV|5DUST|6aRCR
17	33312 32331	   	261.73	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1BEXP|2AART|3LEGI|4RPLT|5FEWX|68RCR|7CDMG|9DUR|aVULN
18	61631 12531	   	261.64	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9DUR|aBEXP
19	33231 56215	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	18BEXP|2AART|3CDMG|4MLV|5DUST|6aRCR|7FEWX|9VULN
20	33231 56315	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|4MLV|5DUST|6aRCR|7FEWX|8DMSP|9VULN
21	33231 53615	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|4MLV|5DUST|6aRCR|7ERES|8RMIN|9VULN
22	33231 55115	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|4MLV|5DUST|6aRCR|7CGEN|8ERES|9VULN
23	33211 55215	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|4ERES|5DUST|6aRCR|7CGEN|8MLV|9VULN
24	33221 53215	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|4TLV|5DUST|6aRCR|7ERES|8MLV|9VULN
25	21316 56233	   	261.05	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1ZMB	1ZMB|2VULN|3LHND|4FLTHEA|5AART|68RCR|7ASPD|9ERES|aMLV
26	62382 41334	   	259.94	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3LHND|4MLV|5DUR|6aRCR|7VULN|8FEWX|9BEXP
27	62382 41474	   	259.94	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3LHND|4MLV|5DUR|6aRCR|7VULN|8TBNT|9CGEN
28	62464 41344	   	259.94	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3DUR|4LWND|5CGEN|6aRCR|7VULN|8FEWX|9MLV
29	62382 41734	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3LHND|4MLV|5DUR|6aRCR|7VULN|8DUST|9BEXP
30	62464 41744	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3DUR|4LWND|5CGEN|6aRCR|7VULN|8DUST|9MLV
31	33132 43661	   	258.62	DCR|DCR|1VULN|2DUR|1ASPD|1AART	1BEXP|2AART|3AELOIC|4LHND|59DUR|6VULN|7ASPD|8aRCR
32	33643 22632	   	258.19	DCR|DCR|2VULN|1AART	169BEXP|2AART|39ERES|4MDPS|59VULN|7RCVC|8aRCR|9BPWR
33	33231 51235	   	256.02	DCR|DCR|3MLV|1CDMG|1AART	17BEXP|2AART|3CDMG|489MLV|5DUST|6aRCR
34	33231 46235	   	255.92	DCR|DCR|3MLV|1CDMG|1AART	1BEXP|2AART|3CDMG|489MLV|56DUST|7aRCR
35	14231 52315	   	255.60	DCR|DCR|1VULN|1MLV|1AART|1SELL	1SELL|2AART|3LHND|4MLV|5DUST|6aRCR|7AELOIC|8DUR|9VULN
36	14231 51315	   	255.17	DCR|DCR|1VULN|2AART|1MLV|1SELL	1SELL|28AART|3LHND|4MLV|5DUST|6aRCR|7BEXP|9VULN
37	22717 52212	 * 	255.00	DCR|3VULN|3ASPD|1DMG|3ZMB	189ZMB|2MBVNT|3MDPS|489ASPD|5RMIN|6RCR|789VULN|89BPWR|aDMG
38	62427 41231	   	254.52	DCR|3VULN|2ASPD|1DMG|2DUR|1RPLT	1aASPD|2MBVNT|3aDUR|4FEWX|5DMG|6RCR|78aVULN|9RPLT|aBPWR
39	62458 41231	   	254.52	DCR|3VULN|2ASPD|1DMG|2DUR|1RPLT	1aASPD|2MBVNT|3aDUR|4LHND|5DMG|6RCR|78aVULN|9RPLT|aBPWR
40	62468 41231	   	254.52	DCR|3VULN|2ASPD|1DMG|2DUR|1RPLT	1aASPD|2MBVNT|3aDUR|4LWND|5DMG|6RCR|78aVULN|9RPLT|aBPWR
41	62477 41231	   	254.42	DCR|3VULN|2ASPD|1DMG|2DUR|1RPLT	1aASPD|2MBVNT|3aDUR|4DUST|5DMG|6RCR|78aVULN|9RPLT|aBPWR
42	16341 81216	 * 	254.39	DCR|3VULN|2DMG|2MLV|1SELL	1SELL|2TBNT|3MBVNT|46aVULN|5aMLV|7aDMG|8BBNT|9RCR|aBPWR
43	62711 32843	 * 	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1ASPD|2MBVNT|3MDPS|4DMG|5BEXP|6LSRICY|7AAC|8aRCR|9VULN
44	33312 32362	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1BEXP|2AART|3LEGI|4RPLT|5FEWX|68RCR|7CDMG|9VULN|aCGEN
45	33312 32363	   	253.42	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1BEXP|2AART|3LEGI|4RPLT|5FEWX|68RCR|7CDMG|9VULN|aLHND
46	61631 12521	   	253.34	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9FEWX|aBEXP
47	61633 22513	   	253.34	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2aVULN|38RCR|4DMG|5BBNT|6ERES|7TLV|9FLTHEA
48	61633 33513	   	253.34	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2aVULN|38RCR|4DMG|5BBNT|6TLV|7RMIN|9MSLREG
49	33312 32366	   	253.32	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1BEXP|2AART|3LEGI|4RPLT|5FEWX|68RCR|7CDMG|9VULN|aDUST
50	21316 56223	   	253.28	DCR|DCR|1VULN|1ASPD|1AART|1RPLT|1ZMB	1ZMB|2VULN|3LHND|4FLTHEA|5AART|68RCR|7ASPD|9RPLT|aRCVC
51	61631 12511	   	253.24	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9AIRHEA|aAAC
52	61631 12512	   	253.24	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|26VULN|38RCR|4DMG|5DUST|7TBNT|9AIRHEA|aFEWX
53	61632 22513	   	253.24	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2aVULN|38RCR|4DMG|5ERES|6AME|7TBNT|9FLTHEA
54	61633 23513	   	253.24	ACR|DCR|2VULN|1DMG|1ASPD	1ASPD|2aVULN|38RCR|4DMG|5BBNT|6ERES|7RMIN|9MSLREG
55	21316 56221	   	253.18	DCR|DCR|1VULN|1ASPD|1AART|1RPLT|1ZMB	1ZMB|2VULN|3LHND|4FLTHEA|5AART|68RCR|7ASPD|9RPLT|aLEGI
56	21316 56213	   	251.92	DCR|DCR|1VULN|1ASPD|1AART|1ZMB	1ZMB|2VULN|3LHND|4FLTHEA|5AART|68RCR|7ASPD|9CGEN|aDUR
57	62264 41544	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3DUST|4LWND|5CGEN|6aRCR|7VULN|8FEWX|9MLV
58	62164 41744	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3FEWX|4LWND|5CGEN|6aRCR|7VULN|8DUST|9MLV
