0	Index      	 *	Score 	Summary	Detail	
1	61423 11315	 * 	226.06	橙2散射对甲3易伤2全技能1时间	1双倍物品25a易伤3时间4a技能点69全技能7a散射对甲8核a序列升级
2	61125 33513	 * 	224.28	橙4易伤1散射对甲2伤害	1双倍物品237a易伤3a序列升级4a矿等5掉矿6核8散射对甲9a伤害
3	61113 63351	 * 	217.78	橙3易伤1双倍秒伤2伤害1全技能	1双倍物品239易伤39序列升级49伤害5额外掉落6全技能79掉矿8核a双倍秒伤
4	42156 12221	 * 	215.31	橙1散射对甲2易伤2攻速1全技能1时间	13易伤2平台47攻速5低血量敌人6时间8核9散射对甲a全技能
5	52242 12335	 * 	213.89	橙3伤害2易伤2攻速1时间	1a技能点2a攻速3时间478伤害5矿等6a易伤9核a序列升级
6	61113 13515	 * 	207.18	橙3易伤2伤害1暴击2时间	1双倍物品23a易伤3a序列升级4a伤害5额外掉落6最后敌人7核8暴击9a时间
7	51422 12335	   	205.58	橙3伤害2易伤2攻速	1a技能点278伤害3a攻速4敌人爆炸5矿等6a易伤9核a序列升级
8	52422 12335	   	205.58	橙3伤害2易伤2攻速	1a技能点2a攻速378伤害4敌人爆炸5矿等6a易伤9核a序列升级
9	24613 63323	 * 	204.56	橙3全技能2易伤2伤害	1立即金币26a全技能39伤害48易伤5额外掉落7核
10	42151 43221	 * 	203.91	橙3易伤2攻速1暴击2时间	138易伤2平台48攻速5额外掉落68时间7核8序列升级9金币生成a暴击
11	42151 43222	 * 	203.51	橙4易伤2攻速2时间	138a易伤2平台48攻速5额外掉落68时间7核8序列升级9金币生成
12	31364 42131	 * 	203.45	橙2伤害1易伤1全技能1攻速1策反1时间	1等级29伤害3平台4策反5全技能6核7攻速8时间a易伤
13	42113 54223	 * 	203.06	橙2易伤2全技能1双倍秒伤1暴击1策反	13易伤2平台46全技能5最后敌人7暴击8策反9核a双倍秒伤
14	61111 15233	 * 	202.13	橙2易伤2攻速1全技能1伤害1时间	1双倍物品23易伤3序列升级4伤害5低血量敌人6全技能7时间89攻速a核
15	24111 32342	 * 	201.29	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5低血量敌人6技能点79伤害8核9序列升级a核弹
16	24111 32345	 * 	201.29	橙2易伤2伤害1全技能1攻速	1立即金币2全技能39掉矿49易伤5低血量敌人6技能点79伤害8核9序列升级a攻速
17	24111 52342	   	201.29	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5低血量敌人6金币生成79伤害8核9序列升级a核弹
18	24113 32342	   	201.29	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5最后敌人6技能点79伤害8核9序列升级a核弹
19	24113 32345	   	201.29	橙2易伤2伤害1全技能1攻速	1立即金币2全技能39掉矿49易伤5最后敌人6技能点79伤害8核9序列升级a攻速
20	24113 52342	   	201.29	橙2易伤2伤害1全技能1核弹	1立即金币2全技能39掉矿49易伤5最后敌人6金币生成79伤害8核9序列升级a核弹
21	61125 32633	 * 	201.22	橙4易伤2暴击1伤害	1双倍物品238a易伤3a序列升级4a矿等5掉矿6核7伤害9a暴击
22	62112 36135	 * 	199.52	橙3易伤1双倍秒伤1全技能1伤害1暴击	1双倍物品2技能点358易伤4暴击6双倍秒伤7核9全技能a伤害
23	62113 16135	   	199.52	橙3易伤1双倍秒伤1全技能1伤害1暴击	1双倍物品2技能点368易伤4暴击5双倍秒伤7核9全技能a伤害
24	24613 63321	   	199.30	橙2易伤2全技能2伤害	1立即金币26全技能39伤害48易伤5额外掉落7核a金币生成
25	24613 63322	   	199.30	橙2易伤2全技能2伤害	1立即金币26全技能39伤害48易伤5额外掉落7核a随机矿
26	31354 42233	 * 	199.21	橙3伤害2攻速1全技能1时间	1等级278伤害3平台4a攻速5全技能6核9时间
27	24623 13325	 * 	199.18	橙3伤害2易伤1全技能	1立即金币2全技能36a伤害46a低血量敌人5额外掉落6a序列升级7核8a易伤9平台
28	31354 41131	 * 	199.03	橙2伤害2攻速1易伤1全技能	1等级2a伤害3平台49攻速5全技能6核7额外掉落8易伤
29	61113 63352	   	198.86	橙3易伤2伤害1全技能	1双倍物品239易伤39序列升级49伤害5额外掉落6全技能79a掉矿8核
30	61113 63353	   	198.86	橙3易伤2伤害1全技能1卖塔	1双倍物品239易伤39序列升级49伤害5额外掉落6全技能79掉矿8核a卖塔
31	31354 41132	 * 	197.69	橙2攻速1易伤1全技能1伤害1暴击	1等级2伤害3平台49攻速5全技能6核7额外掉落8易伤a暴击
32	41336 41133	   	196.62	橙3易伤1全技能1伤害1时间	156易伤2掉矿3立即金币4时间7散射对绿8核9伤害a全技能
33	42152 32311	 * 	196.58	橙4易伤3攻速1双倍秒伤	1389易伤2平台467攻速5双倍秒伤a核
