0	Index      	 *	Score 	Summary	Detail	
1	31266 21633	 * 	281.66	ACR|2BASARM|2VULN|2ASPD|2DMG|1BEXP	17BASARM|2BEXP|3RCR|49AAC|57DMG|67ASPD|7BPWR|8aVULN
2	31266 21631	   	267.07	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|49AAC|57DMG|67ASPD|7BPWR|8VULN|aLHND
3	31266 21133	   	267.07	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|49AAC|57DMG|67ASPD|7BPWR|8DUR|aVULN
4	31266 21333	   	266.97	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|49AAC|57DMG|67ASPD|7BPWR|8DUST|aVULN
5	31253 34433	 * 	265.74	ACR|2BASARM|2VULN|2ASPD|2AART|1BEXP	19BASARM|2BEXP|3RCR|49VULN|5CGEN|6FEWX|7aAART|89ASPD|9BPWR
6	31251 22624	 * 	264.41	ACR|2BASARM|3ASPD|2VULN|2BEXP	19BASARM|26BEXP|3RCR|49VULN|5DUR|7CGEN|89aASPD|9BPWR
7	31252 22624	   	264.41	ACR|2BASARM|3ASPD|2VULN|2BEXP	19BASARM|26BEXP|3RCR|49VULN|5FEWX|7CGEN|89aASPD|9BPWR
8	31266 21252	 * 	263.04	ACR|2BASARM|2ASPD|2DMG|1BASICY|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8RPLT|9LWND|aBASICY
9	31266 21116	   	262.94	ACR|2BASARM|2ASPD|2DMG|1BASICY|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8DUR|9TLV|aBASICY
10	31266 21316	   	262.84	ACR|2BASARM|2ASPD|2DMG|1BASICY|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8DUST|9TLV|aBASICY
11	31253 33624	 * 	261.93	ACR|3VULN|2BASARM|3ASPD|1BEXP	19BASARM|2BEXP|3RCR|479VULN|5CGEN|6FEWX|89aASPD|9BPWR
12	31266 21621	   	259.23	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8VULN|9LWND|aZMB
13	31266 21613	   	259.13	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8VULN|9TLV|aDUR
14	31266 21623	   	259.13	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8VULN|9LWND|aTLV
15	31266 21423	   	259.13	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8TLV|9CGEN|aVULN
16	31266 21611	   	259.03	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8VULN|9TLV|aDLOT
17	31266 21612	   	259.03	ACR|2BASARM|2ASPD|2DMG|1VULN|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8VULN|9TLV|aAEMAG
18	31266 21114	 * 	258.53	ACR|2BASARM|3ASPD|2DMG|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67aASPD|7BPWR|8DUR|9TLV
19	31266 21213	 * 	258.53	ACR|2BASARM|3DMG|2ASPD|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57aDMG|67ASPD|7BPWR|8RPLT|9ERES
20	31266 21233	   	258.53	ACR|2BASARM|3DMG|2ASPD|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57aDMG|67ASPD|7BPWR|8RPLT|9TLV
21	31266 21314	   	258.43	ACR|2BASARM|3ASPD|2DMG|1BEXP	17BASARM|2BEXP|3RCR|4AAC|57DMG|67aASPD|7BPWR|8DUST|9TLV
22	31266 21224	   	258.39	ACR|2BASARM|3ASPD|2DMG|1BEXP|1SELL	17BASARM|2BEXP|3RCR|4AAC|57DMG|67aASPD|7BPWR|8RPLT|9SELL
23	31266 21212	 * 	257.72	ACR|2BASARM|2ASPD|2DMG|2BEXP	17BASARM|2aBEXP|3RCR|4AAC|57DMG|67ASPD|7BPWR|8RPLT|9ERES
