0	Index      	 *	Score 	Summary	Detail	
1	46111 22512	 * 	236.82	ACR|1BASARM|2DMG|1VULN|2AART|1ASPD	12AART|39TLV|4RCR|59AEMAG|6VULN|7BASARM|89DMG|9BPWR|aASPD
2	44214 23332	 * 	233.51	ACR|3BEXP|2ASPD|2DMG|1VULN|1AART	1AART|289BEXP|3AAC|4RCR|5FEWX|69ASPD|79DMG|9BPWR|aVULN
3	46113 22511	 * 	230.28	ACR|2BASARM|2DMG|1VULN|2AART	12AART|39TLV|4RCR|5DMSP|6VULN|79BASARM|89DMG|9BPWR|aFEWX
4	46113 22512	   	230.28	ACR|2BASARM|2DMG|1VULN|2AART	12AART|39TLV|4RCR|5DMSP|6VULN|79BASARM|89DMG|9BPWR|aZMB
5	46113 22513	   	230.28	ACR|2BASARM|2DMG|1VULN|2AART	12AART|39TLV|4RCR|5aDMSP|6VULN|79BASARM|89DMG|9BPWR
6	41111 22512	   	223.04	ACR|1BASARM|2DMG|1VULN|1ASPD|1AART	1AART|2DMSP|39TLV|4RCR|59AEMAG|6VULN|7BASARM|89DMG|9BPWR|aASPD
7	41112 23134	 * 	219.23	ACR|1BASARM|2AART|1ASPD|1DMG|1BASICY	18AART|2DMSP|3TLV|4RCR|5MDPS|6ASPD|7DMG|9BASICY|aBASARM
8	46112 23234	   	219.13	ACR|1BASARM|2AART|1ASPD|1DMG|1BASICY	12AART|3TLV|4RCR|5MDPS|6ASPD|7DMG|8AEFBLL|9BASICY|aBASARM
9	44212 23334	 * 	219.06	ACR|1BASARM|2DMG|1BASICY|1AART|1BEXP	1AART|2BEXP|3AAC|4RCR|57DMG|6DUST|8ERES|9BASICY|aBASARM
10	41111 22516	   	216.63	ACR|1BASARM|2DMG|1VULN|1AART|1CDMG	1AART|2DMSP|39TLV|4RCR|59AEMAG|6VULN|7BASARM|89DMG|9BPWR|aCDMG
11	41113 22511	   	216.48	ACR|2BASARM|2DMG|1VULN|1AART	1AART|25DMSP|39TLV|4RCR|6VULN|79BASARM|89DMG|9BPWR|aFEWX
12	41113 22512	   	216.48	ACR|2BASARM|2DMG|1VULN|1AART	1AART|25DMSP|39TLV|4RCR|6VULN|79BASARM|89DMG|9BPWR|aZMB
13	41113 22513	   	216.48	ACR|2BASARM|2DMG|1VULN|1AART	1AART|25aDMSP|39TLV|4RCR|6VULN|79BASARM|89DMG|9BPWR
14	41113 22515	   	216.48	ACR|2BASARM|2DMG|1VULN|1AART	1AART|25DMSP|39TLV|4RCR|6VULN|79BASARM|89DMG|9BPWR|aLWND
15	41113 22516	   	216.48	ACR|2BASARM|2DMG|1VULN|1AART	1AART|25DMSP|39TLV|4RCR|6VULN|79BASARM|89DMG|9BPWR|aMLV
16	46113 22532	   	215.49	ACR|1BASARM|2DMG|1VULN|2AART	12AART|3TLV|4RCR|5DMSP|6VULN|7BASARM|8aDMG|9NUKE
17	46111 22511	   	215.39	ACR|1BASARM|2DMG|1VULN|2AART	12AART|39TLV|4RCR|59AEMAG|6VULN|7BASARM|89DMG|9BPWR|aLEGI
18	46111 22513	   	215.39	ACR|1BASARM|2DMG|1VULN|2AART	12AART|39TLV|4RCR|59AEMAG|6VULN|7BASARM|89DMG|9BPWR|aMDPS
19	46111 22532	   	215.39	ACR|1BASARM|2DMG|1VULN|2AART	12AART|3TLV|4RCR|5AEMAG|6VULN|7BASARM|8aDMG|9NUKE
20	44214 23331	   	214.71	ACR|3BEXP|2ASPD|2DMG|1AART	1AART|289BEXP|3AAC|4RCR|5FEWX|69ASPD|79DMG|9BPWR|aRPLT
21	44214 23333	   	214.71	ACR|3BEXP|2ASPD|2DMG|1AART	1AART|289BEXP|3AAC|4RCR|5FEWX|69ASPD|79DMG|9BPWR|aLHND
22	44214 23131	 * 	214.59	ACR|2ASPD|2DMG|2BEXP|2AART	18AART|29BEXP|3AAC|4RCR|5FEWX|69ASPD|79DMG|9BPWR|aMULARM
23	44214 23132	   	214.59	ACR|2ASPD|2DMG|2BEXP|2AART	18AART|29BEXP|3AAC|4RCR|5FEWX|69ASPD|79DMG|9BPWR|aMSLFST
24	44214 23133	   	214.59	ACR|2ASPD|2DMG|2BEXP|2AART	18AART|29BEXP|3AAC|4RCR|5FEWX|69ASPD|79DMG|9BPWR|aAEFBLL
25	44212 13331	 * 	214.03	ACR|1BASARM|2DMG|2BEXP|1AART	1AART|28BEXP|3AAC|4RCR|57DMG|69LHND|aBASARM
26	44212 22134	   	212.82	ACR|1BASARM|2AART|1DMG|1BASICY|1BEXP	18AART|2BEXP|3AAC|4RCR|5DMG|6DUST|7CGEN|9BASICY|aBASARM
27	46113 22521	 * 	212.34	ACR|2VULN|1BASARM|2AART|1DMG	12AART|3TLV|4RCR|5DMSP|69VULN|7BASARM|8DMG|aFEWX
28	46113 22522	   	212.34	ACR|2VULN|1BASARM|2AART|1DMG	12AART|3TLV|4RCR|5DMSP|69VULN|7BASARM|8DMG|aZMB
29	46113 22523	   	212.34	ACR|2VULN|1BASARM|2AART|1DMG	12AART|3TLV|4RCR|5aDMSP|69VULN|7BASARM|8DMG
30	46111 22521	   	212.24	ACR|2VULN|1BASARM|2AART|1DMG	12AART|3TLV|4RCR|5AEMAG|69VULN|7BASARM|8DMG|aFEWX
31	46111 22522	   	212.24	ACR|2VULN|1BASARM|2AART|1DMG	12AART|3TLV|4RCR|5AEMAG|69VULN|7BASARM|8DMG|aZMB
32	46111 22523	   	212.24	ACR|2VULN|1BASARM|2AART|1DMG	12AART|3TLV|4RCR|5AEMAG|69VULN|7BASARM|8DMG|aDMSP
33	44212 13131	   	210.44	ACR|1BASARM|2DMG|2AART|1BEXP	18AART|2BEXP|3AAC|4RCR|57DMG|69LHND|aBASARM
34	41113 22222	   	210.38	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP	18AART|25DMSP|3TLV|4RCR|6VULN|7BASARM|9BEXP|aDMG
35	41116 42222	   	210.38	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP	18AART|26DMSP|3TLV|4RCR|5VULN|7BASARM|9BEXP|aDMG
36	46113 22622	   	210.38	ACR|1BASARM|1VULN|2AART|1ASPD|1BEXP	12AART|3TLV|4RCR|5DMSP|6VULN|7BASARM|8CGEN|9BEXP|aASPD
37	41111 22222	   	210.28	ACR|1BASARM|1VULN|2AART|1DMG|1BEXP	18AART|2DMSP|3TLV|4RCR|5AEMAG|6VULN|7BASARM|9BEXP|aDMG
38	46111 22622	   	210.28	ACR|1BASARM|1VULN|2AART|1ASPD|1BEXP	12AART|3TLV|4RCR|5AEMAG|6VULN|7BASARM|8CGEN|9BEXP|aASPD
39	46113 22236	 * 	209.31	ACR|1BASARM|3AART|1VULN|1DMG	128AART|3TLV|4RCR|5DMSP|6VULN|7BASARM|9RCVC|aDMG
40	46111 22236	   	209.21	ACR|1BASARM|3AART|1VULN|1DMG	128AART|3TLV|4RCR|5AEMAG|6VULN|7BASARM|9RCVC|aDMG
41	41114 53122	 * 	208.57	ACR|2ASPD|2DMG|1BASICY|1BEXP|1AART	1AART|2DMSP|38TLV|4RCR|5BEXP|68ASPD|78DMG|8BPWR|9BASICY|aLWND
42	41114 53123	   	208.57	ACR|2ASPD|2DMG|1BASICY|1AART|1BEXP	1AART|2DMSP|38TLV|4RCR|5BEXP|68ASPD|78DMG|8BPWR|9BASICY|aRMIN
43	41114 53121	   	208.47	ACR|2ASPD|2DMG|1BASICY|1BEXP|1AART	1AART|2DMSP|38TLV|4RCR|5BEXP|68ASPD|78DMG|8BPWR|9BASICY|aAEMAG
44	44215 23132	   	208.04	ACR|3BEXP|2DMG|1VULN|1AART|1CDMG	1AART|258BEXP|3AAC|4RCR|68AME|78DMG|8BPWR|9CDMG|aVULN
45	41112 23234	   	207.88	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART	1AART|2DMSP|3TLV|4RCR|5MDPS|6ASPD|7DMG|8AEFBLL|9BASICY|aBASARM
46	41112 23434	   	207.88	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART	1AART|2DMSP|3TLV|4RCR|5MDPS|6ASPD|7DMG|8AEMAG|9BASICY|aBASARM
47	45216 23122	 * 	207.51	ACR|2ASPD|2DMG|1VULN|2AART	18AART|29aFEWX|3AAC|4RCR|5VULN|6aASPD|7aDMG|aBPWR
48	44212 13225	   	207.21	ACR|2ASPD|2DMG|1VULN|1BEXP|1AART	1AART|2BEXP|3AAC|4RCR|57DMG|6LHND|8VULN|9aASPD
