0	Index      	 *	Score 	Summary	Detail	
1	12364 83143	 * 	188.50	ACR|2ASPD|2DMG|1BEXP|1CDMG	1LIT|2aLHND|3AEMAG|4RCR|5MBVNT|6CDMG|7aDMG|8BEXP|9aASPD|aBPWR
2	12663 11324	 * 	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9BEXP|aDMG
3	11663 11324	   	185.55	ACR|2VULN|2ASPD|1DMG|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9BEXP|aDMG
4	53634 11513	 * 	178.05	DCR|3VULN|2ASPD|2BEXP|1DMG	18BEXP|27ASPD|358VULN|4MBVNT|68LIT|8BPWR|9DMG|aRCR
5	33232 35536	   	177.95	DCR|3VULN|2ASPD|2BEXP|1DMG	17DUST|27ASPD|38BEXP|4LHND|567VULN|7BPWR|9DMG|aRCR
6	34365 32331	 * 	175.81	ACR|2ASPD|2CDMG|1DMG|1VULN	19DUST|27TLV|39CDMG|4ERES|5RCR|6DMG|89ASPD|9BPWR|aVULN
7	34365 32332	 * 	171.93	ACR|2ASPD|2CDMG|1DMG|1BEXP	19DUST|27TLV|39CDMG|4ERES|5RCR|6DMG|89ASPD|9BPWR|aBEXP
8	53634 47132	 * 	170.49	DCR|2VULN|2ASPD|2DMG|1BEXP	1BEXP|27ASPD|35VULN|4MBVNT|6TLV|89DMG|aRCR
9	12661 11623	 * 	169.63	ACR|1VULN|2AART|1ASPD|1DMG	1LIT|2LHND|3ERES|4RCR|5FEWX|6VULN|78AART|9ASPD|aDMG
10	12661 25112	 * 	168.14	ACR|2VULN|2ASPD|1AART	1LIT|2aLHND|3ERES|4RCR|5FEWX|6aASPD|7VENTOX|8aVULN|9AART|aBPWR
11	34365 32311	 * 	168.11	ACR|2DMG|1ASPD|1VULN|1CDMG	1DUST|27TLV|3CDMG|4ERES|5RCR|69DMG|8ASPD|aVULN
12	12364 83144	 * 	167.97	ACR|2BEXP|1ASPD|1DMG|1CDMG	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6CDMG|7DMG|8aBEXP|9ASPD
13	12663 15131	 * 	167.97	ACR|2VULN|1ASPD|2CDMG|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|79CDMG|8BEXP|aASPD
14	12663 11353	   	167.94	ACR|2VULN|2ASPD|1AART	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9AART|aDUR
15	11663 15131	   	167.87	ACR|2VULN|1ASPD|2CDMG|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|79CDMG|8BEXP|aASPD
16	11663 11353	   	167.84	ACR|2VULN|2ASPD|1AART	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9AART|aDUR
17	12663 11351	   	167.84	ACR|2VULN|2ASPD|1AART	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9AART|aMDPS
18	12663 11352	   	167.84	ACR|2VULN|2ASPD|1AART	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9AART|aAME
19	11663 11351	   	167.74	ACR|2VULN|2ASPD|1AART	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9AART|aMDPS
20	11663 11352	   	167.74	ACR|2VULN|2ASPD|1AART	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9AART|aAME
21	11363 53353	 * 	167.61	ACR|1BASARM|1DMG|1AART|1SELL	18LIT|2LEGI|3AEMAG|4RCR|5DUR|6SELL|7DMG|9AART|aBASARM
22	12663 11331	 * 	167.59	ACR|3ASPD|2VULN	1LIT|2LHND|3ERES|4RCR|56VULN|78aASPD|9MLV
23	12663 11361	   	167.59	ACR|3ASPD|2VULN	1LIT|2LHND|3ERES|4RCR|56VULN|78aASPD|9CGEN
24	11663 11331	   	167.49	ACR|3ASPD|2VULN	1LIT|2LEGI|3ERES|4RCR|56VULN|78aASPD|9MLV
25	11663 11361	   	167.49	ACR|3ASPD|2VULN	1LIT|2LEGI|3ERES|4RCR|56VULN|78aASPD|9CGEN
26	53322 56132	 * 	166.65	DCR|2VULN|2ASPD|1DMG|1CDMG|1BEXP	1BEXP|27ASPD|3CDMG|4RPLT|5AEFBLL|69VULN|8DMG|aRCR
27	12661 24233	 * 	166.64	ACR|1BASARM|1VULN|1ASPD	1LIT|2LHND|3ERES|4RCR|5FEWX|6ASPD|7VULN|8RMIN|9RPLT|aBASARM
28	11661 24233	   	166.54	ACR|1BASARM|1VULN|1ASPD	1LIT|2LEGI|3ERES|4RCR|5FEWX|6ASPD|7VULN|8RMIN|9RPLT|aBASARM
29	14462 31211	 * 	166.54	ACR|1BASARM|1VULN|1DMG	1LIT|2MLV|38ERES|4RCR|5VULN|6DMSP|7ZMB|9DMG|aBASARM
30	14462 31311	   	166.54	ACR|1BASARM|1VULN|1DMG	1LIT|2MLV|3ERES|4RCR|5VULN|6DMSP|7ZMB|8AEFBLL|9DMG|aBASARM
31	33211 35536	   	165.59	DCR|2VULN|2ASPD|2BEXP|1DMG	17DUST|27ASPD|38BEXP|46VULN|57LHND|7BPWR|9DMG|aRCR
32	33212 35536	   	165.59	DCR|2VULN|2ASPD|2BEXP|1DMG	17DUST|27ASPD|38BEXP|46VULN|57LWND|7BPWR|9DMG|aRCR
33	12663 11124	   	165.58	ACR|2VULN|1ASPD|1DMG|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|7ASPD|8AEMAG|9BEXP|aDMG
34	34365 32312	   	165.52	ACR|2DMG|1ASPD|1BEXP|1CDMG	1DUST|27TLV|3CDMG|4ERES|5RCR|69DMG|8ASPD|aBEXP
35	11663 11124	   	165.48	ACR|2VULN|1ASPD|1DMG|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|7ASPD|8AEMAG|9BEXP|aDMG
36	53634 48132	 * 	165.39	DCR|2VULN|2DMG|2BEXP|1ASPD	17BEXP|2ASPD|35VULN|4MBVNT|6TLV|89DMG|aRCR
37	53634 48142	   	165.39	DCR|2VULN|2ASPD|2BEXP|1DMG	17BEXP|29ASPD|35VULN|4MBVNT|6TLV|8DMG|aRCR
