0	Index      	 *	Score 	Summary	Detail	
1	22513 22124	 * 	248.63	ACR|2BASARM|2VULN|2ASPD|1DMG|1AART	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9AART|aDMG
2	22513 22122	 * 	244.22	ACR|2BASARM|2VULN|3ASPD|1AART	18LHND|26VULN|3RMIN|48aASPD|5RCR|78BASARM|8BPWR|9AART
3	22513 52114	   	240.98	ACR|2BASARM|3ASPD|1VULN|1BEXP|1CDMG	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9CDMG|aBEXP
4	22513 22165	   	239.57	ACR|2BASARM|2VULN|3ASPD|1BEXP	18LHND|26VULN|3RMIN|48aASPD|5RCR|78BASARM|8BPWR|9BEXP
5	22513 52121	   	228.61	ACR|2BASARM|3ASPD|1VULN|1AART	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9CGEN|aAART
6	22513 52111	   	227.33	ACR|2BASARM|3ASPD|1VULN|1CDMG	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9CDMG|aRPLT
7	22513 52112	   	227.33	ACR|2BASARM|3ASPD|1VULN|1CDMG	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9CDMG|aCGEN
8	22513 52113	   	227.23	ACR|2BASARM|3ASPD|1VULN|1CDMG	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9CDMG|aAME
9	22513 52116	   	227.23	ACR|2BASARM|3ASPD|1VULN|1CDMG	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9CDMG|aERES
10	22513 22121	   	226.26	ACR|2BASARM|2VULN|2ASPD|1AART	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9AART|aCGEN
11	22513 22123	   	226.26	ACR|2BASARM|2VULN|2ASPD|1AART	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9AART|aDUR
12	22513 22125	   	226.16	ACR|2BASARM|2VULN|2ASPD|1AART	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9AART|aERES
13	22513 22126	   	226.16	ACR|2BASARM|2VULN|2ASPD|1AART	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9AART|aAIRHEL
14	22513 52151	   	226.04	ACR|2BASARM|3ASPD|1VULN|1BEXP	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9BEXP|aCGEN
15	22513 52152	   	226.04	ACR|2BASARM|3ASPD|1VULN|1BEXP	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9BEXP|aRPLT
16	22513 52153	   	225.94	ACR|2BASARM|3ASPD|1VULN|1BEXP	18LHND|2VULN|3RMIN|468ASPD|5RCR|78BASARM|8BPWR|9BEXP|aDUST
17	22513 22143	   	224.67	ACR|2BASARM|2VULN|2ASPD|1CDMG	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9RCVC|aCDMG
18	22513 22113	   	223.92	ACR|2BASARM|2VULN|2ASPD|1CDMG	189LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|aCDMG
19	22513 22415	 * 	221.59	ACR|2VULN|1BASARM|2ASPD|2BEXP	1LHND|26VULN|3RMIN|4aASPD|5RCR|7BASARM|89BEXP
20	22513 22161	   	221.53	ACR|2BASARM|2VULN|2ASPD|1BEXP	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9BEXP|aLIT
21	22513 22133	   	221.43	ACR|2BASARM|2VULN|2ASPD|1BEXP	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9ERES|aBEXP
22	22513 22162	   	221.43	ACR|2BASARM|2VULN|2ASPD|1BEXP	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9BEXP|aERES
23	22513 22163	   	221.43	ACR|2BASARM|2VULN|2ASPD|1BEXP	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9BEXP|aAEFBLL
24	22513 22164	   	221.43	ACR|2BASARM|2VULN|2ASPD|1BEXP	18LHND|26VULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9BEXP|aFLTARM
25	22513 22145	 * 	220.08	ACR|3VULN|2BASARM|2ASPD	18LHND|26aVULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR|9RCVC
26	22513 22115	   	219.33	ACR|3VULN|2BASARM|2ASPD	189LHND|26aVULN|3RMIN|48ASPD|5RCR|78BASARM|8BPWR
