0	Index      	 *	Score 	Summary	Detail	
1	16324 23242	 * 	252.85	ACR|3VULN|3ASPD|2DMG|2BEXP	1DMSP|27aASPD|3SPLREG|4RCR|57aVULN|67DMG|7aBPWR|8ZMB|9aBEXP
2	16324 23432	   	241.91	ACR|2VULN|3ASPD|2DMG|1BEXP|1AART	1DMSP|278ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|9BEXP|aAART
3	16324 23611	 * 	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9DUST|aBELT
4	16324 23613	   	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9DUST|aZMB
5	16324 23621	   	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9ERES|aRPLT
6	16324 23622	   	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9ERES|aFEWX
7	16324 23631	   	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9AEMAG|aLHND
8	16324 23632	   	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9AEMAG|aFEWX
9	16324 23633	   	240.48	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9AEMAG|aRMIN
10	16324 23612	   	240.38	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9DUST|aERES
11	16324 23623	   	240.38	ACR|2VULN|1BASARM|2ASPD|2DMG	1DMSP|27ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|8BASARM|9ERES|aAEMAG
12	16324 23433	   	238.59	ACR|2VULN|3ASPD|2DMG|2BEXP	1DMSP|278ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|9aBEXP
13	16324 23411	 * 	230.16	ACR|2VULN|3ASPD|2DMG|1BASICY	1DMSP|278ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|9BASICY|aLWND
14	16324 23412	   	230.16	ACR|2VULN|3ASPD|2DMG|1BASICY	1DMSP|278ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|9BASICY|aMLV
15	16324 23413	   	230.06	ACR|2VULN|3ASPD|2DMG|1BASICY	1DMSP|278ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|9BASICY|aMDPS
16	56324 23232	   	228.53	ACR|3VULN|3ASPD|2DMG	1RCVC|27aASPD|3SPLREG|4RCR|57aVULN|67DMG|7aBPWR|8ZMB|9aDUR
17	16324 23232	   	224.37	ACR|3VULN|3ASPD|2DMG	1DMSP|27aASPD|3SPLREG|4RCR|57aVULN|67DMG|7aBPWR|8ZMB|9aDUR
18	16324 23262	   	224.17	ACR|3VULN|3ASPD|2DMG	1DMSP|27aASPD|3SPLREG|4RCR|57aVULN|67DMG|7aBPWR|8ZMB|9aDUST
19	16324 23431	   	223.75	ACR|2VULN|3ASPD|2DMG|1BEXP	1DMSP|278ASPD|3SPLREG|4RCR|57VULN|67DMG|7BPWR|9BEXP|aLHND
