0	Index      	 *	Score 	Summary	Detail	
1	32615 13522	 * 	204.61	ACR|2BASARM|2BEXP|1VULN|1DMG	13aDUST|2AME|4BELT|5RCR|6aBEXP|7VULN|8DMG|9aBASARM|aBPWR
2	62265 13122	 * 	203.33	ACR|2VULN|3DMG|1ASPD|1AART	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9ZMB|aASPD
3	62265 23333	 * 	198.13	ACR|3VULN|3DMG|1ASPD	178VULN|2AME|34aDMG|5RCR|6LEGI|9ASPD
4	31253 24631	 * 	195.16	DCR|2VULN|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2ZMB|3DMG|4BASARM|5BEXP|68VULN|7CDMG|9ASPD|aRCR
5	53211 14222	 * 	194.99	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MLV|2DUR|3AART|4BELT|5RCR|6RCVC|7CDMG|8BASARM|9VULN|aDMG
6	62265 13132	 * 	194.96	ACR|3VULN|3DMG|1AART	18aVULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9SNITOX
7	33633 32146	 * 	194.91	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	13DUST|2RMIN|4RCR|5SELL|6VULN|7ASPD|8BEXP|9CDMG|aBASARM
8	51311 14222	   	194.89	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MLV|2LEGI|3AART|4BELT|5RCR|6RCVC|7CDMG|8BASARM|9VULN|aDMG
9	62265 13133	 * 	194.55	ACR|2VULN|3DMG|1AART|1BEXP	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9SNITOX|aBEXP
10	51311 54222	   	192.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1MLV|2LEGI|3AART|4BELT|5RCR|6DMSP|7CDMG|8BASARM|9VULN|aDMG
11	14235 22316	 * 	186.86	ACR|1BASARM|2DMG|1ASPD	1ERES|24FEWX|34DMG|4BPWR|5RCR|6LHND|7AME|8AAC|9ASPD|aBASARM
12	63265 32222	   	186.72	ACR|3DMG|1VULN|1ASPD|1AART	1VULN|2RMIN|349DMG|5RCR|6RPLT|7AART|8CGEN|aASPD
13	63265 32322	   	186.62	ACR|3DMG|1VULN|1ASPD|1AART	1VULN|2RMIN|349DMG|5RCR|6RPLT|7AART|8ERES|aASPD
14	62265 21333	   	186.51	ACR|3DMG|2VULN|1ASPD	18VULN|2AME|34aDMG|5RCR|6LEGI|7RCVC|9ASPD
15	63265 11333	   	185.00	ACR|3DMG|2VULN|1ASPD	18VULN|26RMIN|34aDMG|5RCR|7DUST|9ASPD
16	53211 23212	 * 	184.92	ACR|2ASPD|2AART|1VULN|2CDMG	18MLV|2DUR|39AART|4BELT|5RCR|68ASPD|78CDMG|8BPWR|aVULN
17	53211 33212	 * 	184.92	ACR|2DMG|2AART|1VULN|2CDMG	18MLV|2DUR|39AART|4BELT|5RCR|68DMG|78CDMG|8BPWR|aVULN
