0	Index      	*	Score	Code	Var	Bounty
1	21253 23526	*	255.7	橙2易伤2伤害2时间1等级1全技能	1额外掉落2赏金邻近38伤害4全技能58时间6随机矿78易伤8序列升级9等级a核	1
2	22221 63452	 	253.9	橙2易伤2伤害2时间1等级1暴击	1额外掉落28时间3敌人爆炸48易伤5暴击6等级78伤害8序列升级9金币生成a核	8
3	12131 41113	*	253.5	橙3易伤2时间1等级2敌人爆炸	19残血敌人24敌人爆炸349易伤49序列升级5矿等6基地爆炸79时间8核a等级	1
4	12143 61631	*	252.0	橙3易伤1等级1伤害1时间1全技能	1残血敌人2敌人爆炸379易伤4等级5伤害6核8时间a全技能	1
5	15523 31323	*	251.7	橙4易伤2时间2等级1全技能	17残血敌人2全技能34等级579a易伤67时间7序列升级8核	3
6	32121 61636	 	251.5	橙3易伤1等级1伤害1时间1暴击	1挖尘2敌人爆炸379易伤4伤害5等级6核8时间a暴击	1
7	12131 11113	 	251.4	橙3易伤2时间1等级2敌人爆炸	19残血敌人24敌人爆炸349易伤49序列升级5矿等6挖尘79时间8核a等级	1
8	12143 12353	 	249.8	橙3易伤1等级1伤害1时间	17残血敌人2敌人爆炸378易伤4等级5伤害67策反7序列升级9核a时间	1
9	22221 63432	 	249.4	橙2易伤2伤害2时间1等级1暴击	1额外掉落28时间3敌人爆炸48易伤5暴击6等级78伤害8序列升级9策反a核	9
10	61422 21421	 	248.0	橙3易伤2时间2等级1暴击1全技能	17金币生成2全技能3a时间47等级567易伤7序列升级8暴击9核	3
11	12134 41113	 	248.0	橙3易伤2时间1等级2敌人爆炸	19残血敌人24敌人爆炸349易伤49序列升级5金币生成6基地爆炸79时间8核a等级	1
12	22221 63463	*	247.4	橙2易伤3时间2伤害1等级1暴击	1额外掉落289时间3敌人爆炸48易伤5暴击6等级78伤害8序列升级a核	10
13	12142 23612	 	247.1	橙3易伤2时间1等级1全技能	18残血敌人2敌人爆炸389易伤4等级5全技能6掉矿78时间8序列升级a核	1
14	24313 32254	 	246.6	橙3易伤1伤害1时间1暴击2雷电2敌人爆炸	1额外掉落2a雷电3时间46a易伤5暴击7伤害8核9a敌人爆炸a序列升级	1
15	31411 16331	 	246.3	橙2易伤3时间1等级1伤害1暴击	18挖尘2随机矿3伤害48易伤5暴击6等级789时间8序列升级a核	8
16	24313 32263	 	246.2	橙2易伤2时间1等级1伤害1暴击	1额外掉落2雷电3a时间46易伤5暴击7伤害8核9等级	1
17	12134 11113	 	245.8	橙3易伤2时间1等级2敌人爆炸	19残血敌人24敌人爆炸349易伤49序列升级5金币生成6挖尘79时间8核a等级	1
18	22422 61412	*	245.6	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4残血敌人5平台6敌人爆炸7核9a伤害a序列升级	2
19	12143 61632	 	245.1	橙3易伤1等级1伤害1时间	1残血敌人2敌人爆炸379易伤4等级5伤害6核8时间a金币生成	1
20	22451 11412	 	245.1	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4挖尘5敌人爆炸6平台7核9a伤害a序列升级	2
21	23321 63452	 	244.9	橙2易伤2伤害1等级1时间1暴击2敌人爆炸	1额外掉落28敌人爆炸3时间48易伤5暴击6等级78伤害8序列升级9金币生成a核	8
22	32121 12353	 	244.8	橙3易伤1等级1伤害1时间	17挖尘2敌人爆炸378易伤4伤害5等级67策反7序列升级9核a时间	1
23	24313 21511	*	244.5	橙5易伤1等级1时间	1额外掉落24569易伤34掉矿4序列升级7核8等级a时间	7
24	24323 21511	 	244.5	橙5易伤1等级1时间	1额外掉落24569易伤3掉矿7核8等级a时间	7
25	32121 61254	 	244.4	橙2易伤2伤害1等级1时间1暴击	1挖尘2敌人爆炸37易伤49伤害5等级6核8暴击a时间	1
26	12121 61636	 	244.3	橙3易伤1等级1时间1暴击	1残血敌人2敌人爆炸379易伤4攻速5等级6核8时间a暴击	1
27	15523 31321	*	243.9	橙3易伤3时间2等级1全技能	17残血敌人2全技能34等级579易伤67a时间7序列升级8核	3
28	32121 61632	 	243.4	橙3易伤1等级1伤害1时间2敌人爆炸	1挖尘2a敌人爆炸379易伤4伤害5等级6核8时间	1
29	32135 56123	 	243.3	橙2易伤2伤害1等级1时间	19挖尘2敌人爆炸39易伤4攻速5时间6核79伤害8平台9序列升级a等级	1
30	21151 23636	 	243.0	橙3易伤1等级1伤害1时间1暴击	1额外掉落2立即金币3时间4等级5暴击6伤害789易伤a核	6
31	12143 61153	 	242.8	橙3易伤1等级1伤害1时间	19残血敌人2敌人爆炸379易伤4等级5伤害6核89掉矿9序列升级a时间	1
32	24313 32262	 	242.6	橙2易伤1等级1伤害1时间1暴击1核弹	1额外掉落2雷电3时间46易伤5暴击7伤害8核9等级a核弹	1
33	21253 13526	 	242.5	橙2易伤2伤害1等级1时间1全技能	1额外掉落2赏金邻近38伤害4全技能5时间68金币生成78易伤8序列升级9等级a核	1
34	35121 61631	 	242.4	橙3易伤1等级1伤害1时间1全技能	1挖尘2残血敌人379易伤4伤害5等级6核8时间a全技能	1
35	12143 61163	 	242.3	橙3易伤1等级1伤害1时间	1残血敌人2敌人爆炸379易伤4等级5伤害6核8掉矿a时间	1
36	12143 61633	 	242.3	橙3易伤1等级1伤害1时间	1残血敌人2敌人爆炸379易伤4等级5伤害6核8时间a掉矿	1
37	61323 34622	 	242.2	橙2易伤2时间1等级1伤害1暴击1全技能	18金币生成2全技能38易伤4等级5伤害68时间7赏金邻近8序列升级9核a暴击	3
38	22421 11412	 	242.1	橙3易伤2伤害2时间	1额外掉落2a时间38a易伤4残血敌人5基地爆炸6平台7核9a伤害a序列升级	2
39	32121 61635	 	242.0	橙3易伤1等级1伤害1时间	1挖尘2敌人爆炸379易伤4伤害5等级6核8时间a随机矿	1
40	32121 61631	 	242.0	橙3易伤1等级1伤害1时间	1挖尘2敌人爆炸379易伤4伤害5等级6核8时间a双倍矿	1
41	21116 11416	 	242.0	橙3易伤2伤害2时间	1额外掉落2立即金币3a时间46a易伤5策反7核8矿等9a伤害a序列升级	9
42	12143 12354	 	241.9	橙3易伤1等级1伤害	17残血敌人2敌人爆炸378易伤4等级5伤害67策反7序列升级9核a雷电	1
43	32144 22115	 	241.5	橙2易伤3时间1等级1伤害	19挖尘2敌人爆炸39易伤4等级5残血敌人679时间8核9序列升级a伤害	1
44	22443 32263	 	241.2	橙2易伤2时间1等级1伤害1暴击	1额外掉落2a时间36易伤4雷电5暴击7伤害8核9等级	2
45	12133 33561	 	241.0	橙3易伤1伤害3敌人爆炸1时间1暴击	1残血敌人248敌人爆炸347易伤4序列升级5伤害6时间9暴击a核	1
46	12143 61253	 	241.0	橙2易伤2伤害1等级1暴击	1残血敌人2敌人爆炸37易伤4等级59伤害6核8暴击a矿等	1
47	12131 35113	 	241.0	橙3易伤1等级1时间2敌人爆炸	19残血敌人24敌人爆炸349易伤49序列升级5矿等6时间79基地爆炸8核a等级	1
48	24621 22631	*	240.7	橙4易伤1伤害1时间1暴击	1额外掉落2489易伤34策反4序列升级5暴击6伤害7核a时间	6
49	32121 61633	 	240.6	橙3易伤1等级1伤害1时间	1挖尘2敌人爆炸379易伤4伤害5等级6核8时间a金币生成	1
