0	Index      	 *	Score 	Summary	Detail	
1	23416 21313	 * 	343.19	DCR|DCR|2VULN|2MLV|1TLV|1ASPD	1DUST|2ASPD|38MLV|45VULN|6aRCR|7TLV|9LWND
2	23416 21143	 * 	333.59	DCR|DCR|2VULN|1TLV|2ASPD|1MLV	1DUST|29ASPD|3MLV|45VULN|6aRCR|7TLV|8FEWX
3	22216 21443	   	322.82	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2AME|3MLV|45VULN|6aRCR|7TLV|8RMIN|9DMG
4	22516 21343	   	322.82	DCR|DCR|2VULN|1TLV|1MLV|1DMG	1DUST|2AME|3RMIN|45VULN|6aRCR|7TLV|8MLV|9DMG
5	22252 25623	   	319.01	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2AME|3MLV|4TLV|5CGEN|6aRCR|79VULN|8ASPD
6	23416 21213	   	319.01	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3MLV|45VULN|6aRCR|7TLV|8RCVC|9LWND
7	23416 21423	   	319.01	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3MLV|45VULN|6aRCR|7TLV|8RMIN|9AME
8	23216 21423	   	319.01	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3AME|45VULN|6aRCR|7TLV|8RMIN|9MLV
9	23216 21623	   	319.01	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3AME|45VULN|6aRCR|7TLV|8CGEN|9MLV
10	23416 21413	   	318.91	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3MLV|45VULN|6aRCR|7TLV|8RMIN|9ERES
11	23416 21613	   	318.91	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3MLV|45VULN|6aRCR|7TLV|8CGEN|9ERES
12	23216 21313	   	318.91	DCR|DCR|2VULN|1TLV|1MLV|1ASPD	1DUST|2ASPD|3AME|45VULN|6aRCR|7TLV|8MLV|9ERES
13	51661 21322	 * 	315.44	DCR|DCR|3DMG|1VULN|2ASPD|2DUR|1SELL	1TBNT|249DMG|3SELL|49BPWR|59DUR|67RCR|89ASPD|aVULN
14	23354 21353	   	315.12	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1DUST|2ASPD|34LWND|58MLV|6aRCR|7TLV|9VULN
15	23364 21353	   	315.12	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1DUST|2ASPD|3LWND|4DMSP|58MLV|6aRCR|7TLV|9VULN
16	23412 21313	   	315.12	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	1DUST|2ASPD|38MLV|4VULN|5RCVC|6aRCR|7TLV|9LWND
17	23415 21313	   	315.02	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	15DUST|2ASPD|38MLV|4VULN|6aRCR|7TLV|9LWND
18	23154 21353	   	315.02	DCR|DCR|2MLV|1VULN|1TLV|1ASPD	13DUST|2ASPD|4LWND|58MLV|6aRCR|7TLV|9VULN
