0	Index      	 *	Score 	Summary	Detail	
1	25212 26521	 * 	276.98	DCR|DCR|1VULN|1TLV|2DUR|1CDMG	19DUR|2LIT|3VULN|4FRZARM|5TLV|6BEXP|7aRCR|8CDMG
2	31133 61326	 * 	276.66	DCR|2VULN|2MLV|2DMG|1TLV	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9BBNT|aTLV
3	31133 61336	   	276.66	DCR|2VULN|2MLV|2DMG|1TLV	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9TBNT|aTLV
4	31143 62326	   	276.66	DCR|2VULN|2MLV|2DMG|1TLV	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9BBNT|aTLV
5	31143 62336	   	276.66	DCR|2VULN|2MLV|2DMG|1TLV	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9TBNT|aTLV
6	31133 61315	 * 	276.34	DCR|3VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56aVULN|6BPWR|7AEBURN|8RCR|9DUR
7	31143 62315	   	276.34	DCR|3VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56aVULN|6BPWR|8RCR|9DUR
8	25212 26511	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1DUR|29LIT|3VULN|4FRZARM|5TLV|6BEXP|7aRCR|8CDMG
9	31133 65352	   	269.22	DCR|2VULN|2MLV|2DMG|1ASPD	14DMG|2RCVC|36MLV|56VULN|6BPWR|7RPLT|8DUR|9RCR|aASPD
10	31133 61311	   	269.12	DCR|2VULN|2MLV|2DMG|1ASPD	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9DUR|aASPD
11	31143 62311	   	269.12	DCR|2VULN|2MLV|2DMG|1ASPD	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9DUR|aASPD
12	31133 61342	   	268.03	DCR|3VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56aVULN|6BPWR|7AEBURN|8RCR|9ZMB
13	31143 62342	   	268.03	DCR|3VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56aVULN|6BPWR|8RCR|9ZMB
14	31133 61352	   	267.93	DCR|3VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56aVULN|6BPWR|7AEBURN|8RCR|9ERES
15	31143 62352	   	267.93	DCR|3VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56aVULN|6BPWR|8RCR|9ERES
16	31133 61321	 * 	267.00	DCR|3MLV|2VULN|2DMG	14DMG|2RCVC|36aMLV|56VULN|6BPWR|7AEBURN|8RCR|9BBNT
17	31133 61331	   	267.00	DCR|3MLV|2VULN|2DMG	14DMG|2RCVC|36aMLV|56VULN|6BPWR|7AEBURN|8RCR|9TBNT
