0	Index      	 *	Score 	Summary	Detail	
1	33211 45241	 * 	306.53	DCR|DCR|3VULN|1AAC|1CDMG|1SELL	17aVULN|2SELL|3DUR|4ERES|5AAC|68RCR|9CDMG
2	33123 52541	 * 	303.96	DCR|DCR|2TLV|1VULN|1MLV|1SELL	1VULN|2SELL|35TLV|4RPLT|69RCR|7RAT|8DUR|aMLV
3	36261 13352	 * 	302.70	DCR|4VULN|3ASPD|1TLV|3CDMG	189aVULN|2BELT|38aCDMG|4TLV|5LHND|6RCR|78aASPD|8aBPWR
4	33231 45231	 * 	301.61	DCR|DCR|2VULN|1TLV|1AAC|1SELL	19VULN|2SELL|3DUR|4TLV|5AAC|6aRCR|7RPLT|8LIT
5	35621 32351	 * 	298.51	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1VULN|2CGEN|3MBVNT|4TLV|5RMIN|6AAC|79RCR|8RAT|aMLV
6	44411 32351	   	298.51	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2TLV|3CGEN|4VULN|5RMIN|6AAC|79RCR|8RAT|aMLV
7	44611 32351	   	298.51	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MBVNT|2TLV|3AME|4VULN|5RMIN|6AAC|79RCR|8RAT|aMLV
8	62621 32351	   	298.41	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1ERES|2VULN|3MBVNT|4TLV|5RMIN|6AAC|79RCR|8RAT|aMLV
9	33123 52241	 * 	295.55	DCR|DCR|2TLV|1VULN|1MLV|1SELL	1VULN|2SELL|35TLV|4RPLT|69RCR|7RAT|8DUST|aMLV
10	33123 52641	 * 	295.55	DCR|DCR|2TLV|1VULN|1MLV|1SELL	1VULN|2SELL|35TLV|4RPLT|69RCR|7RAT|8LEGI|aMLV
11	44427 43271	   	294.64	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1MBVNT|2TLV|3CGEN|4LIT|5DMG|6MLV|7NUKE|8VULN|9aRCR
12	42418 37223	 * 	293.49	DCR|DCR|2TLV|1VULN|2ASPD	1MBVNT|28ASPD|38BEXP|4BELT|58TLV|6aRCR|7RPLT|8BPWR|9VULN
13	33111 45231	 * 	293.30	DCR|DCR|2VULN|1TLV|1AAC|1SELL	19VULN|2SELL|3TLV|4FEWX|5AAC|6aRCR|7RPLT|8LIT
14	33431 45231	 * 	293.20	DCR|DCR|2VULN|1TLV|1AAC|1SELL	19VULN|2SELL|3BEXP|4TLV|5AAC|6aRCR|7RPLT|8LIT
15	44358 41331	 * 	292.61	DCR|DCR|2VULN|1TLV|1ASPD	1MBVNT|2TLV|39VULN|4BEXP|5LIT|6aRCR|7NUKE|8ASPD
