0	Index      	 *	Score 	Summary	Detail	
1	23226 62322	 * 	350.41	DCR|DCR|3VULN|2MLV|1TLV	134VULN|2LHND|58MLV|6aRCR|7BEXP|9TLV
2	23226 33122	 * 	338.56	DCR|DCR|4VULN|2MLV	1348VULN|2LHND|58MLV|68AEWIND|7aRCR|8BPWR|9AME
3	23222 33122	 * 	334.44	DCR|DCR|4VULN|2TLV	1348VULN|2LHND|58TLV|68AEWIND|7aRCR|8BPWR|9AME
4	23256 33122	   	334.44	DCR|DCR|4VULN|2TLV	1358VULN|2LHND|48TLV|68AEWIND|7aRCR|8BPWR|9AME
5	22223 61352	   	334.43	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2DUR|5BEXP|6aRCR|7TLV|8MLV|9AEPOI
6	22223 61362	   	334.43	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2DUR|5BEXP|6aRCR|7TLV|8MLV|9AEFRZ
7	22224 61352	   	334.43	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2DUR|5DUST|6aRCR|7TLV|8MLV|9AEPOI
8	22224 61362	   	334.43	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2DUR|5DUST|6aRCR|7TLV|8MLV|9AEFRZ
9	22253 66112	   	328.57	DCR|DCR|4VULN|1TLV	1378VULN|2DUR|4TLV|5AME|6aRCR|9LWND
10	22253 66122	   	328.57	DCR|DCR|4VULN|1TLV	1378VULN|2DUR|4TLV|5AME|6aRCR|9LHND
11	23116 61116	 * 	328.46	DCR|5VULN|3MLV|2DMG	1589aVULN|2LHND|349MLV|6RCR|79DMG|9BPWR
12	23116 61112	   	327.70	DCR|4VULN|3MLV|2DMG|1AAC	1589VULN|2LHND|349MLV|6RCR|79DMG|9BPWR|aAAC
13	23116 61111	   	327.06	DCR|4VULN|3MLV|2DMG|1ASPD	1589VULN|2LHND|349MLV|6RCR|79DMG|9BPWR|aASPD
14	23116 43522	   	327.04	DCR|DCR|2VULN|2MLV|1TLV	15VULN|26LHND|34MLV|7aRCR|8LWND|9TLV
15	23116 33522	   	326.94	DCR|DCR|2VULN|2MLV|1TLV	15VULN|2LHND|34MLV|6AEWIND|7aRCR|8LWND|9TLV
16	23116 43222	   	326.94	DCR|DCR|2VULN|2MLV|1TLV	15VULN|26LHND|34MLV|7aRCR|8BEXP|9TLV
17	14116 33522	   	326.84	DCR|DCR|2VULN|2MLV|1TLV	1BEXP|25VULN|34MLV|6AEWIND|7aRCR|8LWND|9TLV
18	23116 33222	   	326.84	DCR|DCR|2VULN|2MLV|1TLV	15VULN|2LHND|34MLV|6AEWIND|7aRCR|8BEXP|9TLV
19	23126 62322	   	326.84	DCR|DCR|2VULN|2MLV|1TLV	15VULN|2LHND|38MLV|4AEBURN|6aRCR|7BEXP|9TLV
20	44116 33222	   	326.84	DCR|DCR|2VULN|2MLV|1TLV	1LHND|25VULN|34MLV|6AEWIND|7aRCR|8BEXP|9TLV
21	23226 43522	   	326.32	DCR|DCR|3VULN|1TLV|1MLV	134VULN|26LHND|5MLV|7aRCR|8LWND|9TLV
22	23226 33522	   	326.22	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5MLV|6AEWIND|7aRCR|8LWND|9TLV
23	23226 43222	   	326.22	DCR|DCR|3VULN|1TLV|1MLV	134VULN|26LHND|5MLV|7aRCR|8BEXP|9TLV
24	14226 33522	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	1BEXP|234VULN|5MLV|6AEWIND|7aRCR|8LWND|9TLV
25	23222 62352	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5TLV|6aRCR|7BEXP|8MLV|9AEPOI
26	23222 62362	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5TLV|6aRCR|7BEXP|8MLV|9AEFRZ
27	23223 61352	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5BEXP|6aRCR|7TLV|8MLV|9AEPOI
28	23223 61362	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5BEXP|6aRCR|7TLV|8MLV|9AEFRZ
29	23224 61352	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5DUST|6aRCR|7TLV|8MLV|9AEPOI
30	23224 61362	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5DUST|6aRCR|7TLV|8MLV|9AEFRZ
31	23226 33222	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	134VULN|2LHND|5MLV|6AEWIND|7aRCR|8BEXP|9TLV
32	44226 33222	   	326.12	DCR|DCR|3VULN|1TLV|1MLV	1LHND|234VULN|5MLV|6AEWIND|7aRCR|8BEXP|9TLV
33	14224 61332	   	326.02	DCR|DCR|3VULN|1TLV|1MLV	19BEXP|234VULN|5DUST|6aRCR|7TLV|8MLV
34	22252 61512	   	322.60	DCR|DCR|3VULN|2TLV	138VULN|2DUR|47TLV|5CGEN|6aRCR|9LWND
35	22252 61522	   	322.60	DCR|DCR|3VULN|2TLV	138VULN|2DUR|47TLV|5CGEN|6aRCR|9LHND
36	22253 61112	   	322.60	DCR|DCR|3VULN|2TLV	138VULN|2DUR|47TLV|5AME|6aRCR|9LWND
37	22253 61122	   	322.60	DCR|DCR|3VULN|2TLV	138VULN|2DUR|47TLV|5AME|6aRCR|9LHND
