0	Index      	 *	Score 	Summary	Detail	
1	62411 22621	 * 	284.55	DCR|DCR|2VULN|2CDMG|1ASPD	19VULN|2ASPD|3BBNT|49CDMG|5LHND|6DUR|79LWND|8aRCR|9BPWR
2	62281 14435	 * 	276.16	DCR|3VULN|2MLV|2ASPD|1AAC	189VULN|2aASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR
3	21221 84763	 * 	275.04	DCR|DCR|2TLV|1VULN	1RAT|2MBVNT|3DUR|4TBNT|5RPLT|69RCR|7aTLV|8VULN
4	21241 84763	   	275.04	DCR|DCR|2TLV|1VULN	1RAT|2MBVNT|3DUR|4BBNT|5RPLT|69RCR|7aTLV|8VULN
5	12235 82327	 * 	274.98	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5DUR|6AME|7AART|8aRCR|9VULN
6	12281 32317	   	270.18	DCR|DCR|1VULN|1TLV|1ASPD	15LHND|2ASPD|3MBVNT|4FEWX|6VULN|7AART|8aRCR|9TLV
7	62284 11831	 * 	270.11	ACR|3VULN|3ASPD|1TLV|1MLV|3DUR	18aVULN|28aASPD|3MBVNT|4MLV|5RCR|6TLV|78aDUR|8aBPWR|9AART
8	12283 32317	   	270.08	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2ASPD|3MBVNT|4FEWX|5AEPOI|6VULN|7AART|8aRCR|9TLV
9	62281 14434	   	269.88	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aDUR
10	12234 13878	 * 	269.82	ACR|DCR|2MLV|2TLV|1ASPD	18LHND|2ASPD|3MBVNT|48MLV|5aRCR|68TLV|7RPLT|8BPWR|9AART
11	62281 14431	   	268.51	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aRAT
12	53431 33824	   	268.51	DCR|DCR|1VULN|1TLV|1ASPD	1MDPS|2SPLREG|3ASPD|4RAT|5TLV|6BLAICY|7MBVNT|89RCR|aVULN
13	62281 21128	 * 	267.35	DCR|2VULN|2MLV|3ASPD|1AAC	1aVULN|26aASPD|3MBVNT|46MLV|5AAC|6aBPWR|7CGEN|8aLHND|9RCR
14	11231 14417	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2CGEN|3MBVNT|4MLV|5AAC|6aRCR|7FEWX|8VULN|9AART
15	11231 15617	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2CGEN|3MBVNT|4MLV|5AAC|6aRCR|7LWND|8VULN|9AART
16	11231 17417	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2CGEN|3MBVNT|4MLV|5AAC|6aRCR|7VULN|8FEWX|9AART
17	16231 14417	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2AME|3MBVNT|4MLV|5AAC|6aRCR|7FEWX|8VULN|9AART
18	16231 17417	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2AME|3MBVNT|4MLV|5AAC|6aRCR|7VULN|8FEWX|9AART
19	11231 15527	   	267.32	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2CGEN|3MBVNT|4MLV|5AAC|6aRCR|7LWND|8AART|9VULN
20	62281 22128	   	267.25	DCR|2VULN|2MLV|3ASPD|1AAC	1aVULN|26aASPD|3MBVNT|46MLV|5AAC|6aBPWR|7ERES|8aLHND|9RCR
21	16231 62327	   	267.22	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2AME|3MBVNT|4MLV|5AAC|6DUST|7AART|8aRCR|9VULN
22	11231 62837	   	267.22	DCR|DCR|1VULN|1MLV|1AAC	1LHND|2CGEN|3MBVNT|4MLV|5AAC|6DUST|7AART|8VULN|9aRCR
23	12232 14417	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5CGEN|6aRCR|7FEWX|8VULN|9AART
24	12232 15617	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5CGEN|6aRCR|7LWND|8VULN|9AART
25	12232 17417	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5CGEN|6aRCR|7VULN|8FEWX|9AART
26	62282 12417	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	1VULN|2ASPD|3MBVNT|4MLV|5CGEN|6aRCR|7LHND|8FEWX|9AART
27	12232 15527	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5CGEN|6aRCR|7LWND|8AART|9VULN
28	12238 82317	 * 	266.67	DCR|DCR|1TLV|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5FEWX|6AME|7AART|8aRCR|9TLV
29	12238 82327	   	266.67	DCR|DCR|1VULN|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5FEWX|6AME|7AART|8aRCR|9VULN
30	62281 53321	 * 	265.34	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|1ASPD|1SELL	1aVULN|2ASPD|3MBVNT|4MLV|5AAC|6SELL|7DMG|8TLV|9RCR
31	53431 33823	   	265.01	DCR|DCR|1TLV|1MLV|1ASPD	1MDPS|2SPLREG|3ASPD|4RAT|5TLV|6BLAICY|7MBVNT|89RCR|aMLV
32	62282 71244	 * 	264.75	DCR|3VULN|2MLV|1DMG|1ASPD	168VULN|2ASPD|3MBVNT|48MLV|578CGEN|8BPWR|9RCR|aDMG
33	64311 21532	 * 	264.29	DCR|5VULN|2MLV	1689aVULN|2BEXP|3BBNT|4DUST|56MLV|6BPWR|7RCR
34	61325 42223	   	263.56	DCR|DCR|2VULN|1AAC	16VULN|2CGEN|3LIT|4BBNT|5RAT|7AAC|8AEBURN|9aRCR
35	34115 12423	   	263.02	DCR|DCR|2VULN|1ASPD	1LIT|25VULN|3RCVC|4CGEN|6ASPD|7BBNT|8RAT|9aRCR
36	34315 12423	   	263.02	DCR|DCR|2VULN|1ASPD	13LIT|25VULN|4CGEN|6ASPD|7BBNT|8RAT|9aRCR
37	63115 12423	   	263.02	DCR|DCR|2VULN|1ASPD	15VULN|2LIT|3RCVC|4CGEN|6ASPD|7BBNT|8RAT|9aRCR
38	63315 12423	   	263.02	DCR|DCR|2VULN|1ASPD	15VULN|23LIT|4CGEN|6ASPD|7BBNT|8RAT|9aRCR
39	43215 12423	   	262.92	DCR|DCR|2VULN|1ASPD	1AEWIND|2LIT|35VULN|4CGEN|6ASPD|7BBNT|8RAT|9aRCR
40	21814 81222	 * 	262.24	DCR|2VULN|1TLV|1MLV|2CDMG|1ASPD|2RAT	16RAT|2MBVNT|37VULN|4ASPD|56CDMG|6BPWR|8TLV|9RCR|aMLV
41	62281 11813	   	262.13	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1aVULN|2ASPD|3MBVNT|4MLV|5AAC|6RCR|7DUR|8AART|9TLV
42	12234 14417	 * 	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5aRCR|6TLV|7FEWX|8VULN|9AART
43	12234 15547	   	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5aRCR|6TLV|7LWND|8AART|9VULN
44	12234 15617	   	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5aRCR|6TLV|7LWND|8VULN|9AART
45	12234 17417	   	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5aRCR|6TLV|7VULN|8FEWX|9AART
46	12234 38417	   	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2ASPD|3MBVNT|4MLV|5aRCR|6FEWX|7TLV|8VULN|9AART
47	62284 12417	   	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1VULN|2ASPD|3MBVNT|4MLV|5aRCR|6TLV|7LHND|8FEWX|9AART
