0	Index      	 *	Score 	Summary	Detail	
1	42336 23141	 * 	303.08	DCR|2VULN|3DMG|3ASPD|1TLV|1AAC	1RCVC|239ASPD|4TLV|5AAC|69VULN|7RCR|89aDMG|9BPWR
2	21224 16613	 * 	302.66	DCR|DCR|2VULN|1TLV|1MLV	1LWND|2TLV|34VULN|5MLV|6AEBURN|7aRCR|8MBVNT|9FEWX
3	21224 16643	   	302.66	DCR|DCR|2VULN|1TLV|1MLV	1LWND|2TLV|34VULN|5MLV|6AEBURN|7aRCR|8MBVNT|9LHND
4	21224 36613	   	302.66	DCR|DCR|2VULN|1TLV|1MLV	1LWND|2TLV|34VULN|5MLV|6AEFRZ|7aRCR|8MBVNT|9FEWX
5	21224 36643	   	302.66	DCR|DCR|2VULN|1TLV|1MLV	1LWND|2TLV|34VULN|5MLV|6AEFRZ|7aRCR|8MBVNT|9LHND
6	44213 22143	 * 	300.66	ACR|DCR|2VULN|3TLV|2DMG	1RCVC|259TLV|3RMIN|4aRCR|59BPWR|6ZMB|79VULN|89DMG
7	61211 34413	 * 	297.06	DCR|DCR|2MLV|1TLV|1AAC|1ASPD	1TBNT|2AAC|34MLV|5AEWIND|6ASPD|7ZMB|8TLV|9aRCR
8	26316 18123	 * 	294.75	DCR|DCR|2VULN|2MLV	1LWND|23VULN|4DUST|58MLV|6MBVNT|7aRCR|9TBNT
9	26316 18223	 * 	294.03	DCR|DCR|3VULN|1MLV	1LWND|238VULN|4DUST|5MLV|6MBVNT|7aRCR|9TBNT
10	21221 36453	   	293.55	DCR|DCR|2VULN|1TLV|1AAC	158LWND|2TLV|34VULN|6AAC|7aRCR|9ZMB
11	42336 23142	   	287.42	DCR|2VULN|3ASPD|2DMG|1TLV|1AAC	1RCVC|239ASPD|4TLV|5AAC|69VULN|7RCR|89DMG|9BPWR|aTBNT
12	42336 23143	   	287.42	DCR|2VULN|3ASPD|2DMG|1TLV|1AAC	1RCVC|239ASPD|4TLV|5AAC|69VULN|7RCR|89DMG|9BPWR|aLWND
13	23226 63523	 * 	284.86	DCR|DCR|2VULN|2AAC	1LWND|2ZMB|34VULN|57AAC|6aRCR|8FEWX|9DUR
14	12134 13214	   	284.55	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1SELL	1DUST|2LIT|3TLV|4VULN|5DMG|6ASPD|7aRCR|8SELL|9RMIN
15	21224 16335	 * 	279.26	DCR|3VULN|2MLV|1TLV|1AAC	1LWND|2TLV|34aVULN|58MLV|6AEBURN|7RCR|9AAC
16	21224 36335	   	279.26	DCR|3VULN|2MLV|1TLV|1AAC	1LWND|2TLV|34aVULN|58MLV|6AEFRZ|7RCR|9AAC
17	21223 16315	 * 	278.40	DCR|4VULN|1TLV|1MLV|1DMG	1LWND|2TLV|349aVULN|5DMG|6AEBURN|7RCR|8MLV
18	21223 36315	   	278.40	DCR|4VULN|1TLV|1MLV|1DMG	1LWND|2TLV|349aVULN|5DMG|6AEFRZ|7RCR|8MLV
19	26333 16315	   	278.40	DCR|4VULN|1TLV|1MLV|1DMG	1LWND|239aVULN|4TLV|5DMG|6AEBURN|7RCR|8MLV
20	26333 36315	   	278.40	DCR|4VULN|1TLV|1MLV|1DMG	1LWND|239aVULN|4TLV|5DMG|6AEFRZ|7RCR|8MLV
21	41231 18383	   	276.46	DCR|DCR|2VULN|1TLV	1RCVC|2BEXP|39VULN|4TLV|5LWND|6MBVNT|7aRCR|8TBNT
22	42331 26241	 * 	276.41	DCR|3VULN|3ASPD|1TLV|1DMG	1RCVC|239ASPD|4TLV|589VULN|69LHND|7RCR|9BPWR|aDMG
23	12131 63216	   	275.86	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1DUST|2LIT|3TLV|49VULN|5AAC|6aMLV|7RCR|8DMG
24	21223 16335	 * 	275.84	DCR|3VULN|2DMG|1TLV|1MLV	1LWND|2TLV|34aVULN|59DMG|6AEBURN|7RCR|8MLV
25	21223 36335	   	275.84	DCR|3VULN|2DMG|1TLV|1MLV	1LWND|2TLV|34aVULN|59DMG|6AEFRZ|7RCR|8MLV
26	26333 16335	   	275.84	DCR|3VULN|2DMG|1TLV|1MLV	1LWND|23aVULN|4TLV|59DMG|6AEBURN|7RCR|8MLV
27	26333 36335	   	275.84	DCR|3VULN|2DMG|1TLV|1MLV	1LWND|23aVULN|4TLV|59DMG|6AEFRZ|7RCR|8MLV
28	21221 36315	   	275.33	DCR|4VULN|1TLV|1MLV|1AAC	15LWND|2TLV|349aVULN|6AAC|7RCR|8MLV
29	26331 36315	   	275.33	DCR|4VULN|1TLV|1MLV|1AAC	15LWND|239aVULN|4TLV|6AAC|7RCR|8MLV
30	21224 16235	   	275.23	DCR|4VULN|1TLV|1MLV|1AAC	1LWND|2TLV|348aVULN|5MLV|6AEBURN|7RCR|9AAC
31	21224 36235	   	275.23	DCR|4VULN|1TLV|1MLV|1AAC	1LWND|2TLV|348aVULN|5MLV|6AEFRZ|7RCR|9AAC
32	21226 16315	   	275.23	DCR|4VULN|1TLV|1MLV|1AAC	1LWND|2TLV|349aVULN|5AAC|6AEBURN|7RCR|8MLV
33	21226 36315	   	275.23	DCR|4VULN|1TLV|1MLV|1AAC	1LWND|2TLV|349aVULN|5AAC|6AEFRZ|7RCR|8MLV
34	21234 16613	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1LWND|2TLV|3VULN|4AEFBLL|5MLV|6AEBURN|7aRCR|8MBVNT|9FEWX
35	21234 16643	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1LWND|2TLV|3VULN|4AEFBLL|5MLV|6AEBURN|7aRCR|8MBVNT|9LHND
36	21234 36613	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1LWND|2TLV|3VULN|4AEFBLL|5MLV|6AEFRZ|7aRCR|8MBVNT|9FEWX
37	21234 36643	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1LWND|2TLV|3VULN|4AEFBLL|5MLV|6AEFRZ|7aRCR|8MBVNT|9LHND
