0	Index      	 *	Score 	Summary	Detail	
1	33314 52335	 * 	308.24	DCR|DCR|3VULN|2TLV	1DLOT|2RPLT|35TLV|456VULN|5BPWR|7TBNT|8BBNT|9aRCR
2	21461 12214	 * 	304.94	DCR|DCR|1VULN|1TLV|2ASPD|1MLV	1LHND|2DLOT|3ERES|45ASPD|6MLV|7aRCR|8VULN|9TLV
3	36513 22114	   	294.27	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1DLOT|2MLV|3DMG|4FEWX|5TLV|6DMSP|7aRCR|8CGEN|9VULN
4	31515 12214	   	294.17	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1DLOT|2ERES|3DMG|45FEWX|6MLV|7aRCR|8VULN|9TLV
5	36612 12214	   	293.97	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1DLOT|2MLV|36ERES|4BEXP|5DMG|7aRCR|8VULN|9TLV
6	34315 12114	   	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2AAC|3TLV|45FEWX|6MLV|7aRCR|8CGEN|9VULN
7	36315 22214	   	291.10	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2MLV|3AAC|45FEWX|6RMIN|7aRCR|8VULN|9TLV
8	31315 12214	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2ERES|3AAC|45FEWX|6MLV|7aRCR|8VULN|9TLV
9	34313 12114	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2AAC|3TLV|4FEWX|5AEFBLL|6MLV|7aRCR|8CGEN|9VULN
10	34313 12254	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2AAC|3TLV|4FEWX|5AEFBLL|6MLV|7aRCR|8VULN|9RMIN
11	34323 12114	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2AAC|3TLV|4RMIN|5ERES|6MLV|7aRCR|8CGEN|9VULN
12	36313 22214	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2MLV|3AAC|4FEWX|5AEFBLL|6RMIN|7aRCR|8VULN|9TLV
13	36313 32514	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2MLV|3AAC|4FEWX|5AEFBLL|6CGEN|7aRCR|8VULN|9TLV
14	36323 62114	   	291.00	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2MLV|3AAC|4RMIN|5ERES|6TLV|7aRCR|8CGEN|9VULN
15	31313 12214	   	290.90	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2ERES|3AAC|4FEWX|5AEFBLL|6MLV|7aRCR|8VULN|9TLV
16	34363 12114	   	290.90	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2AAC|3TLV|4DUST|5AEFBLL|6MLV|7aRCR|8CGEN|9VULN
17	36363 22214	   	290.90	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2MLV|3AAC|4DUST|5AEFBLL|6RMIN|7aRCR|8VULN|9TLV
18	31363 12214	   	290.80	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1DLOT|2ERES|3AAC|4DUST|5AEFBLL|6MLV|7aRCR|8VULN|9TLV
19	21463 12214	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2DLOT|3ERES|4ASPD|5RCVC|6MLV|7aRCR|8VULN|9TLV
20	21462 12214	   	290.26	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2DLOT|35ERES|4ASPD|6MLV|7aRCR|8VULN|9TLV
21	36611 12214	   	290.16	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1DLOT|2MLV|36ERES|4BEXP|5ASPD|7aRCR|8VULN|9TLV
22	33314 12335	   	286.10	DCR|DCR|2VULN|2TLV	1DLOT|26RPLT|35TLV|45VULN|5BPWR|7TBNT|8BBNT|9aRCR
23	36313 32314	 * 	284.82	DCR|DCR|2MLV|1TLV|1AAC	1DLOT|28MLV|3AAC|4FEWX|58AEFBLL|68CGEN|7aRCR|8BPWR|9TLV
24	36363 32314	   	284.72	DCR|DCR|2MLV|1TLV|1AAC	1DLOT|28MLV|3AAC|4DUST|58AEFBLL|68CGEN|7aRCR|8BPWR|9TLV
25	36213 11124	   	284.04	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	14DLOT|2MLV|3VULN|5DMG|6DUR|7aRCR|8CDMG|9LHND
26	36213 11144	   	283.94	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	14DLOT|2MLV|3VULN|5DMG|6DUR|7aRCR|8CDMG|9BEXP
27	32232 12514	   	282.42	DCR|DCR|1VULN|1TLV|1MLV	1DLOT|2DUR|3DMSP|4NUKE|5CGEN|6MLV|7aRCR|8VULN|9TLV
28	32233 12214	   	282.32	DCR|DCR|1VULN|1TLV|1MLV	1DLOT|2DUR|3DMSP|4NUKE|5ERES|6MLV|7aRCR|8VULN|9TLV
