0	Index      	 *	Score 	Summary	Detail	
1	52324 32111	 * 	303.44	DCR|DCR|2TLV|1VULN|1MLV|2DUR	1RPLT|25DUR|35TLV|4RMIN|5BPWR|6aRCR|7MLV|8TBNT|9VULN
2	14323 14521	   	295.85	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1AEFRZ|2BEXP|3DUR|4TLV|5DMG|6AART|78RCR|9CDMG|aVULN
3	41633 32213	   	292.08	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1CDMG	1DMG|2FEWX|3MLV|4ASPD|5CDMG|69RCR|7MDPS|8ZMB|aVULN
4	41633 36111	   	292.08	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1CDMG	1DMG|2FEWX|3MLV|4ASPD|5CDMG|6aRCR|7BEXP|8TBNT|9VULN
5	11411 61111	 * 	291.47	DCR|DCR|3MLV|1VULN	1AEFRZ|257MLV|3DMSP|4BBNT|6aRCR|8RPLT|9VULN
6	11611 61111	   	291.37	DCR|DCR|3MLV|1VULN	1AEFRZ|257MLV|3AEWIND|4BBNT|6aRCR|8RPLT|9VULN
7	52323 32111	   	289.17	DCR|DCR|1VULN|1TLV|1MLV|2DUR	1RPLT|25DUR|3TLV|4RMIN|6aRCR|7MLV|8TBNT|9VULN
8	14323 14511	   	289.14	DCR|DCR|1VULN|1TLV|1DMG	1AEFRZ|2BEXP|3DUR|4TLV|5DMG|6AART|78RCR|9RAT|aVULN
9	51324 32111	   	288.58	DCR|DCR|2TLV|1VULN|1MLV	1RPLT|25LHND|35TLV|4RMIN|5BPWR|6aRCR|7MLV|8TBNT|9VULN
10	31211 66112	 * 	285.37	DCR|DCR|2VULN|1TLV|1CDMG	1BELT|29VULN|3RPLT|4MULHEA|5CDMG|6TLV|7aRCR|8MBVNT
11	65313 13211	   	282.52	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2DUR|3TLV|4MLV|5RPLT|6aRCR|7AME|8LHND|9VULN
12	12511 34212	   	282.52	DCR|DCR|1VULN|1TLV|1MLV	1AEFRZ|2LWND|3DUR|4RPLT|5VULN|69RCR|7TLV|8ZMB|aMLV
13	25253 13521	   	281.33	DCR|DCR|3MLV|1CDMG	1DUR|2TBNT|3ZMB|4NUKE|5CDMG|6aRCR|789MLV
14	33162 33543	   	280.23	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|37VULN|4FEWX|5TLV|6DUR|89RCR|aCGEN
15	33332 53543	   	280.23	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|3DUR|4FEWX|5TLV|67VULN|89RCR|aCGEN
16	56153 12211	   	280.23	DCR|DCR|2VULN|1TLV	1RPLT|2CGEN|39VULN|4DUR|5BBNT|6aRCR|7TLV|8RMIN
17	12511 34213	   	280.13	DCR|DCR|2VULN|1TLV	1AEFRZ|2LWND|3DUR|4RPLT|5aVULN|69RCR|7TLV|8ZMB
18	33162 33541	   	280.13	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|37VULN|4FEWX|5TLV|6DUR|89RCR|aAEWIND
19	33162 33542	   	280.13	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|37VULN|4FEWX|5TLV|6DUR|89RCR|aDUST
20	33332 53541	   	280.13	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|3DUR|4FEWX|5TLV|67VULN|89RCR|aAEWIND
21	33332 53542	   	280.13	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|3DUR|4FEWX|5TLV|67VULN|89RCR|aDUST
22	33132 63543	   	280.13	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|37VULN|4DUST|5TLV|6DUR|89RCR|aLWND
23	33322 53543	   	280.13	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|3DUR|4LEGI|5TLV|67VULN|89RCR|aCGEN
24	33132 63541	   	280.03	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|37VULN|4DUST|5TLV|6DUR|89RCR|aAEWIND
25	33132 63542	   	280.03	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|37VULN|4aDUST|5TLV|6DUR|89RCR
26	33322 53541	   	280.03	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|3DUR|4LEGI|5TLV|67VULN|89RCR|aAEWIND
27	33322 53542	   	280.03	DCR|DCR|2VULN|1TLV	1BELT|2RMIN|3DUR|4LEGI|5TLV|67VULN|89RCR|aDUST
28	26322 26611	   	278.35	DCR|DCR|2TLV|1MLV|1CDMG	1DUR|2CGEN|34TLV|5BBNT|6CDMG|7aRCR|8MLV|9FRZICY
29	26322 26621	   	278.25	DCR|DCR|2TLV|1MLV|1CDMG	1DUR|2CGEN|34TLV|5BBNT|6CDMG|7aRCR|8MLV|9CANARM
30	41633 32316	   	276.88	DCR|DCR|1MLV|1DMG|1AAC|1ASPD|1CDMG	1DMG|2FEWX|3MLV|4ASPD|5CDMG|6aRCR|7MDPS|8RMIN|9AAC
31	41633 32214	 * 	274.57	DCR|DCR|2ASPD|1MLV|1DMG|1CDMG	1DMG|2FEWX|3MLV|4aASPD|5CDMG|69RCR|7MDPS|8ZMB
32	55122 13521	   	274.23	DCR|DCR|3MLV|2DUR	1RPLT|2TBNT|34DUR|5AEFRZ|6aRCR|789MLV
33	12211 34212	   	274.21	DCR|DCR|1VULN|1TLV|1MLV	1AEFRZ|2LWND|3FEWX|4RPLT|5VULN|69RCR|7TLV|8ZMB|aMLV
34	63313 13211	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2BEXP|3TLV|4MLV|5RPLT|6aRCR|7AME|8LHND|9VULN
35	64313 13211	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2LHND|3TLV|4MLV|5RPLT|6aRCR|7AME|8LEGI|9VULN
36	64313 13311	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2LHND|3TLV|4MLV|5RPLT|6aRCR|7AME|8BEXP|9VULN
37	66313 13211	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2DUST|3TLV|4MLV|5RPLT|6aRCR|7AME|8LHND|9VULN
