0	Index      	 *	Score 	Summary	Detail	
1	25531 22223	 * 	297.09	橙2等级2易伤1伤害1毒气减费1攻速1暴击	18散射对喷气2伤害38等级4技能5攻速6暴击78易伤8序列升级9毒气减费a核
2	55531 22223	   	297.09	橙2等级2易伤1伤害1毒气减费1攻速1暴击	18导弹对毒2伤害38等级4技能5攻速6暴击78易伤8序列升级9毒气减费a核
3	21353 11363	 * 	284.01	橙2等级2易伤2伤害	1散射对喷气2立即金币3a易伤4随机技能5时间6a伤害7基地爆炸8a等级9核a序列升级
4	21353 12363	   	284.01	橙2等级2易伤2伤害	1散射对喷气2立即金币3a易伤4随机技能5时间6a伤害7敌人爆炸8a等级9核a序列升级
5	51353 11363	   	284.01	橙2等级2易伤2伤害	1导弹对毒2立即金币3a易伤4随机技能5时间6a伤害7基地爆炸8a等级9核a序列升级
6	51353 12363	   	284.01	橙2等级2易伤2伤害	1导弹对毒2立即金币3a易伤4随机技能5时间6a伤害7敌人爆炸8a等级9核a序列升级
7	42332 84214	 * 	274.42	橙3易伤2等级1烈焰减费	1a低血量敌人2技能点3加一46a易伤5烈焰减费7风暴减费8a等级9核a序列升级
8	65311 23132	 * 	273.86	橙3易伤1等级1火球减费2时间	1基地爆炸24时间349易伤4序列升级5等级6策反7散射对喷气8火球减费a核
9	21353 31363	 * 	272.46	橙2等级2易伤2攻速	1散射对喷气2立即金币3a易伤4随机技能5时间6a攻速7基地爆炸8a等级9核a序列升级
10	21353 32363	   	272.46	橙2等级2易伤2攻速	1散射对喷气2立即金币3a易伤4随机技能5时间6a攻速7敌人爆炸8a等级9核a序列升级
11	51353 31363	   	272.46	橙2等级2易伤2攻速	1导弹对毒2立即金币3a易伤4随机技能5时间6a攻速7基地爆炸8a等级9核a序列升级
12	51353 32363	   	272.46	橙2等级2易伤2攻速	1导弹对毒2立即金币3a易伤4随机技能5时间6a攻速7敌人爆炸8a等级9核a序列升级
13	15311 63132	 * 	271.68	橙3易伤1等级1火球减费1伤害2时间1挖怪	1挖怪24时间349易伤4序列升级5等级6伤害7散射对喷气8火球减费a核
14	66327 42124	 * 	270.51	橙橙2等级1伤害	1基地爆炸24等级3加一5随机技能6随机矿7a核8时间9伤害
15	66384 42124	   	270.51	橙橙2等级1伤害	1基地爆炸25等级3加一4随机技能6随机矿7a核8时间9伤害
16	16343 17271	 * 	270.02	橙3易伤2等级2暴击1全技能2挖怪	19挖怪2a等级3加一49暴击5全技能6核789易伤9序列升级
17	16116 21236	 * 	268.66	橙3等级2易伤1伤害2随机技能1挖怪	1挖怪267等级3伤害4策反56随机技能6序列升级8核9a易伤
