0	Index      	 *	Score 	Summary	Detail	
1	52113 14161	 * 	285.49	橙橙2易伤1攻速1暴击1平台	14易伤2攻速3挖尘5低血量敌人6暴击7喷火对愈8a核9平台
2	53113 14161	   	271.84	橙橙2易伤1暴击1平台	14易伤2技能3挖尘5低血量敌人6暴击7喷火对愈8a核9平台
3	41233 14161	 * 	263.89	橙橙2伤害1矿等1暴击1平台	1随机矿23伤害3序列升级4矿等5双倍秒伤6暴击7电塔对甲8a核9平台
4	13331 13343	 * 	263.56	橙5易伤1伤害1暴击	1赏金塔2368a易伤4暴击5时间7核9伤害
5	33331 13343	   	263.56	橙5易伤1伤害1暴击	1赏金邻近2368a易伤4暴击5时间7核9伤害
6	13331 13154	 * 	258.46	橙4易伤2攻速2暴击	1赏金塔236a易伤4a暴击5时间7核8基地爆炸9a攻速a序列升级
7	33331 13154	   	258.46	橙4易伤2攻速2暴击	1赏金邻近236a易伤4a暴击5时间7核8基地爆炸9a攻速a序列升级
8	13331 13254	   	258.36	橙4易伤2攻速2暴击	1赏金塔236a易伤4a暴击5时间7核8挖尘9a攻速a序列升级
9	33331 13254	   	258.36	橙4易伤2攻速2暴击	1赏金邻近236a易伤4a暴击5时间7核8挖尘9a攻速a序列升级
10	13315 12366	 * 	257.35	橙3易伤2伤害2攻速1全技能	1赏金塔23a易伤46攻速5a基地爆炸7全技能8a伤害9核a序列升级
11	33315 12366	   	257.35	橙3易伤2伤害2攻速1全技能	1赏金邻近23a易伤46攻速5a基地爆炸7全技能8a伤害9核a序列升级
12	16321 12166	   	257.15	橙3易伤2伤害2攻速1全技能	1赏金塔24a挖尘345易伤4a序列升级6a伤害7全技能8a攻速9核
13	36321 12166	   	257.15	橙3易伤2伤害2攻速1全技能	1赏金邻近24a挖尘345易伤4a序列升级6a伤害7全技能8a攻速9核
14	52111 12366	   	257.15	橙3易伤2伤害2攻速1全技能	14a易伤26攻速3a挖尘5赏金邻近7全技能8a伤害9核a序列升级
15	13341 12616	 * 	256.59	橙4易伤2伤害2时间	1赏金塔235a易伤4最后敌人6a伤害7a时间8赏金邻近9核a序列升级
16	33341 12616	   	256.59	橙4易伤2伤害2时间	1赏金邻近235a易伤4最后敌人6a伤害7a时间8赏金塔9核a序列升级
17	52214 23131	 * 	256.25	橙2易伤3矿等1伤害2时间1攻速	18易伤2攻速378矿等4敌人爆炸5伤害68时间8序列升级9随机矿a核
18	52214 23141	   	256.25	橙2易伤3矿等1伤害2时间1攻速	18易伤2攻速378矿等4敌人爆炸5伤害68时间8序列升级9金币生成a核
