0	Index      	 *	Score 	Summary	Detail	
1	41222 53511	 * 	280.10	橙橙1易伤1伤害1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a伤害
2	13611 22216	 * 	279.61	橙橙2易伤1矿等1攻速	1激光减费2雷电3矿等47易伤5基地爆炸6a核8掉矿9攻速
3	13615 22216	   	279.61	橙橙2易伤1矿等1攻速	1激光减费2雷电3矿等47易伤5低血量敌人6a核8掉矿9攻速
4	13615 22121	   	275.62	橙橙2易伤1矿等1平台	1激光减费2雷电3矿等47易伤5低血量敌人6a核8平台9基础对冰
5	62253 11161	 * 	268.82	紫橙3易伤1矿等	1时间2敌人爆炸3矿等4a核569易伤7掉矿8技能点
6	13315 22266	 * 	268.39	橙橙2易伤1伤害	1激光减费2雷电3技能点47易伤5低血量敌人6a核8掉矿9伤害
7	41222 53521	 * 	266.35	橙橙1易伤2暴击1矿等	1a暴击2时间3立即金币4矿等5易伤68核7低血量敌人9基地爆炸
8	41222 53531	   	266.25	橙橙1易伤2暴击1矿等	1a暴击2时间3立即金币4矿等5易伤68核7低血量敌人9挖尘
9	53111 22216	   	262.18	橙橙2易伤1攻速	13金币生成2雷电47易伤5基地爆炸6a核8掉矿9攻速
10	53115 22216	   	262.18	橙橙2易伤1攻速	13金币生成2雷电47易伤5低血量敌人6a核8掉矿9攻速
11	13311 22216	   	261.98	橙橙2易伤1攻速	1激光减费2雷电3技能点47易伤5基地爆炸6a核8掉矿9攻速
12	13315 22216	   	261.98	橙橙2易伤1攻速	1激光减费2雷电3技能点47易伤5低血量敌人6a核8掉矿9攻速
13	41222 53523	   	260.04	橙橙1易伤1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9基地爆炸a技能
14	41222 53512	   	259.94	橙橙1易伤1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a挖青
15	41222 53513	   	259.94	橙橙1易伤1矿等1暴击1策反	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a策反
16	41222 53522	   	259.94	橙橙1易伤1矿等1暴击1挖怪	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9基地爆炸a挖怪
17	41222 53533	   	259.94	橙橙1易伤1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9挖尘a技能
18	41222 53532	   	259.84	橙橙1易伤1矿等1暴击1挖怪	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9挖尘a挖怪
19	42622 53321	   	259.79	橙橙1易伤1矿等1暴击1策反	1暴击2策反3随机矿4矿等5易伤6a核7低血量敌人8时间9雷电
20	53115 22121	   	258.19	橙橙2易伤1平台	13金币生成2雷电47易伤5低血量敌人6a核8平台9基础对冰
21	13315 22121	   	257.99	橙橙2易伤1平台	1激光减费2雷电3技能点47易伤5低血量敌人6a核8平台9基础对冰
22	54111 32261	   	256.73	橙橙2易伤	1金币生成24基地爆炸38挖尘5时间69易伤7a核
23	62424 12222	   	256.73	橙橙2易伤	1时间2敌人爆炸3a易伤4基础对冰5双倍秒伤6雷电7技能89核
24	23551 22222	   	256.73	橙橙2易伤	1毒液对黄2双倍秒伤3a易伤4时间5雷电6敌人爆炸7技能89核
