0	Index      	 *	Score 	Summary	Detail	
1	13512 36125	 * 	268.75	DCR|DCR|2VULN|2DUR|1CDMG|1SELL	1FEWX|25DUR|3SELL|45VULN|5BPWR|6LIT|7CDMG|8BOSS|9aRCR
2	23161 41341	 * 	268.69	DCR|DCR|2VULN|1TLV|1DUR	1CGEN|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7aVULN|8TBNT
3	33161 41341	   	268.59	DCR|DCR|2VULN|1TLV|1DUR	1ERES|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7aVULN|8TBNT
4	33361 41341	   	268.59	DCR|DCR|2VULN|1TLV|1DUR	13ERES|2DUR|4TLV|5DUST|69RCR|7aVULN|8TBNT
5	13335 52232	 * 	262.08	DCR|DCR|1VULN|2DUR|1TLV	1FEWX|24DUR|3ASPD|5BEXP|6aRCR|7TLV|8DLOT|9VULN
6	12336 62125	   	256.54	DCR|DCR|2VULN|1DUR|2ASPD	17FEWX|27VULN|36ASPD|4DUR|57LIT|7BPWR|8BOSS|9aRCR
7	13513 36125	   	256.20	DCR|DCR|2VULN|1DUR|1CDMG|1SELL	1FEWX|2DUR|3SELL|45VULN|6LIT|7CDMG|8BOSS|9aRCR
8	12511 36125	   	256.20	DCR|DCR|2VULN|1DUR|1CDMG|1SELL	1FEWX|24VULN|3SELL|5DUR|6LIT|7CDMG|8BOSS|9aRCR
9	43311 41341	 * 	255.14	DCR|DCR|2VULN|2DUR	14LWND|24DUR|3RCVC|4BPWR|5DUST|69RCR|7aVULN|8TBNT
10	21161 41341	   	255.04	DCR|DCR|2VULN|1TLV	1CGEN|2LHND|3AEFBLL|4TLV|5DUST|69RCR|7aVULN|8TBNT
11	31161 41341	   	254.94	DCR|DCR|2VULN|1TLV	1ERES|2LHND|3AEFBLL|4TLV|5DUST|69RCR|7aVULN|8TBNT
12	31361 41341	   	254.94	DCR|DCR|2VULN|1TLV	13ERES|2LHND|4TLV|5DUST|69RCR|7aVULN|8TBNT
13	13332 41252	   	251.48	DCR|DCR|1VULN|2DUR|1MLV	1FEWX|24DUR|3ASPD|5MLV|6aRCR|7VULN|8DLOT|9LWND
14	42133 61241	 * 	251.28	DCR|DCR|3VULN	13LWND|26aVULN|4TBNT|56LHND|6BPWR|79RCR|8FEWX
15	42333 61241	   	251.28	DCR|DCR|3VULN	1LWND|26aVULN|3RCVC|4TBNT|56LHND|6BPWR|79RCR|8FEWX
16	42633 11241	   	251.08	DCR|DCR|3VULN	1LWND|23aVULN|4TBNT|5LHND|6AEFRZ|79RCR|8FEWX
17	13315 52232	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	1FEWX|2DUR|3ASPD|4RCVC|5BEXP|6aRCR|7TLV|8DLOT|9VULN
18	13345 52232	   	249.63	DCR|DCR|1VULN|1TLV|1DUR	14FEWX|2DUR|3ASPD|5BEXP|6aRCR|7TLV|8DLOT|9VULN
19	13351 63532	 * 	243.35	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1FEWX|2DUR|3ASPD|4VENTOX|5VULN|6SELL|7DMG|8aRCR|9LHND
20	13226 41341	   	242.69	DCR|DCR|2VULN|1DUR	13FEWX|2DUR|4BEXP|5RCVC|69RCR|7aVULN|8TBNT
21	24251 11241	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2aVULN|3LWND|4TBNT|5RMIN|6AEWIND|79RCR|8DUR
22	24261 11241	   	242.59	DCR|DCR|2VULN|1DUR	1CGEN|2aVULN|3LWND|4BBNT|5RMIN|6AEWIND|79RCR|8DUR
23	41312 41341	   	242.59	DCR|DCR|2VULN|1DUR	14LWND|24DUST|3RCVC|4BPWR|5DUR|69RCR|7aVULN|8TBNT
24	42211 61241	   	242.59	DCR|DCR|2VULN|1DUR	16LWND|2aVULN|3BBNT|4AME|5RMIN|79RCR|8DUR
25	23535 11241	   	242.49	DCR|DCR|2VULN|1DUR	1CGEN|2DUR|3TBNT|4ERES|5aVULN|6AEWIND|79RCR|8FEWX
26	23535 31241	   	242.49	DCR|DCR|2VULN|1DUR	1CGEN|2DUR|3TBNT|46ERES|5aVULN|79RCR|8FEWX
27	23635 11241	   	242.49	DCR|DCR|2VULN|1DUR	1CGEN|2DUR|3BBNT|4ERES|5aVULN|6AEWIND|79RCR|8FEWX
28	23635 31241	   	242.49	DCR|DCR|2VULN|1DUR	1CGEN|2DUR|3BBNT|46ERES|5aVULN|79RCR|8FEWX
29	43225 11241	   	242.49	DCR|DCR|2VULN|1DUR	1LWND|2DUR|3BBNT|4AEPOI|5aVULN|6AEFRZ|79RCR|8FEWX
30	12611 11241	   	242.49	DCR|DCR|2VULN|1DUR	1FEWX|2aVULN|3BBNT|4AME|5RMIN|6AEFRZ|79RCR|8DUR
31	34251 11241	   	242.49	DCR|DCR|2VULN|1DUR	1ERES|2aVULN|3LWND|4TBNT|5RMIN|6AEWIND|79RCR|8DUR
32	34251 31241	   	242.49	DCR|DCR|2VULN|1DUR	16ERES|2aVULN|3LWND|4TBNT|5RMIN|79RCR|8DUR
33	34261 11241	   	242.49	DCR|DCR|2VULN|1DUR	1ERES|2aVULN|3LWND|4BBNT|5RMIN|6AEWIND|79RCR|8DUR
34	34261 31241	   	242.49	DCR|DCR|2VULN|1DUR	16ERES|2aVULN|3LWND|4BBNT|5RMIN|79RCR|8DUR
35	42211 11241	   	242.49	DCR|DCR|2VULN|1DUR	1LWND|2aVULN|3BBNT|4AME|5RMIN|6AEFRZ|79RCR|8DUR
36	23161 43241	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7BBNT|8FEWX|aVULN
37	13511 36125	   	242.45	DCR|DCR|1VULN|2DUR|1CDMG|1SELL	1FEWX|25DUR|3SELL|4VULN|6LIT|7CDMG|8BOSS|9aRCR
38	23361 41341	   	242.39	DCR|DCR|2VULN|1DUR	1CGEN|2DUR|34ERES|5DUST|69RCR|7aVULN|8TBNT
